issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,5,100109.97000000,1404751454.15999889,100109.97000000,0.00007127
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,6,195970.55000000,1404751454.15999889,296080.52000000,0.00021077
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,7,130309.12000000,1404751454.15999889,426389.64000000,0.00030353
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,8,199195.03000000,1404751454.15999889,625584.67000000,0.00044533
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,9,174075.54000000,1404751454.15999889,799660.21000000,0.00056925
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,10,131799.78000000,1404751454.15999889,931459.99000000,0.00066308
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,11,227252.12000000,1404751454.15999889,1158712.11000000,0.00082485
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,12,265742.74000000,1404751454.15999889,1424454.85000000,0.00101403
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,13,210184.61000000,1404751454.15999889,1634639.46000000,0.00116365
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,14,117001.16000000,1404751454.15999889,1751640.62000000,0.00124694
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,15,105521.92000000,1404751454.15999889,1857162.54000000,0.00132206
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,16,100664.08000000,1404751454.15999889,1957826.62000000,0.00139372
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,17,131339.71000000,1404751454.15999889,2089166.33000000,0.00148721
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,18,140270.63000000,1404751454.15999889,2229436.96000000,0.00158707
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,19,118032.02000000,1404751454.15999889,2347468.98000000,0.00167109
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,20,94443.32000000,1404751454.15999889,2441912.30000000,0.00173832
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,21,151407.76000000,1404751454.15999889,2593320.06000000,0.00184611
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,22,158179.09000000,1404751454.15999889,2751499.15000000,0.00195871
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,23,172306.76000000,1404751454.15999889,2923805.91000000,0.00208137
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,24,133909.67000000,1404751454.15999889,3057715.58000000,0.00217670
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,25,64949.29000000,1404751454.15999889,3122664.87000000,0.00222293
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,26,143300.29000000,1404751454.15999889,3265965.16000000,0.00232494
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,27,129104.97000000,1404751454.15999889,3395070.13000000,0.00241685
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,28,78098.60000000,1404751454.15999889,3473168.73000000,0.00247244
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,29,22655.72000000,1404751454.15999889,3495824.45000000,0.00248857
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,30,93626.70000000,1404751454.15999889,3589451.15000000,0.00255522
