issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
SDART,2017,0,4062433.78000000,1197584446.63000202,4062433.78000000,0.00339219
SDART,2017,1,4224849.59000000,1197584446.63000202,8287283.37000000,0.00692000
SDART,2017,2,3802531.49000000,1197584446.63000202,12089814.86000000,0.01009517
SDART,2017,3,3740630.64000000,1197584446.63000202,15830445.49999999,0.01321865
SDART,2017,4,3562213.89000000,1197584446.63000202,19392659.39000000,0.01619315
SDART,2017,5,3347956.87000000,1197584446.63000202,22740616.26000000,0.01898874
SDART,2017,6,3238617.02000000,1197584446.63000202,25979233.27999999,0.02169303
SDART,2017,7,2854433.03000000,1197584446.63000202,28833666.30999999,0.02407652
SDART,2017,8,2612757.71000000,1197584446.63000202,31446424.01999999,0.02625821
SDART,2017,9,2360051.91000000,1197584446.63000202,33806475.92999999,0.02822889
SDART,2017,10,2030104.95000000,1197584446.63000202,35836580.88000000,0.02992405
SDART,2017,11,1230805.25000000,1197584446.63000202,37067386.13000000,0.03095179
SDART,2017,12,983043.82000000,1197584446.63000202,38050429.95000000,0.03177265
SDART,2017,13,1122686.91000000,1197584446.63000202,39173116.85999999,0.03271011
SDART,2017,14,1147371.82000000,1197584446.63000202,40320488.67999999,0.03366818
SDART,2017,15,1263599.34000000,1197584446.63000202,41584088.02000000,0.03472330
SDART,2017,16,1318741.31000000,1197584446.63000202,42902829.32999999,0.03582447
SDART,2017,17,1324657.83000000,1197584446.63000202,44227487.15999999,0.03693058
SDART,2017,18,1282277.79000000,1197584446.63000202,45509764.95000000,0.03800130
SDART,2017,19,1223816.19000000,1197584446.63000202,46733581.13999999,0.03902320
SDART,2017,20,917246.48000000,1197584446.63000202,47650827.61999999,0.03978912
SDART,2017,21,1044770.12000000,1197584446.63000202,48695597.73999999,0.04066151
SDART,2018,0,4940848.49000000,4080954117.61009979,4940848.49000000,0.00121071
SDART,2018,1,4856246.64000000,4080954117.61009979,9797095.13000000,0.00240069
SDART,2018,2,5305652.19000000,4080954117.61009979,15102747.32000000,0.00370079
SDART,2018,3,6130955.76000000,4080954117.61009979,21233703.08000001,0.00520312
SDART,2018,4,6148534.49000000,4080954117.61009979,27382237.57000000,0.00670976
SDART,2018,5,5261465.65000000,4080954117.61009979,32643703.22000000,0.00799904
SDART,2018,6,6266343.71000000,4080954117.61009979,38910046.93000001,0.00953455
SDART,2018,7,5812816.10000000,4080954117.61009979,44722863.03000000,0.01095892
SDART,2018,8,4283065.62000000,4080954117.61009979,49005928.65000001,0.01200845
SDART,2018,9,3747195.55000000,4080954117.61009979,52753124.20000000,0.01292666
SDART,2018,10,3354397.68000000,4080954117.61009979,56107521.88000000,0.01374863
SDART,2018,11,3175160.64000000,4080954117.61009979,59282682.52000000,0.01452667
SDART,2018,12,3108245.31000000,4080954117.61009979,62390927.83000001,0.01528832
SDART,2018,13,2049654.79000000,4080954117.61009979,64440582.62000000,0.01579057
SDART,2018,14,2121026.79000000,4080954117.61009979,66561609.41000000,0.01631031
SDART,2018,15,2179409.26000000,4080954117.61009979,68741018.67000000,0.01684435
SDART,2018,16,1897953.04000000,4080954117.61009979,70638971.71000001,0.01730943
SDART,2018,17,1758845.52000000,4080954117.61009979,72397817.23000000,0.01774041
SDART,2018,18,1187641.01000000,4080954117.61009979,73585458.23999999,0.01803143
SDART,2018,19,1077906.00000000,4080954117.61009979,74663364.23999999,0.01829557
SDART,2019,0,8176055.89000000,6259321289.00020981,8176055.89000000,0.00130622
SDART,2019,1,8032470.86000000,6259321289.00020981,16208526.75000000,0.00258950
SDART,2019,2,8083787.44000000,6259321289.00020981,24292314.19000000,0.00388098
SDART,2019,3,7792032.69000000,6259321289.00020981,32084346.88000000,0.00512585
SDART,2019,4,9164336.45000000,6259321289.00020981,41248683.33000000,0.00658996
SDART,2019,5,7705873.10000000,6259321289.00020981,48954556.43000000,0.00782106
SDART,2019,6,7965867.38000000,6259321289.00020981,56920423.81000000,0.00909371
SDART,2019,7,7099703.45000000,6259321289.00020981,64020127.26000000,0.01022797
SDART,2019,8,6193415.63000000,6259321289.00020981,70213542.89000000,0.01121744
SDART,2019,9,4947945.23000000,6259321289.00020981,75161488.12000000,0.01200793
SDART,2019,10,5129197.17000000,6259321289.00020981,80290685.29000001,0.01282738
SDART,2019,11,4998752.40000000,6259321289.00020981,85289437.69000000,0.01362599
SDART,2019,12,4649136.54000000,6259321289.00020981,89938574.23000000,0.01436874
SDART,2019,13,4599980.45000000,6259321289.00020981,94538554.68000001,0.01510364
SDART,2019,14,3304702.53000000,6259321289.00020981,97843257.20999999,0.01563161
SDART,2019,15,2285040.69000000,6259321289.00020981,100128297.90000001,0.01599667
SDART,2019,16,1265987.80000000,6259321289.00020981,101394285.70000000,0.01619893
SDART,2019,17,835124.94000000,6259321289.00020981,102229410.64000000,0.01633235
SDART,2019,18,799278.98000000,6259321289.00020981,103028689.62000000,0.01646004
SDART,2019,19,864625.72000000,6259321289.00020981,103893315.34000000,0.01659818
SDART,2019,20,710799.82000000,6259321289.00020981,104604115.16000000,0.01671173
SDART,2020,0,3316958.39000000,2288592585.08006144,3316958.39000000,0.00144934
SDART,2020,1,3438405.61000000,2288592585.08006144,6755364.00000000,0.00295175
SDART,2020,2,3716267.01000000,2288592585.08006144,10471631.01000000,0.00457558
SDART,2020,3,3184347.58000000,2288592585.08006144,13655978.59000000,0.00596698
SDART,2020,4,2538795.21000000,2288592585.08006144,16194773.80000000,0.00707630
SDART,2020,5,2834076.01000000,2288592585.08006144,19028849.81000000,0.00831465
SDART,2020,6,2503075.13000000,2288592585.08006144,21531924.94000001,0.00940837
SDART,2020,7,2296998.75000000,2288592585.08006144,23828923.69000001,0.01041204
SDART,2020,8,1798048.35000000,2288592585.08006144,25626972.04000000,0.01119770
SDART,2020,9,1574091.02000000,2288592585.08006144,27201063.06000000,0.01188550
SDART,2020,10,1583426.33000000,2288592585.08006144,28784489.39000000,0.01257738
SDART,2020,11,1540850.05000000,2288592585.08006144,30325339.44000000,0.01325065
SDART,2020,12,1271964.36000000,2288592585.08006144,31597303.80000000,0.01380643
SDART,2020,13,1706255.96000000,2288592585.08006144,33303559.76000000,0.01455198
SDART,2020,14,664901.19000000,2288592585.08006144,33968460.95000000,0.01484251
SDART,2021,0,12865362.80000000,9029229506.95010567,12865362.80000000,0.00142486
SDART,2021,1,14431078.45000000,9029229506.95010567,27296441.25000000,0.00302312
SDART,2021,2,13121187.83000000,9029229506.95010567,40417629.08000000,0.00447631
SDART,2021,3,12033714.13000000,9029229506.95010567,52451343.20999999,0.00580906
SDART,2021,4,11123422.10000000,9029229506.95010567,63574765.30999999,0.00704100
SDART,2021,5,10836174.41000000,9029229506.95010567,74410939.72000000,0.00824112
SDART,2021,6,11809617.31000000,9029229506.95010567,86220557.03000000,0.00954905
SDART,2021,7,10025960.73000000,9029229506.95010567,96246517.76000001,0.01065944
SDART,2021,8,8601478.59000000,9029229506.95010567,104847996.34999999,0.01161206
SDART,2021,9,7952702.17000000,9029229506.95010567,112800698.52000000,0.01249284
SDART,2021,10,7921915.18000000,9029229506.95010567,120722613.70000000,0.01337020
SDART,2021,11,6778456.32000000,9029229506.95010567,127501070.02000000,0.01412092
SDART,2021,12,6129092.70000000,9029229506.95010567,133630162.72000000,0.01479973
SDART,2021,13,6114225.56000000,9029229506.95010567,139744388.28000000,0.01547689
SDART,2021,14,5486953.02000000,9029229506.95010567,145231341.29999998,0.01608458
SDART,2021,15,5658959.38000000,9029229506.95010567,150890300.68000001,0.01671132
SDART,2021,16,3578575.86000000,9029229506.95010567,154468876.53999999,0.01710765
SDART,2021,17,3346422.11000000,9029229506.95010567,157815298.65000001,0.01747827
SDART,2021,18,3111369.33000000,9029229506.95010567,160926667.97999999,0.01782286
SDART,2021,19,2972003.22000000,9029229506.95010567,163898671.19999999,0.01815201
SDART,2021,20,2625454.12000000,9029229506.95010567,166524125.31999999,0.01844278
SDART,2021,21,1989302.56000000,9029229506.95010567,168513427.88000000,0.01866310
SDART,2021,22,2290564.84000000,9029229506.95010567,170803992.72000000,0.01891678
SDART,2021,23,2073241.62000000,9029229506.95010567,172877234.34000000,0.01914640
SDART,2021,24,2405773.11000000,9029229506.95010567,175283007.44999999,0.01941284
SDART,2021,25,1904212.21000000,9029229506.95010567,177187219.66000000,0.01962374
SDART,2021,26,1975114.09000000,9029229506.95010567,179162333.75000000,0.01984248
SDART,2021,27,2363744.12000000,9029229506.95010567,181526077.87000000,0.02010427
SDART,2021,28,1060286.20000000,9029229506.95010567,182586364.06999999,0.02022170
SDART,2022,0,19709128.16000000,9018503331.54015732,19709128.16000000,0.00218541
SDART,2022,1,19746803.74999999,9018503331.54015732,39455931.91000000,0.00437500
SDART,2022,2,19287379.49000000,9018503331.54015732,58743311.39999999,0.00651364
SDART,2022,3,18021839.62000000,9018503331.54015732,76765151.02000000,0.00851196
SDART,2022,4,16540188.56000001,9018503331.54015732,93305339.58000000,0.01034599
SDART,2022,5,16615118.13000001,9018503331.54015732,109920457.71000001,0.01218833
SDART,2022,6,14892265.28000000,9018503331.54015732,124812722.99000001,0.01383963
SDART,2022,7,13667497.49000000,9018503331.54015732,138480220.47999999,0.01535512
SDART,2022,8,12437511.39000000,9018503331.54015732,150917731.87000000,0.01673423
SDART,2022,9,11413032.27000000,9018503331.54015732,162330764.14000002,0.01799975
SDART,2022,10,11245609.90000000,9018503331.54015732,173576374.04000002,0.01924669
SDART,2022,11,11020508.07000000,9018503331.54015732,184596882.11000001,0.02046868
SDART,2022,12,9042330.92000000,9018503331.54015732,193639213.03000000,0.02147132
SDART,2022,13,8348401.20000000,9018503331.54015732,201987614.23000002,0.02239702
SDART,2022,14,5743387.49000000,9018503331.54015732,207731001.72000000,0.02303387
SDART,2022,15,2547481.87000000,9018503331.54015732,210278483.59000000,0.02331634
SDART,2022,16,2893153.41000000,9018503331.54015732,213171637.00000000,0.02363714
SDART,2022,17,2021998.72000000,9018503331.54015732,215193635.72000000,0.02386135
SDART,2023,0,33524898.41999999,12085972143.45975876,33524898.41999999,0.00277387
SDART,2023,1,33942375.34000000,12085972143.45975876,67467273.75999999,0.00558228
SDART,2023,2,34019141.93000001,12085972143.45975876,101486415.69000000,0.00839704
SDART,2023,3,31314183.22999999,12085972143.45975876,132800598.91999999,0.01098799
SDART,2023,4,29452079.68000000,12085972143.45975876,162252678.59999996,0.01342488
SDART,2023,5,28707438.93000001,12085972143.45975876,190960117.52999997,0.01580015
SDART,2023,6,27366167.47999999,12085972143.45975876,218326285.00999999,0.01806444
SDART,2023,7,24805713.12000000,12085972143.45975876,243131998.12999997,0.02011688
