issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,1,68336.85000000,1201846720.64000225,68336.85000000,0.00005686
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2,528910.61000000,1201846720.64000225,597247.46000000,0.00049694
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,3,1156595.12000000,1201846720.64000225,1753842.58000000,0.00145929
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,4,3709407.71000000,1201846720.64000225,5463250.29000000,0.00454571
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,5,3799878.22000000,1201846720.64000225,9263128.51000000,0.00770741
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,6,5390493.77000000,1201846720.64000225,14653622.28000000,0.01219259
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,7,8230044.37000000,1201846720.64000225,22883666.65000000,0.01904042
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,8,7739062.21000000,1201846720.64000225,30622728.86000000,0.02547973
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,9,7579677.80000000,1201846720.64000225,38202406.66000000,0.03178642
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,10,7429867.58000000,1201846720.64000225,45632274.23999999,0.03796846
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,11,7710068.20999999,1201846720.64000225,53342342.44999999,0.04438365
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,12,8016178.59000000,1201846720.64000225,61358521.03999999,0.05105353
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,13,7975611.97999999,1201846720.64000225,69334133.01999998,0.05768966
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,14,7360868.80000000,1201846720.64000225,76695001.81999999,0.06381430
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,15,6080340.72000000,1201846720.64000225,82775342.53999999,0.06887346
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,16,5624877.85000000,1201846720.64000225,88400220.38999999,0.07355366
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,17,5350808.78000000,1201846720.64000225,93751029.16999999,0.07800581
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,18,5687235.37000000,1201846720.64000225,99438264.53999999,0.08273789
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,19,7006244.17000000,1201846720.64000225,106444508.70999999,0.08856746
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,20,6978093.74000000,1201846720.64000225,113422602.44999999,0.09437360
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,21,6718548.14000001,1201846720.64000225,120141150.59000000,0.09996379
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,22,6266889.53000000,1201846720.64000225,126408040.11999999,0.10517817
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,23,6884588.04000000,1201846720.64000225,133292628.16000000,0.11090651
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,24,7039535.38000000,1201846720.64000225,140332163.53999999,0.11676378
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,25,5932964.69000000,1201846720.64000225,146265128.22999999,0.12170032
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,26,4698217.77000000,1201846720.64000225,150963346.00000000,0.12560948
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,27,4315283.16000000,1201846720.64000225,155278629.16000000,0.12920003
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,28,4014009.48000000,1201846720.64000225,159292638.63999999,0.13253990
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,29,4138469.21000000,1201846720.64000225,163431107.84999999,0.13598332
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,30,4112065.82000000,1201846720.64000225,167543173.66999999,0.13940478
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,31,4224849.59000000,1201846720.64000225,171768023.25999999,0.14292007
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,32,3802531.49000000,1201846720.64000225,175570554.75000000,0.14608398
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,33,3740630.64000000,1201846720.64000225,179311185.38999999,0.14919638
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,34,3562213.89000000,1201846720.64000225,182873399.28000000,0.15216033
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,35,3347956.87000000,1201846720.64000225,186221356.14999998,0.15494601
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,36,3238617.02000000,1201846720.64000225,189459973.16999999,0.15764071
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,37,2854433.03000000,1201846720.64000225,192314406.19999999,0.16001575
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,38,2612757.71000000,1201846720.64000225,194927163.91000000,0.16218970
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,39,2360051.91000000,1201846720.64000225,197287215.81999999,0.16415339
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,40,2030104.95000000,1201846720.64000225,199317320.76999998,0.16584255
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,41,1230805.25000000,1201846720.64000225,200548126.01999998,0.16686664
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,42,983043.82000000,1201846720.64000225,201531169.84000000,0.16768459
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,43,1122686.91000000,1201846720.64000225,202653856.75000000,0.16861872
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,44,1147371.82000000,1201846720.64000225,203801228.56999999,0.16957339
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,45,1263599.34000000,1201846720.64000225,205064827.91000000,0.17062478
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,46,1318741.31000000,1201846720.64000225,206383569.22000000,0.17172204
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,47,1324657.83000000,1201846720.64000225,207708227.04999998,0.17282422
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,48,1282277.79000000,1201846720.64000225,208990504.84000000,0.17389115
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,49,1223816.19000000,1201846720.64000225,210214321.03000000,0.17490943
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,50,917246.48000000,1201846720.64000225,211131567.50999999,0.17567262
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,51,1044770.12000000,1201846720.64000225,212176337.63000000,0.17654193
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,1,44822.39000000,1589992949.34999943,44822.39000000,0.00002819
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2,463280.36000000,1589992949.34999943,508102.75000000,0.00031956
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,3,894308.83000000,1589992949.34999943,1402411.58000000,0.00088202
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,4,2557908.37000000,1589992949.34999943,3960319.95000000,0.00249078
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,5,4268797.33000000,1589992949.34999943,8229117.28000000,0.00517557
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,6,6248297.81000000,1589992949.34999943,14477415.09000000,0.00910533
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,7,10110478.50000000,1589992949.34999943,24587893.59000000,0.01546415
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,8,10625123.54000000,1589992949.34999943,35213017.13000000,0.02214665
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,9,9124998.32000000,1589992949.34999943,44338015.45000000,0.02788567
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,10,9528110.26000000,1589992949.34999943,53866125.70999999,0.03387822
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,11,8988079.12000000,1589992949.34999943,62854204.83000000,0.03953112
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,12,7797979.39000000,1589992949.34999943,70652184.22000000,0.04443553
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,13,8253664.52000000,1589992949.34999943,78905848.73999999,0.04962654
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,14,7719930.80000000,1589992949.34999943,86625779.53999999,0.05448186
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,15,7580978.39000000,1589992949.34999943,94206757.92999999,0.05924980
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,16,9250388.96000000,1589992949.34999943,103457146.88999999,0.06506768
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,17,9245064.85000000,1589992949.34999943,112702211.73999999,0.07088221
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,18,9624536.23000000,1589992949.34999943,122326747.97000000,0.07693540
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,19,9736526.52000000,1589992949.34999943,132063274.48999999,0.08305903
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,20,9318471.67000000,1589992949.34999943,141381746.16000000,0.08891973
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,21,8935035.72000000,1589992949.34999943,150316781.88000000,0.09453928
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,22,7507279.96000000,1589992949.34999943,157824061.83999997,0.09926086
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,23,6270432.74000000,1589992949.34999943,164094494.57999998,0.10320454
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,24,5778724.92000000,1589992949.34999943,169873219.50000000,0.10683898
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,25,5075787.43000000,1589992949.34999943,174949006.92999998,0.11003131
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,26,5132209.39000000,1589992949.34999943,180081216.31999999,0.11325913
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,27,6098004.36000000,1589992949.34999943,186179220.67999998,0.11709437
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,28,5998320.37000000,1589992949.34999943,192177541.04999998,0.12086691
