issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
TAOT,2017,620,1,2,418.43000000,90373907.98000002,418.43000000,0.00000463
TAOT,2017,620,1,3,74303.43000000,90373907.98000002,74721.86000000,0.00082681
TAOT,2017,620,1,4,116793.24000000,90373907.98000002,191515.10000000,0.00211914
TAOT,2017,620,1,5,203413.92000000,90373907.98000002,394929.02000000,0.00436995
TAOT,2017,620,1,6,145762.92000000,90373907.98000002,540691.94000000,0.00598283
TAOT,2017,620,1,7,202504.23000000,90373907.98000002,743196.17000000,0.00822357
TAOT,2017,620,1,8,177402.44000000,90373907.98000002,920598.61000000,0.01018655
TAOT,2017,620,1,9,164686.46000000,90373907.98000002,1085285.07000000,0.01200883
TAOT,2017,620,1,10,80724.66000000,90373907.98000002,1166009.73000000,0.01290206
TAOT,2017,620,1,11,132166.60000000,90373907.98000002,1298176.33000000,0.01436450
TAOT,2017,620,1,12,99618.93000000,90373907.98000002,1397795.26000000,0.01546680
TAOT,2017,620,1,13,176811.01000000,90373907.98000002,1574606.27000000,0.01742324
TAOT,2017,620,1,14,120982.56000000,90373907.98000002,1695588.83000000,0.01876193
TAOT,2017,620,1,15,76757.10000000,90373907.98000002,1772345.93000000,0.01961126
TAOT,2017,620,1,16,178222.63000000,90373907.98000002,1950568.56000000,0.02158332
TAOT,2017,620,1,17,250024.14000000,90373907.98000002,2200592.70000000,0.02434987
TAOT,2017,620,1,18,124156.21000000,90373907.98000002,2324748.91000000,0.02572367
TAOT,2017,620,1,19,92385.01000000,90373907.98000002,2417133.92000000,0.02674593
TAOT,2017,620,1,20,87471.37000000,90373907.98000002,2504605.29000000,0.02771381
TAOT,2017,620,1,21,134120.86000000,90373907.98000002,2638726.15000000,0.02919788
TAOT,2017,620,1,22,77998.09000000,90373907.98000002,2716724.24000000,0.03006094
TAOT,2017,620,1,23,40735.64000000,90373907.98000002,2757459.88000000,0.03051168
TAOT,2017,620,1,24,84638.43000000,90373907.98000002,2842098.31000000,0.03144822
TAOT,2017,620,1,25,82093.23000000,90373907.98000002,2924191.54000000,0.03235659
