issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
TAOT,2011,630,2,77,62.86000000,319361.71000000,62.86000000,0.00019683
TAOT,2011,650,1,76,264.20000000,430613.81000000,264.20000000,0.00061354
TAOT,2011,670,1,76,307.68000000,1390655.82000000,307.68000000,0.00022125
TAOT,2011,670,2,76,225.19000000,778574.64000000,225.19000000,0.00028923
TAOT,2011,690,1,71,2472.49000000,1374770.63000000,2472.49000000,0.00179847
TAOT,2011,690,2,76,1229.79000000,863482.02000000,1229.79000000,0.00142422
TAOT,2011,700,2,76,1098.75000000,446026.08000000,1098.75000000,0.00246342
TAOT,2011,710,1,75,339.10000000,1675272.57000000,339.10000000,0.00020241
TAOT,2011,750,1,75,450.95000000,1159239.22000000,450.95000000,0.00038901
TAOT,2012,620,1,68,2698.62000000,2519908.80000000,2698.62000000,0.00107092
TAOT,2012,620,1,76,138.00000000,2519908.80000000,2836.62000000,0.00112568
TAOT,2012,620,1,77,849.26000000,2519908.80000000,3685.88000000,0.00146270
TAOT,2012,630,1,58,2444.97000000,4210847.24000000,2444.97000000,0.00058064
TAOT,2012,630,1,62,2926.22000000,4210847.24000000,5371.19000000,0.00127556
TAOT,2012,630,1,73,1596.62000000,4210847.24000000,6967.81000000,0.00165473
TAOT,2012,630,1,74,1037.18000000,4210847.24000000,8004.99000000,0.00190104
TAOT,2012,630,1,79,371.91000000,4210847.24000000,8376.90000000,0.00198936
TAOT,2012,630,2,66,5889.32000000,2015665.96000000,5889.32000000,0.00292177
TAOT,2012,630,2,76,716.82000000,2015665.96000000,6606.14000000,0.00327740
TAOT,2012,630,2,77,159.29000000,2015665.96000000,6765.43000000,0.00335642
TAOT,2012,640,1,63,1055.75000000,4975507.90000000,1055.75000000,0.00021219
TAOT,2012,640,1,74,1389.80000000,4975507.90000000,2445.55000000,0.00049152
TAOT,2012,640,1,76,134.49000000,4975507.90000000,2580.04000000,0.00051855
TAOT,2012,640,1,79,1278.52000000,4975507.90000000,3858.56000000,0.00077551
TAOT,2012,650,1,57,7602.46000000,8739969.99000000,7602.46000000,0.00086985
TAOT,2012,650,1,65,277.93000000,8739969.99000000,7880.39000000,0.00090165
TAOT,2012,650,2,61,11572.81000000,3205134.71000000,11572.81000000,0.00361071
TAOT,2012,650,2,67,4456.06000000,3205134.71000000,16028.87000000,0.00500100
TAOT,2012,660,1,75,1447.58000000,8285517.53000000,1447.58000000,0.00017471
TAOT,2012,660,1,76,97.82000000,8285517.53000000,1545.40000000,0.00018652
TAOT,2012,660,2,65,4769.33000000,3236828.04000000,4769.33000000,0.00147346
TAOT,2012,660,2,73,1594.37000000,3236828.04000000,6363.70000000,0.00196603
TAOT,2012,660,2,77,0.01000000,3236828.04000000,6363.71000000,0.00196603
TAOT,2012,670,1,70,1234.58000000,10857415.04000000,1234.58000000,0.00011371
TAOT,2012,670,1,76,1762.99000000,10857415.04000000,2997.57000000,0.00027609
TAOT,2012,670,2,71,1488.24000000,4344461.58000000,1488.24000000,0.00034256
TAOT,2012,670,2,76,856.18000000,4344461.58000000,2344.42000000,0.00053963
TAOT,2012,680,1,77,687.03000000,11693372.92000000,687.03000000,0.00005875
TAOT,2012,680,2,75,631.46000000,4295707.64000000,631.46000000,0.00014700
TAOT,2012,690,1,57,2809.85000000,16445996.00000000,2809.85000000,0.00017085
TAOT,2012,690,1,65,491.87000000,16445996.00000000,3301.72000000,0.00020076
TAOT,2012,690,2,64,4.28000000,5837700.93000000,4.28000000,0.00000073
TAOT,2012,690,2,75,725.32000000,5837700.93000000,729.60000000,0.00012498
TAOT,2012,710,1,75,815.50000000,17539596.75000000,815.50000000,0.00004649
TAOT,2012,710,1,76,99.75000000,17539596.75000000,915.25000000,0.00005218
TAOT,2012,710,2,75,946.44000000,5667641.17000000,946.44000000,0.00016699
