issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,2,14106.34000000,2404774096.78998709,14106.34000000,0.00000587
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,3,116297.72000000,2404774096.78998709,130404.06000000,0.00005423
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,4,604155.30000000,2404774096.78998709,734559.36000000,0.00030546
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,5,775661.80000000,2404774096.78998709,1510221.16000000,0.00062801
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,6,467617.30000000,2404774096.78998709,1977838.46000000,0.00082246
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,7,721264.52000000,2404774096.78998709,2699102.98000000,0.00112239
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,8,770953.91000000,2404774096.78998709,3470056.89000000,0.00144299
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,9,992789.06000000,2404774096.78998709,4462845.95000000,0.00185583
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,10,614644.79000000,2404774096.78998709,5077490.74000000,0.00211142
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,11,636540.43000000,2404774096.78998709,5714031.17000000,0.00237612
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,12,622649.05000000,2404774096.78998709,6336680.22000000,0.00263504
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,13,550621.67000000,2404774096.78998709,6887301.89000000,0.00286401
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,14,650961.74000000,2404774096.78998709,7538263.63000000,0.00313471
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,15,338698.40000000,2404774096.78998709,7876962.03000000,0.00327555
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,16,586801.28000000,2404774096.78998709,8463763.31000000,0.00351957
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,17,555512.09000000,2404774096.78998709,9019275.40000000,0.00375057
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,18,533946.22000000,2404774096.78998709,9553221.62000000,0.00397261
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,19,529728.39000000,2404774096.78998709,10082950.01000000,0.00419289
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,20,514717.24000000,2404774096.78998709,10597667.25000000,0.00440693
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,21,419562.86000000,2404774096.78998709,11017230.11000000,0.00458140
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,22,437756.86000000,2404774096.78998709,11454986.97000000,0.00476344
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,23,400966.38000000,2404774096.78998709,11855953.35000000,0.00493017
