issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,3,42313.76000000,707960839.44000494,42313.76000000,0.00005977
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,4,13771.20000000,707960839.44000494,56084.96000000,0.00007922
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,5,108380.03000000,707960839.44000494,164464.99000000,0.00023231
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,6,34657.03000000,707960839.44000494,199122.02000000,0.00028126
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,7,60981.02000000,707960839.44000494,260103.04000000,0.00036740
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,8,70791.86000000,707960839.44000494,330894.90000000,0.00046739
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,9,70486.35000000,707960839.44000494,401381.25000000,0.00056695
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,10,80949.43000000,707960839.44000494,482330.68000000,0.00068130
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,11,56577.16000000,707960839.44000494,538907.84000000,0.00076121
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,12,50575.19000000,707960839.44000494,589483.03000000,0.00083265
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,13,181884.27000000,707960839.44000494,771367.30000000,0.00108956
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,14,152725.61000000,707960839.44000494,924092.91000000,0.00130529
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,15,146735.69000000,707960839.44000494,1070828.60000000,0.00151255
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,16,57286.22000000,707960839.44000494,1128114.82000000,0.00159347
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,17,25218.64000000,707960839.44000494,1153333.46000000,0.00162909
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,18,50202.20000000,707960839.44000494,1203535.66000000,0.00170000
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,19,126464.88000000,707960839.44000494,1330000.54000000,0.00187864
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,20,93615.40000000,707960839.44000494,1423615.94000000,0.00201087
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,21,142347.89000000,707960839.44000494,1565963.83000000,0.00221194
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,22,71044.30000000,707960839.44000494,1637008.13000000,0.00231229
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,23,82895.27000000,707960839.44000494,1719903.40000000,0.00242938
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,24,58645.06000000,707960839.44000494,1778548.46000000,0.00251221
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,25,140459.32000000,707960839.44000494,1919007.78000000,0.00271061
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,26,24294.27000000,707960839.44000494,1943302.05000000,0.00274493
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,27,47930.44000000,707960839.44000494,1991232.49000000,0.00281263
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,28,53104.72000000,707960839.44000494,2044337.21000000,0.00288764
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,29,46404.95000000,707960839.44000494,2090742.16000000,0.00295319
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,30,21573.31000000,707960839.44000494,2112315.47000000,0.00298366
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,31,44496.11000000,707960839.44000494,2156811.58000000,0.00304651
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,32,22531.98000000,707960839.44000494,2179343.56000000,0.00307834
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,33,20563.49000000,707960839.44000494,2199907.05000000,0.00310739
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,34,47231.57000000,707960839.44000494,2247138.62000000,0.00317410
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,35,9212.04000000,707960839.44000494,2256350.66000000,0.00318711
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,36,23658.52000000,707960839.44000494,2280009.18000000,0.00322053
USAOT,USAOT 2017-1,USAA Auto Owner Trust 2017-1,37,17589.34000000,707960839.44000494,2297598.52000000,0.00324538
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,1,20815.60000000,688304495.91999960,20815.60000000,0.00003024
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,2,85196.98000000,688304495.91999960,106012.58000000,0.00015402
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,3,35948.50000000,688304495.91999960,141961.08000000,0.00020625
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,4,88574.15000000,688304495.91999960,230535.23000000,0.00033493
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,5,35950.27000000,688304495.91999960,266485.50000000,0.00038716
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,6,159952.23000000,688304495.91999960,426437.73000000,0.00061955
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,7,78295.00000000,688304495.91999960,504732.73000000,0.00073330
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,8,35637.45000000,688304495.91999960,540370.18000000,0.00078507
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,9,27846.01000000,688304495.91999960,568216.19000000,0.00082553
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,10,79874.19000000,688304495.91999960,648090.38000000,0.00094158
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,11,111324.16000000,688304495.91999960,759414.54000000,0.00110331
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,12,46142.47000000,688304495.91999960,805557.01000000,0.00117035
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,13,45533.33000000,688304495.91999960,851090.34000000,0.00123650
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,15,54397.23000000,688304495.91999960,905487.57000000,0.00131553
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,16,53848.88000000,688304495.91999960,959336.45000000,0.00139377
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,17,62396.86000000,688304495.91999960,1021733.31000000,0.00148442
USAOT,USAOT 2019-1,USAA Auto Owner Trust 2019-1,18,30353.78000000,688304495.91999960,1052087.09000000,0.00152852
