issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
VALET,2018,600,1,3,13455.99000000,4989047.04000000,13455.99000000,0.00269711
VALET,2018,600,1,5,17572.02000000,4989047.04000000,31028.01000000,0.00621923
VALET,2018,600,1,6,20635.99000000,4989047.04000000,51664.00000000,0.01035548
VALET,2018,600,1,10,34280.89000000,4989047.04000000,85944.89000000,0.01722671
VALET,2018,600,1,11,16510.32000000,4989047.04000000,102455.21000000,0.02053603
VALET,2018,600,1,13,21381.78000000,4989047.04000000,123836.99000000,0.02482177
VALET,2018,600,1,14,117308.63000000,4989047.04000000,241145.62000000,0.04833501
VALET,2018,600,1,15,9018.72000000,4989047.04000000,250164.34000000,0.05014271
VALET,2018,600,1,16,40490.13000000,4989047.04000000,290654.47000000,0.05825851
VALET,2018,600,1,17,33482.94000000,4989047.04000000,324137.41000000,0.06496980
VALET,2018,600,1,18,31776.94000000,4989047.04000000,355914.35000000,0.07133914
VALET,2018,600,1,20,43861.86000000,4989047.04000000,399776.21000000,0.08013078
VALET,2018,600,1,22,35744.89000000,4989047.04000000,435521.10000000,0.08729545
VALET,2018,600,1,27,19220.50000000,4989047.04000000,454741.60000000,0.09114799
VALET,2018,600,2,3,20013.09000000,1948800.05000000,20013.09000000,0.01026944
VALET,2018,600,2,7,26645.41000000,1948800.05000000,46658.50000000,0.02394217
VALET,2018,600,2,9,8919.38000000,1948800.05000000,55577.88000000,0.02851903
VALET,2018,600,2,10,13665.91000000,1948800.05000000,69243.79000000,0.03553150
VALET,2018,600,2,11,19965.48000000,1948800.05000000,89209.27000000,0.04577651
VALET,2018,600,2,13,7931.41000000,1948800.05000000,97140.68000000,0.04984641
VALET,2018,600,2,16,18827.51000000,1948800.05000000,115968.19000000,0.05950749
VALET,2018,600,2,18,15368.04000000,1948800.05000000,131336.23000000,0.06739338
VALET,2018,600,2,22,9813.29000000,1948800.05000000,141149.52000000,0.07242894
VALET,2018,600,2,25,27200.89000000,1948800.05000000,168350.41000000,0.08638670
