issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
VALET,2013,600,1,70,776.57000000,269548.71000000,776.57000000,0.00288100
VALET,2013,630,1,76,1852.52000000,747477.31000000,1852.52000000,0.00247836
VALET,2013,640,1,68,1062.51000000,1709740.36000000,1062.51000000,0.00062145
VALET,2013,650,1,66,5092.58000000,2024668.59000000,5092.58000000,0.00251527
VALET,2013,650,1,75,692.62000000,2024668.59000000,5785.20000000,0.00285736
VALET,2013,660,1,74,562.76000000,2875525.22000000,562.76000000,0.00019571
VALET,2013,670,1,68,116.71000000,2391097.50000000,116.71000000,0.00004881
VALET,2013,680,1,63,5597.52000000,6175416.15000000,5597.52000000,0.00090642
VALET,2013,680,1,73,681.95000000,6175416.15000000,6279.47000000,0.00101685
VALET,2013,680,1,75,178.43000000,6175416.15000000,6457.90000000,0.00104574
VALET,2013,690,1,62,6163.98000000,5044969.23000000,6163.98000000,0.00122181
VALET,2013,690,1,66,4539.21000000,5044969.23000000,10703.19000000,0.00212156
VALET,2013,690,1,68,4695.80000000,5044969.23000000,15398.99000000,0.00305235
VALET,2013,690,1,71,2252.17000000,5044969.23000000,17651.16000000,0.00349876
VALET,2013,690,1,78,1420.48000000,5044969.23000000,19071.64000000,0.00378033
VALET,2013,700,1,67,6076.00000000,8421414.48000000,6076.00000000,0.00072149
VALET,2013,700,1,77,1297.70000000,8421414.48000000,7373.70000000,0.00087559
VALET,2013,710,1,71,565.83000000,6211365.84000000,565.83000000,0.00009110
VALET,2013,710,1,73,1759.13000000,6211365.84000000,2324.96000000,0.00037431
VALET,2013,720,1,65,2837.42000000,6692615.41000000,2837.42000000,0.00042396
VALET,2013,760,1,65,2366.85000000,4846164.94000000,2366.85000000,0.00048840
VALET,2013,760,1,69,850.23000000,4846164.94000000,3217.08000000,0.00066384
VALET,2013,780,1,68,760.12000000,5404665.65000000,760.12000000,0.00014064
VALET,2013,800,1,65,1475.82000000,4933562.08000000,1475.82000000,0.00029914
VALET,2013,820,1,66,2783.59000000,6128239.53000000,2783.59000000,0.00045422
VALET,2013,840,1,66,3749.21000000,4231944.62000000,3749.21000000,0.00088593
VALET,2013,850,1,63,9476.52000000,4121798.34000000,9476.52000000,0.00229912
VALET,2014,600,1,78,515.37000000,454195.20000000,515.37000000,0.00113469
VALET,2014,620,1,69,2361.84000000,592991.52000000,2361.84000000,0.00398292
VALET,2014,630,1,47,12247.69000000,565513.07000000,12247.69000000,0.02165766
VALET,2014,640,2,48,7451.47000000,97811.93000000,7451.47000000,0.07618161
VALET,2014,670,1,62,6342.78000000,2312865.00000000,6342.78000000,0.00274239
VALET,2014,680,1,59,4854.41000000,3039885.71000000,4854.41000000,0.00159691
VALET,2014,690,1,56,8494.43000000,3991690.38000000,8494.43000000,0.00212803
VALET,2014,690,1,71,5766.77000000,3991690.38000000,14261.20000000,0.00357272
VALET,2014,700,1,53,11941.83000000,4715513.60000000,11941.83000000,0.00253246
VALET,2014,700,1,63,491.69000000,4715513.60000000,12433.52000000,0.00263673
VALET,2014,700,2,72,1803.20000000,936869.66000000,1803.20000000,0.00192471
VALET,2014,710,1,61,4398.51000000,4247475.92000000,4398.51000000,0.00103556
VALET,2014,710,1,69,1973.36000000,4247475.92000000,6371.87000000,0.00150015
VALET,2014,710,1,73,590.17000000,4247475.92000000,6962.04000000,0.00163910
VALET,2014,720,1,55,8023.27000000,4034896.25000000,8023.27000000,0.00198847
VALET,2014,720,1,57,5849.02000000,4034896.25000000,13872.29000000,0.00343808
VALET,2014,720,2,71,2394.91000000,444652.45000000,2394.91000000,0.00538603
VALET,2014,740,2,57,5422.54000000,910429.66000000,5422.54000000,0.00595602
VALET,2015,600,1,35,13455.99000000,175845.96000000,13455.99000000,0.07652146
VALET,2015,600,1,52,9018.72000000,175845.96000000,22474.71000000,0.12780908
VALET,2015,620,1,64,4637.21000000,596097.65000000,4637.21000000,0.00777928
VALET,2015,620,2,44,22364.75000000,298455.17000000,22364.75000000,0.07493504
VALET,2015,630,1,47,6196.90000000,858314.17000000,6196.90000000,0.00721985
VALET,2015,630,1,49,14050.22000000,858314.17000000,20247.12000000,0.02358940
VALET,2015,630,1,62,8908.27000000,858314.17000000,29155.39000000,0.03396820
VALET,2015,630,2,75,1157.95000000,383545.15000000,1157.95000000,0.00301907
VALET,2015,640,1,37,9004.73000000,1286593.24000000,9004.73000000,0.00699889
VALET,2015,640,1,59,9060.29000000,1286593.24000000,18065.02000000,0.01404097
VALET,2015,640,2,59,3410.04000000,615493.10000000,3410.04000000,0.00554034
VALET,2015,650,1,50,6156.95000000,1787716.85000000,6156.95000000,0.00344403
VALET,2015,660,1,45,11741.43000000,2213989.69000000,11741.43000000,0.00530329
VALET,2015,660,1,55,16000.91000000,2213989.69000000,27742.34000000,0.01253047
VALET,2015,660,2,41,9335.84000000,697677.10000000,9335.84000000,0.01338132
VALET,2015,660,2,42,10188.69000000,697677.10000000,19524.53000000,0.02798505
VALET,2015,660,2,47,5305.96000000,697677.10000000,24830.49000000,0.03559023
VALET,2015,670,1,41,14603.02000000,1761572.89000000,14603.02000000,0.00828976
VALET,2015,670,2,68,9196.54000000,871801.18000000,9196.54000000,0.01054890
VALET,2015,680,1,63,10372.54000000,3816385.60000000,10372.54000000,0.00271790
VALET,2015,680,2,38,20543.26000000,1392186.77000000,20543.26000000,0.01475611
VALET,2015,680,2,51,6320.87000000,1392186.77000000,26864.13000000,0.01929635
VALET,2015,690,1,32,15716.23000000,4342915.18000000,15716.23000000,0.00361882
VALET,2015,690,1,35,18044.00000000,4342915.18000000,33760.23000000,0.00777363
VALET,2015,690,1,41,22352.95000000,4342915.18000000,56113.18000000,0.01292063
VALET,2015,690,1,45,41619.08000000,4342915.18000000,97732.26000000,0.02250384
VALET,2015,690,2,38,9676.30000000,2134185.80000000,9676.30000000,0.00453395
VALET,2015,700,1,42,22440.81000000,4876908.07000000,22440.81000000,0.00460144
VALET,2015,700,1,73,1517.60000000,4876908.07000000,23958.41000000,0.00491262
VALET,2015,700,2,40,6718.78000000,3611968.79000000,6718.78000000,0.00186014
VALET,2015,700,2,41,8040.13000000,3611968.79000000,14758.91000000,0.00408611
VALET,2015,700,2,62,4508.43000000,3611968.79000000,19267.34000000,0.00533430
VALET,2015,710,2,44,18978.92000000,3086813.75000000,18978.92000000,0.00614839
VALET,2015,710,2,46,10870.30000000,3086813.75000000,29849.22000000,0.00966991
VALET,2015,710,2,53,5960.86000000,3086813.75000000,35810.08000000,0.01160098
VALET,2015,710,2,54,18152.29000000,3086813.75000000,53962.37000000,0.01748158
VALET,2015,740,1,40,15352.02000000,4864422.13000000,15352.02000000,0.00315598
VALET,2015,740,1,58,5637.13000000,4864422.13000000,20989.15000000,0.00431483
VALET,2015,740,2,64,3501.23000000,3336222.67000000,3501.23000000,0.00104946
VALET,2015,780,2,36,5624.13000000,2103081.23000000,5624.13000000,0.00267423
VALET,2015,800,2,41,9246.00000000,2306566.29000000,9246.00000000,0.00400856
VALET,2015,800,2,75,447.94000000,2306566.29000000,9693.94000000,0.00420276
VALET,2015,820,2,43,25506.53000000,1780355.06000000,25506.53000000,0.01432665
VALET,2015,830,2,66,7761.23000000,1421266.03000000,7761.23000000,0.00546079
