issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2,780522.34000000,1848822522.43008924,780522.34000000,0.00042217
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,3,1569276.43000000,1848822522.43008924,2349798.77000000,0.00127097
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,4,1383015.01000000,1848822522.43008924,3732813.78000000,0.00201902
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,5,1212962.53000000,1848822522.43008924,4945776.31000000,0.00267510
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,6,1611253.85000000,1848822522.43008924,6557030.16000000,0.00354660
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,7,1417263.60000000,1848822522.43008924,7974293.76000000,0.00431317
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,8,1982729.86000000,1848822522.43008924,9957023.62000000,0.00538560
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,9,1344575.79000000,1848822522.43008924,11301599.41000000,0.00611286
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,10,1502750.55000000,1848822522.43008924,12804349.96000000,0.00692568
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,11,1125928.89000000,1848822522.43008924,13930278.85000000,0.00753468
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,12,862353.82000000,1848822522.43008924,14792632.67000000,0.00800111
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,13,856061.82000000,1848822522.43008924,15648694.49000000,0.00846414
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,14,1391891.63000000,1848822522.43008924,17040586.12000000,0.00921699
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,15,1108440.82000000,1848822522.43008924,18149026.94000000,0.00981653
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,16,1224891.51000000,1848822522.43008924,19373918.45000000,0.01047906
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,17,1076604.37000000,1848822522.43008924,20450522.82000000,0.01106138
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,18,1039008.02000000,1848822522.43008924,21489530.84000000,0.01162336
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,19,869703.85000000,1848822522.43008924,22359234.69000000,0.01209377
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,20,981864.33000000,1848822522.43008924,23341099.02000000,0.01262485
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,21,826479.76000000,1848822522.43008924,24167578.78000000,0.01307188
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,22,743791.39000000,1848822522.43008924,24911370.17000000,0.01347418
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,23,766269.87000000,1848822522.43008924,25677640.04000000,0.01388865
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,24,342629.17000000,1848822522.43008924,26020269.21000000,0.01407397
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,25,522861.41000000,1848822522.43008924,26543130.62000000,0.01435678
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,26,633265.00000000,1848822522.43008924,27176395.62000000,0.01469930
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,27,361006.54000000,1848822522.43008924,27537402.16000000,0.01489456
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,28,394503.86000000,1848822522.43008924,27931906.02000000,0.01510794
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,29,538175.39000000,1848822522.43008924,28470081.41000000,0.01539903
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,30,489750.09000000,1848822522.43008924,28959831.50000000,0.01566393
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,31,472170.65000000,1848822522.43008924,29432002.15000000,0.01591932
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,32,416198.46000000,1848822522.43008924,29848200.61000000,0.01614444
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,33,399190.89000000,1848822522.43008924,30247391.50000000,0.01636035
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,34,281223.49000000,1848822522.43008924,30528614.99000000,0.01651246
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,35,212685.22000000,1848822522.43008924,30741300.21000000,0.01662750
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,36,147864.07000000,1848822522.43008924,30889164.28000000,0.01670748
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,37,159588.69000000,1848822522.43008924,31048752.97000000,0.01679380
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,38,129746.12000000,1848822522.43008924,31178499.09000000,0.01686398
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,39,169107.00000000,1848822522.43008924,31347606.09000000,0.01695544
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,40,88212.01000000,1848822522.43008924,31435818.10000000,0.01700316
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,41,50975.80000000,1848822522.43008924,31486793.90000000,0.01703073
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,42,169433.25000000,1848822522.43008924,31656227.15000000,0.01712237
