issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,1,295721.70000000,1159495251.43000650,295721.70000000,0.00025504
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,2,325024.47000000,1159495251.43000650,620746.17000000,0.00053536
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,3,1122992.88000000,1159495251.43000650,1743739.05000000,0.00150388
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,4,1116468.24000000,1159495251.43000650,2860207.29000000,0.00246677
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,5,1325006.25000000,1159495251.43000650,4185213.54000000,0.00360951
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,6,1080793.44000000,1159495251.43000650,5266006.98000000,0.00454164
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,7,1311800.38000000,1159495251.43000650,6577807.36000000,0.00567299
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,8,1056526.45000000,1159495251.43000650,7634333.81000000,0.00658419
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,9,1384326.60000000,1159495251.43000650,9018660.41000000,0.00777809
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,10,1130980.87000000,1159495251.43000650,10149641.28000000,0.00875350
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,11,1140749.95000000,1159495251.43000650,11290391.23000000,0.00973733
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,12,1005096.94000000,1159495251.43000650,12295488.17000000,0.01060417
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,13,980843.83000000,1159495251.43000650,13276332.00000000,0.01145010
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,14,1492182.45000000,1159495251.43000650,14768514.45000000,0.01273702
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,15,808928.19000000,1159495251.43000650,15577442.64000000,0.01343468
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,16,1234125.08000000,1159495251.43000650,16811567.72000000,0.01449904
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,17,960396.16000000,1159495251.43000650,17771963.88000000,0.01532733
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,18,1189758.04000000,1159495251.43000650,18961721.92000000,0.01635343
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,19,824149.91000000,1159495251.43000650,19785871.83000000,0.01706421
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,20,718907.38000000,1159495251.43000650,20504779.21000000,0.01768423
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,21,792724.25000000,1159495251.43000650,21297503.46000000,0.01836791
WOART,WOART 2018-C,WORLD OMNI AUTO RECEIVABLES TRUST 2018-C,22,980236.99000000,1159495251.43000650,22277740.45000000,0.01921331
