issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
AART,2017-02-01,0.00000000,1,1097944795.49499989,,,,pass
AART,2017-03-01,0.00024916,1,1061491333.85500002,,,,pass
AART,2017-04-01,0.00073295,2,2023315116.19999981,,,,pass
AART,2017-05-01,0.00148591,2,1948344250.79999995,,,,pass
AART,2017-06-01,0.00175042,3,2912234150.63000011,,,,pass
AART,2017-07-01,0.00248853,3,2798261176.28499985,0.00342157,1.00000000,911676468.64999998,pass
AART,2017-08-01,0.00312987,3,2690774247.19500017,0.00440220,1.00000000,875990996.19000006,pass
AART,2017-09-01,0.00351374,4,3672344954.73000002,0.00514889,2.00000000,1662647016.87500000,pass
AART,2017-10-01,0.00359888,4,3531540515.02500010,0.00553018,2.00000000,1596948932.43499994,pass
AART,2017-11-01,0.00442290,4,3393836961.19499969,0.00584439,3.00000000,2383080723.85500002,pass
AART,2017-12-01,0.00428899,5,3799658189.75500011,0.00551466,3.00000000,2285871699.59500027,pass
AART,2018-01-01,0.00488193,5,3646199297.59000015,0.00545512,3.00000000,2196208764.91499996,pass
AART,2018-02-01,0.00446668,6,4600873259.85499954,0.00645281,4.00000000,3008369776.04999971,pass
AART,2018-03-01,0.00468809,6,4419557891.64500046,0.00614044,4.00000000,2885999218.57999992,pass
AART,2018-04-01,0.00456847,6,4240964043.80499983,0.00571453,5.00000000,3222717821.77499962,pass
AART,2018-05-01,0.00384667,7,5157972225.03499985,0.00555750,5.00000000,3083233068.65499973,pass
AART,2018-06-01,0.00383435,7,4945201909.03000069,0.00493133,5.00000000,2950700076.03000021,pass
AART,2018-07-01,0.00327905,8,5841403278.52499962,0.00484793,6.00000000,3727387081.32499981,pass
AART,2018-08-01,0.00412571,8,5603278072.93500042,0.00569915,6.00000000,3568768680.44000006,pass
AART,2018-09-01,0.00455296,8,5366077050.69000053,0.00583483,6.00000000,3410806322.68000031,pass
AART,2018-10-01,0.00511690,8,5146403522.65999985,0.00572289,7.00000000,4166401954.38500023,pass
AART,2018-11-01,0.00599666,8,4930953935.26000023,0.00639792,7.00000000,3989348049.46000004,pass
AART,2018-12-01,0.00631946,8,4717012474.26000023,0.00631946,8.00000000,4717012474.26000023,pass
AART,2019-01-01,0.00627610,8,4518336028.47999954,0.00627610,8.00000000,4518336028.47999954,pass
AART,2019-02-01,0.00701452,8,4320771143.78999996,0.00701452,8.00000000,4320771143.78999996,pass
AART,2019-03-01,0.00539152,9,5215870417.90999985,0.00680741,8.00000000,4131008136.67500019,pass
AART,2019-04-01,0.00586746,9,4978411307.52999973,0.00717982,8.00000000,3946258540.00000000,pass
AART,2019-05-01,0.00512405,9,4755603151.09500027,0.00578347,8.00000000,3759091497.92999983,pass
AART,2019-06-01,0.00578262,9,4539165233.19999981,0.00649872,8.00000000,3578038624.08999968,pass
AART,2019-07-01,0.00440962,10,5423604250.56500053,0.00536396,9.00000000,4339574691.60499954,pass
