issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
AART,AART 2017-3,Ally Auto Receivables Trust 2017-3,2017,1,2017-06-15,0.00000000,0.00000000,1057998087.92999995
AART,AART 2017-4,Ally Auto Receivables Trust 2017-4,2017,1,2017-09-15,0.00000758,8398.51000000,1107866076.72000003
AART,AART 2017-2,Ally Auto Receivables Trust 2017-2,2017,1,2017-04-17,0.00000063,639.71000000,1019852295.51999998
AART,AART 2017-1,Ally Auto Receivables Trust 2017-1,2017,1,2017-02-15,0.00000000,0.00000000,1116603712.28999996
AART,AART 2017-1,Ally Auto Receivables Trust 2017-1,2017,2,2017-03-15,0.00001974,22040.26000000,1116603712.28999996
AART,AART 2017-2,Ally Auto Receivables Trust 2017-2,2017,2,2017-05-15,0.00007948,81057.67000000,1019852295.51999998
AART,AART 2017-5,Ally Auto Receivables Trust 2017-5,2017,2,2017-12-15,0.00003900,21837.41000000,559999919.77999997
AART,AART 2017-3,Ally Auto Receivables Trust 2017-3,2017,2,2017-07-17,0.00008955,94743.62000000,1057998087.92999995
AART,AART 2017-4,Ally Auto Receivables Trust 2017-4,2017,2,2017-10-16,0.00003370,37338.21000000,1107866076.72000003
AART,AART 2017-4,Ally Auto Receivables Trust 2017-4,2017,3,2017-11-15,0.00011516,127584.54000000,1107866076.72000003
AART,AART 2017-2,Ally Auto Receivables Trust 2017-2,2017,3,2017-06-15,0.00018777,191497.87000000,1019852295.51999998
AART,AART 2017-5,Ally Auto Receivables Trust 2017-5,2017,3,2018-01-16,0.00013755,77026.14000000,559999919.77999997
AART,AART 2017-3,Ally Auto Receivables Trust 2017-3,2017,3,2017-08-15,0.00020222,213952.00000000,1057998087.92999995
AART,AART 2017-1,Ally Auto Receivables Trust 2017-1,2017,3,2017-04-17,0.00012984,144982.48000000,1116603712.28999996
AART,AART 2017-4,Ally Auto Receivables Trust 2017-4,2017,4,2017-12-15,0.00037308,413320.62000000,1107866076.72000003
AART,AART 2017-5,Ally Auto Receivables Trust 2017-5,2017,4,2018-02-15,0.00030692,171875.25000000,559999919.77999997
AART,AART 2017-2,Ally Auto Receivables Trust 2017-2,2017,4,2017-07-17,0.00040898,417102.92000000,1019852295.51999998
AART,AART 2017-1,Ally Auto Receivables Trust 2017-1,2017,4,2017-05-15,0.00027388,305819.59000000,1116603712.28999996
AART,AART 2017-3,Ally Auto Receivables Trust 2017-3,2017,4,2017-09-15,0.00053635,567460.84000000,1057998087.92999995
AART,AART 2017-1,Ally Auto Receivables Trust 2017-1,2017,5,2017-06-15,0.00055542,620182.11000000,1116603712.28999996
AART,AART 2017-5,Ally Auto Receivables Trust 2017-5,2017,5,2018-03-15,0.00070039,392217.36000000,559999919.77999997
AART,AART 2017-2,Ally Auto Receivables Trust 2017-2,2017,5,2017-08-15,0.00066515,678352.67000000,1019852295.51999998
AART,AART 2017-4,Ally Auto Receivables Trust 2017-4,2017,5,2018-01-16,0.00076103,843123.39000000,1107866076.72000003
AART,AART 2017-3,Ally Auto Receivables Trust 2017-3,2017,5,2017-10-16,0.00081446,861702.40000000,1057998087.92999995
AART,AART 2017-4,Ally Auto Receivables Trust 2017-4,2017,6,2018-02-15,0.00115921,1284253.28000000,1107866076.72000003
AART,AART 2017-2,Ally Auto Receivables Trust 2017-2,2017,6,2017-09-15,0.00092722,945626.07000000,1019852295.51999998
AART,AART 2017-5,Ally Auto Receivables Trust 2017-5,2017,6,2018-04-16,0.00104290,584022.10000000,559999919.77999997
AART,AART 2017-3,Ally Auto Receivables Trust 2017-3,2017,6,2017-11-15,0.00117607,1244279.67000000,1057998087.92999995
AART,AART 2017-1,Ally Auto Receivables Trust 2017-1,2017,6,2017-07-17,0.00078822,880128.82000000,1116603712.28999996
AART,AART 2017-3,Ally Auto Receivables Trust 2017-3,2017,7,2017-12-15,0.00143230,1515367.36000000,1057998087.92999995
AART,AART 2017-2,Ally Auto Receivables Trust 2017-2,2017,7,2017-10-16,0.00121038,1234413.78000000,1019852295.51999998
AART,AART 2017-5,Ally Auto Receivables Trust 2017-5,2017,7,2018-05-15,0.00134199,751511.78000000,559999919.77999997
AART,AART 2017-4,Ally Auto Receivables Trust 2017-4,2017,7,2018-03-15,0.00143136,1585753.66000000,1107866076.72000003
AART,AART 2017-1,Ally Auto Receivables Trust 2017-1,2017,7,2017-08-15,0.00107602,1201485.95000000,1116603712.28999996
