issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
AART,2017,1,0.00000210,9038.22000000,4302320172.46000004,4,2017-09-15
AART,2017,2,0.00005286,257017.17000000,4862320092.23999977,5,2017-12-15
AART,2017,3,0.00015528,755043.03000000,4862320092.23999977,5,2018-01-16
AART,2017,4,0.00038574,1875579.22000000,4862320092.23999977,5,2018-02-15
AART,2017,5,0.00069835,3395577.93000000,4862320092.23999977,5,2018-03-15
AART,2017,6,0.00101563,4938309.94000000,4862320092.23999977,5,2018-04-16
AART,2017,7,0.00129332,6288532.53000000,4862320092.23999977,5,2018-05-15
AART,2017,8,0.00163682,7958750.47000000,4862320092.23999977,5,2018-06-15
AART,2017,9,0.00204285,9932989.12000000,4862320092.23999977,5,2018-07-16
AART,2017,10,0.00234374,11395990.19000000,4862320092.23999977,5,2018-08-15
AART,2017,11,0.00261708,12725104.82000000,4862320092.23999977,5,2018-09-17
AART,2017,12,0.00297872,14483486.37000000,4862320092.23999977,5,2018-10-15
AART,2017,13,0.00329668,16029506.92000000,4862320092.23999977,5,2018-11-15
AART,2017,14,0.00363775,17687906.49000000,4862320092.23999977,5,2018-12-17
AART,2017,15,0.00386342,18785173.62000000,4862320092.23999977,5,2019-01-15
AART,2017,16,0.00415712,20213224.92000000,4862320092.23999977,5,2019-02-15
AART,2017,17,0.00440854,21435712.71000000,4862320092.23999977,5,2019-03-15
AART,2017,18,0.00466471,22681293.06000000,4862320092.23999977,5,2019-04-15
AART,2017,19,0.00492415,23942787.86000000,4862320092.23999977,5,2019-05-15
AART,2017,20,0.00518284,25200620.21000000,4862320092.23999977,5,2019-06-17
AART,2017,21,0.00545953,26545997.08000000,4862320092.23999977,5,2019-07-15
AART,2017,22,0.00573501,27885463.35000000,4862320092.23999977,5,2019-08-15
AART,2017,23,0.00598419,29097024.83000000,4862320092.23999977,5,2019-09-16
AART,2017,24,0.00621291,30209169.90000000,4862320092.23999977,5,2019-10-15
AART,2017,25,0.00646040,31412513.65000000,4862320092.23999977,5,2019-11-15
AART,2017,26,0.00666601,32412278.07000000,4862320092.23999977,5,2019-12-16
AART,2017,27,0.00682132,33167441.03000000,4862320092.23999977,5,2020-01-15
AART,2017,28,0.00707113,34382095.87000000,4862320092.23999977,5,2020-02-18
AART,2017,29,0.00725116,35257464.06000000,4862320092.23999977,5,2020-03-16
AART,2017,30,0.00745539,36250491.09000000,4862320092.23999977,5,2020-04-15
AART,2017,31,0.00766436,37266578.11000000,4862320092.23999977,5,2020-05-15
AART,2017,32,0.00783766,38109207.19000000,4862320092.23999977,5,2020-06-15
AART,2017,33,0.00797627,38783174.31000000,4862320092.23999977,5,2020-07-15
AART,2017,34,0.00813413,39550761.54000000,4862320092.23999977,5,2020-08-17
AART,2017,35,0.00825773,40151732.82000000,4862320092.23999977,5,2020-09-15
AART,2017,36,0.00836904,40692933.28000000,4862320092.23999977,5,2020-10-15
