issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
AMCAR,2017-03-01,0.00167259,1,997027234.50000000,,,,pass
AMCAR,2017-04-01,0.00704532,1,970069750.50000000,,,,pass
AMCAR,2017-05-01,0.01806250,1,947140815.50000000,,,,pass
AMCAR,2017-06-01,0.01381429,2,2316421036.50000000,,,,pass
AMCAR,2017-07-01,0.01472236,2,2254267344.50000000,,,,pass
AMCAR,2017-08-01,0.02705129,2,2198076162.50000000,0.03868549,1.00000000,870855265.50000000,pass
AMCAR,2017-09-01,0.02581365,3,3421961158.50000000,0.04337665,1.00000000,844930446.00000000,pass
AMCAR,2017-10-01,0.02406741,3,3327408322.00000000,0.03096776,1.00000000,820103361.50000000,pass
AMCAR,2017-11-01,0.03599736,3,3240860253.50000000,0.03938497,2.00000000,2018741787.50000000,pass
AMCAR,2017-12-01,0.02719852,4,4545074504.00000000,0.04192989,2.00000000,1960342474.00000000,pass
AMCAR,2018-01-01,0.02952083,4,4424518502.00000000,0.03940914,2.00000000,1905234821.00000000,pass
AMCAR,2018-02-01,0.03276390,4,4317485278.50000000,0.03789335,3.00000000,2987396738.00000000,pass
AMCAR,2018-03-01,0.04336191,4,4204765782.00000000,0.04868699,3.00000000,2904372240.50000000,pass
AMCAR,2018-04-01,0.04611037,4,4073797355.00000000,0.04885200,3.00000000,2809650883.00000000,pass
AMCAR,2018-05-01,0.03475936,4,3942589735.00000000,0.03475936,4.00000000,3942589735.00000000,pass
AMCAR,2018-06-01,0.02857442,5,4999044681.00000000,0.03713051,4.00000000,3819740371.50000000,pass
AMCAR,2018-07-01,0.02519178,5,4849934515.00000000,0.03215815,4.00000000,3700653129.50000000,pass
AMCAR,2018-08-01,0.03390548,5,4708532039.50000000,0.03969036,4.00000000,3584607181.50000000,pass
AMCAR,2018-09-01,0.03187755,6,5901500204.00000000,0.04529658,4.00000000,3465860659.00000000,pass
AMCAR,2018-10-01,0.02625984,6,5726551450.50000000,0.03576758,4.00000000,3352023033.00000000,pass
AMCAR,2018-11-01,0.03759523,6,5561472784.00000000,0.04246876,5.00000000,4282523388.50000000,pass
AMCAR,2018-12-01,0.03618470,7,6464919100.00000000,0.04708926,5.00000000,4143245851.00000000,pass
AMCAR,2019-01-01,0.03779081,7,6277838097.00000000,0.04738232,5.00000000,4011672567.00000000,pass
AMCAR,2019-02-01,0.04335952,7,6097589473.00000000,0.04754869,6.00000000,5072124121.50000000,pass
AMCAR,2019-03-01,0.03871775,7,5916115951.00000000,0.04096159,6.00000000,4913102440.50000000,pass
AMCAR,2019-04-01,0.03129778,8,6997177302.00000000,0.03872438,6.00000000,4749239223.00000000,pass
AMCAR,2019-05-01,0.02659897,8,6767044393.50000000,0.03090340,7.00000000,5534746134.50000000,pass
AMCAR,2019-06-01,0.02829247,8,6555945953.50000000,0.03099379,7.00000000,5353485680.00000000,pass
AMCAR,2019-07-01,0.02851194,9,7204126987.00000000,0.03364652,7.00000000,5178483441.50000000,pass
AMCAR,2019-08-01,0.03140779,9,6975936927.50000000,0.03566167,7.00000000,5007278403.50000000,pass
AMCAR,2019-09-01,0.03756476,9,6748131570.50000000,0.03973773,8.00000000,5938735690.50000000,pass
AMCAR,2019-10-01,0.03255328,10,7385393642.50000000,0.03757353,8.00000000,5739548264.50000000,pass
AMCAR,2019-11-01,0.04416753,10,7143660946.00000000,0.05036685,8.00000000,5543060776.50000000,pass
AMCAR,2019-12-01,0.03938804,10,6913758377.00000000,0.04208631,9.00000000,6100384407.50000000,pass
AMCAR,2020-01-01,0.04789158,10,6693864996.50000000,0.05018125,9.00000000,5900910751.00000000,pass
AMCAR,2020-02-01,0.04785077,10,6465419198.50000000,0.04941074,9.00000000,5695047701.50000000,pass
AMCAR,2020-03-01,0.04059109,10,6242933157.50000000,0.04059109,10.00000000,6242933157.50000000,pass
AMCAR,2020-04-01,0.03273044,11,6988186018.00000000,0.03761442,10.00000000,6030738489.00000000,pass
AMCAR,2020-05-01,0.03196549,11,6755938743.00000000,0.03668253,10.00000000,5831579553.00000000,pass
AMCAR,2020-06-01,0.04000624,11,6542731892.50000000,0.04298898,10.00000000,5640782538.50000000,pass
AMCAR,2020-07-01,0.03537808,11,6328964719.50000000,0.03809659,10.00000000,5450361451.50000000,pass
AMCAR,2020-08-01,0.01967338,12,7197563156.50000000,0.02399169,10.00000000,5260501066.50000000,pass
AMCAR,2020-09-01,0.01655958,12,6946694458.50000000,0.01913171,11.00000000,5899951896.50000000,pass
AMCAR,2020-10-01,0.01363102,12,6700676920.00000000,0.01473696,11.00000000,5683653598.50000000,pass
AMCAR,2020-11-01,0.02378724,12,6444022577.00000000,0.02608995,11.00000000,5458517010.00000000,pass
AMCAR,2020-12-01,0.01575141,13,7381765120.00000000,0.01947306,11.00000000,5245964094.50000000,pass
AMCAR,2021-01-01,0.02304296,13,7116360742.50000000,0.02701583,12.00000000,5969019958.00000000,pass
AMCAR,2021-02-01,0.02444162,13,6852799896.50000000,0.02745984,12.00000000,5734920125.50000000,pass
AMCAR,2021-03-01,0.01686815,13,6612988222.00000000,0.01865923,12.00000000,5522748111.00000000,pass
AMCAR,2021-04-01,0.01568282,14,7896148224.00000000,0.02051661,12.00000000,5288871268.00000000,pass
AMCAR,2021-05-01,0.00699560,14,7530946399.50000000,0.00809958,13.00000000,6051513551.00000000,pass
AMCAR,2021-06-01,0.00637498,14,7207442683.00000000,0.00662257,13.00000000,5779765871.50000000,pass
AMCAR,2021-07-01,0.00727653,15,8025143493.50000000,0.00901150,13.00000000,5509250910.50000000,pass
AMCAR,2021-08-01,0.00645470,15,7655686495.50000000,0.00684402,13.00000000,5239764890.00000000,pass
AMCAR,2021-09-01,0.01088325,15,7270345055.00000000,0.01140158,14.00000000,6206535531.50000000,pass
AMCAR,2021-10-01,0.01213489,14,6914027809.00000000,0.01173758,13.00000000,5884225148.50000000,pass
AMCAR,2021-11-01,0.01248916,14,6619566474.00000000,0.01240093,13.00000000,5623663525.00000000,pass
AMCAR,2021-12-01,0.01152178,15,7199966701.50000000,0.01320289,14.00000000,6264166740.50000000,pass
AMCAR,2022-01-01,0.01238274,14,6822834631.50000000,0.01409208,13.00000000,5921310699.00000000,pass
AMCAR,2022-02-01,0.01564424,14,6537322820.50000000,0.01714938,13.00000000,5662278775.00000000,pass
AMCAR,2022-03-01,0.01452643,14,6198478879.00000000,0.01516991,13.00000000,5350395558.50000000,pass
AMCAR,2022-04-01,0.01188972,14,6984330399.00000000,0.01430338,12.00000000,5029996630.00000000,pass
AMCAR,2022-05-01,0.00665276,14,6658787194.50000000,0.00766465,13.00000000,5570549644.50000000,pass
AMCAR,2022-06-01,0.01001121,14,6308391984.00000000,0.01057956,13.00000000,5255823413.00000000,pass
AMCAR,2022-07-01,0.01071655,14,7379511434.50000000,0.01352019,12.00000000,4958506955.00000000,pass
AMCAR,2022-08-01,0.01588383,14,7082852928.00000000,0.02078665,12.00000000,4745560715.00000000,pass
AMCAR,2022-09-01,0.01877137,14,6810116150.50000000,0.01955250,13.00000000,5493639472.00000000,pass
AMCAR,2022-10-01,0.02144986,14,6549193343.50000000,0.02225612,13.00000000,5271170362.00000000,pass
AMCAR,2022-11-01,0.02174304,14,6250959290.00000000,0.02224093,13.00000000,5009778511.00000000,pass
AMCAR,2022-12-01,0.02593640,13,5974455893.00000000,0.02593640,13.00000000,5974455893.00000000,pass
AMCAR,2023-01-01,0.02990712,13,5770097393.00000000,0.02990712,13.00000000,5770097393.00000000,pass
AMCAR,2023-02-01,0.02977357,13,5576302330.00000000,0.02977357,13.00000000,5576302330.00000000,pass
AMCAR,2023-03-01,0.02077296,13,5323111770.50000000,0.02077296,13.00000000,5323111770.50000000,pass
AMCAR,2023-04-01,0.02045487,13,6392939876.00000000,0.02572801,12.00000000,5058296972.50000000,pass
AMCAR,2023-05-01,0.01776775,13,6156563766.00000000,0.02148992,12.00000000,4865364324.00000000,pass
AMCAR,2023-06-01,0.01986154,13,5891922975.50000000,0.02172720,12.00000000,4632952500.50000000,pass
AMCAR,2023-07-01,0.02468362,12,5627966376.00000000,0.02654627,11.00000000,4402535711.50000000,pass
AMCAR,2023-08-01,0.02408842,12,5431656640.50000000,0.02487467,11.00000000,4238637240.00000000,pass
AMCAR,2023-09-01,0.03167547,12,5177330273.00000000,0.03167547,12.00000000,5177330273.00000000,pass
AMCAR,2023-10-01,0.02621948,12,6488551529.50000000,0.03391491,11.00000000,4929213024.00000000,pass
AMCAR,2023-11-01,0.02729616,12,6269601588.50000000,0.03451986,11.00000000,4758960045.50000000,pass
AMCAR,2023-12-01,0.03370676,12,6074574406.50000000,0.03744281,11.00000000,4598194701.50000000,pass
AMCAR,2024-01-01,0.03609272,12,5843417480.50000000,0.03973909,11.00000000,4402309037.50000000,pass
AMCAR,2024-02-01,0.03833286,11,5616655586.50000000,0.04169673,10.00000000,4210370489.00000000,pass
AMCAR,2024-03-01,0.03867152,11,5431291091.00000000,0.03867152,11.00000000,5431291091.00000000,pass
AMCAR,2024-04-01,0.03273311,11,5198755776.00000000,0.03273311,11.00000000,5198755776.00000000,pass
AMCAR,2024-05-01,0.03363759,10,4973488342.00000000,0.03363759,10.00000000,4973488342.00000000,pass
AMCAR,2024-06-01,0.02619516,11,6442717234.00000000,0.03426165,10.00000000,4797715309.00000000,pass
AMCAR,2024-07-01,0.02865263,11,6174297335.00000000,0.03651312,10.00000000,4579425475.50000000,pass
AMCAR,2024-08-01,0.03170568,10,5926882001.50000000,0.03628038,9.00000000,4371762648.00000000,pass
AMCAR,2024-09-01,0.04419458,10,5729601867.00000000,0.04747755,9.00000000,4216747690.50000000,pass
AMCAR,2024-10-01,0.03904622,10,5478478978.00000000,0.04095287,9.00000000,4008994149.50000000,pass
AMCAR,2024-11-01,0.04491892,9,5228326272.00000000,0.04491892,9.00000000,5228326272.00000000,pass
AMCAR,2024-12-01,0.04599628,9,5042594511.00000000,0.04599628,9.00000000,5042594511.00000000,pass
AMCAR,2025-01-01,0.05547346,9,4864881254.00000000,0.05547346,9.00000000,4864881254.00000000,pass
AMCAR,2025-02-01,0.05277696,9,4685951341.50000000,0.05277696,9.00000000,4685951341.50000000,pass
AMCAR,2025-03-01,0.04430164,9,4513125937.50000000,0.04430164,9.00000000,4513125937.50000000,pass
AMCAR,2025-04-01,0.04605577,9,4338855761.00000000,0.04605577,9.00000000,4338855761.00000000,pass
AMCAR,2025-05-01,0.04221478,9,4107323537.00000000,0.04221478,9.00000000,4107323537.00000000,pass
AMCAR,2025-06-01,0.04564034,8,3808106198.50000000,0.04564034,8.00000000,3808106198.50000000,pass
AMCAR,2025-07-01,0.05048553,7,3580460063.50000000,0.05048553,7.00000000,3580460063.50000000,pass
AMCAR,2025-08-01,0.04680508,7,3441038377.00000000,0.04680508,7.00000000,3441038377.00000000,pass
AMCAR,2025-09-01,0.05560612,7,3302167916.00000000,0.05560612,7.00000000,3302167916.00000000,pass
AMCAR,2025-10-01,0.05846035,7,3169407510.00000000,0.05846035,7.00000000,3169407510.00000000,pass
AMCAR,2025-11-01,0.06330369,7,3037625517.50000000,0.06330369,7.00000000,3037625517.50000000,pass
AMCAR,2025-12-01,0.06011234,7,2913039139.50000000,0.06011234,7.00000000,2913039139.50000000,pass
AMCAR,2026-01-01,0.07442534,7,2737398438.50000000,0.07442534,7.00000000,2737398438.50000000,pass
AMCAR,2026-02-01,0.06212238,6,2565820625.00000000,0.06212238,6.00000000,2565820625.00000000,pass
AMCAR,2026-03-01,0.05401095,6,2459933719.00000000,0.05401095,6.00000000,2459933719.00000000,pass
AMCAR,2026-04-01,0.05933288,6,2350652678.50000000,0.05933288,6.00000000,2350652678.50000000,pass
AMCAR,2026-05-01,0.06030798,6,2240158969.00000000,0.06030798,6.00000000,2240158969.00000000,pass
AMCAR,2026-06-01,0.05618814,6,2089455863.00000000,0.05618814,6.00000000,2089455863.00000000,pass
