issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,1,2017-12-18,0.00000000,0.00000000,1414654756.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,1,2017-03-20,0.00000000,0.00000000,1011969929.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,1,2017-06-19,0.00000000,0.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,1,2017-09-18,0.00000000,0.00000000,1305771424.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,2,2017-04-18,0.00013732,138968.00000000,1011969929.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,2,2017-10-18,0.00030708,400976.00000000,1305771424.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,2,2018-01-18,0.00005853,82795.00000000,1414654756.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,2,2017-07-18,0.00015347,217116.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,3,2017-11-20,0.00077989,1018363.00000000,1305771424.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,3,2017-05-18,0.00070013,708506.00000000,1011969929.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,3,2017-08-18,0.00060260,852501.00000000,1414699881.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,3,2018-02-20,0.00049379,698542.00000000,1414654756.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,4,2017-12-18,0.00315106,4114559.00000000,1305771424.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,4,2017-06-19,0.00210891,2134150.00000000,1011969929.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,4,2017-09-18,0.00212067,3000113.00000000,1414699881.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,4,2018-03-19,0.00215822,3053140.00000000,1414654756.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,5,2017-10-18,0.00488164,6906058.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,5,2018-01-18,0.00573119,7483627.00000000,1305771424.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,5,2017-07-18,0.00452946,4583677.00000000,1011969929.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,5,2018-04-18,0.00456880,6463269.00000000,1414654756.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,6,2018-02-20,0.00880363,11495529.00000000,1305771424.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,6,2017-08-18,0.00663455,6713970.00000000,1011969929.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,6,2017-11-20,0.00766649,10845781.00000000,1414699881.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,6,2018-05-18,0.00754875,10678872.00000000,1414654756.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,7,2017-12-18,0.01055187,14927732.00000000,1414699881.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,7,2018-06-18,0.00968606,13702430.00000000,1414654756.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,7,2017-09-18,0.00940880,9521425.00000000,1011969929.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,7,2018-03-19,0.01154148,15070541.00000000,1305771424.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,8,2017-10-18,0.01242686,12575613.00000000,1011969929.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,8,2018-07-18,0.01168521,16530533.00000000,1414654756.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,8,2018-01-18,0.01343638,19008447.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,8,2018-04-18,0.01520484,19854044.00000000,1305771424.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,9,2018-02-20,0.01605431,22712037.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,9,2018-05-18,0.01834719,23957233.00000000,1305771424.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,9,2017-11-20,0.01451823,14692010.00000000,1011969929.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,9,2018-08-20,0.01342722,18994884.00000000,1414654756.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,10,2018-09-18,0.01525061,21574354.00000000,1414654756.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,10,2017-12-18,0.01703186,17235732.00000000,1011969929.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,10,2018-06-18,0.02048755,26752062.00000000,1305771424.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,10,2018-03-19,0.01857781,26282027.00000000,1414699881.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,11,2018-04-18,0.02122013,30020120.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,11,2018-07-18,0.02278892,29757124.00000000,1305771424.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,11,2018-10-18,0.01759057,24884580.00000000,1414654756.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,11,2018-01-18,0.01976814,20004762.00000000,1011969929.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,12,2018-11-19,0.01955739,27666956.00000000,1414654756.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,12,2018-08-20,0.02489045,32501241.00000000,1305771424.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,12,2018-05-18,0.02406574,34045800.00000000,1414699881.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,12,2018-02-20,0.02229132,22558144.00000000,1011969929.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,13,2018-03-19,0.02455279,24846681.00000000,1011969929.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,13,2018-12-18,0.02178989,30825172.00000000,1414654756.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,13,2018-06-18,0.02645170,37421221.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,13,2018-09-18,0.02734143,35701662.00000000,1305771424.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,14,2018-07-18,0.02884490,40806870.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,14,2018-10-18,0.03017039,39395631.00000000,1305771424.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,14,2018-04-18,0.02777637,28108847.00000000,1011969929.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,14,2019-01-18,0.02429803,34373318.00000000,1414654756.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,15,2018-08-20,0.03105721,43936628.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,15,2018-11-19,0.03255670,42511602.00000000,1305771424.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,15,2018-05-18,0.03104644,31418067.00000000,1011969929.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,15,2019-02-19,0.02663037,37672780.00000000,1414654756.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,16,2018-09-18,0.03381460,47837513.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,16,2018-12-18,0.03544235,46279609.00000000,1305771424.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,16,2019-03-18,0.02923960,41363935.00000000,1414654756.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,16,2018-06-18,0.03324646,33644418.00000000,1011969929.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,17,2018-10-18,0.03639282,51484914.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,17,2019-01-18,0.03810020,49750155.00000000,1305771424.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,17,2018-07-18,0.03581596,36244679.00000000,1011969929.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,17,2019-04-18,0.03166361,44793077.00000000,1414654756.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,18,2019-05-20,0.03375676,47754159.00000000,1414654756.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,18,2018-08-20,0.03737624,37823632.00000000,1011969929.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,18,2019-02-19,0.04096857,53495591.00000000,1305771424.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,18,2018-11-19,0.03829451,54175242.00000000,1414699881.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,19,2018-09-18,0.03952593,39999052.00000000,1011969929.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,19,2019-06-18,0.03548125,50193718.00000000,1414654756.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,19,2018-12-18,0.04061733,57461326.00000000,1414699881.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,19,2019-03-18,0.04359969,56931230.00000000,1305771424.00000000
AMCAR,AMCAR 2017-4,AmeriCredit Automobile Receivables Trust 2017-4,2017,20,2019-07-18,0.03719538,52618625.00000000,1414654756.00000000
AMCAR,AMCAR 2017-3,AmeriCredit Automobile Receivables Trust 2017-3,2017,20,2019-04-18,0.04581282,59821070.00000000,1305771424.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,20,2019-01-18,0.04358073,61653652.00000000,1414699881.00000000
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2017,20,2018-10-18,0.04192821,42430092.00000000,1011969929.00000000
AMCAR,AMCAR 2017-2,AmeriCredit Automobile Receivables Trust 2017-2,2017,21,2019-02-19,0.04621253,65376867.00000000,1414699881.00000000
