issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
AMCAR,2017,1,0.00000000,0.00000000,5147095990.00000000,4,2017-12-18
AMCAR,2017,2,0.00016317,839855.00000000,5147095990.00000000,4,2018-01-18
AMCAR,2017,3,0.00063685,3277912.00000000,5147095990.00000000,4,2018-02-20
AMCAR,2017,4,0.00239008,12301962.00000000,5147095990.00000000,4,2018-03-19
AMCAR,2017,5,0.00494194,25436631.00000000,5147095990.00000000,4,2018-04-18
AMCAR,2017,6,0.00771972,39734152.00000000,5147095990.00000000,4,2018-05-18
AMCAR,2017,7,0.01034022,53222128.00000000,5147095990.00000000,4,2018-06-18
AMCAR,2017,8,0.01320524,67968637.00000000,5147095990.00000000,4,2018-07-18
AMCAR,2017,9,0.01561194,80356164.00000000,5147095990.00000000,4,2018-08-20
AMCAR,2017,10,0.01784388,91844175.00000000,5147095990.00000000,4,2018-09-18
AMCAR,2017,11,0.02033508,104666586.00000000,5147095990.00000000,4,2018-10-18
AMCAR,2017,12,0.02268700,116772141.00000000,5147095990.00000000,4,2018-11-19
AMCAR,2017,13,0.02502280,128794736.00000000,5147095990.00000000,4,2018-12-18
AMCAR,2017,14,0.02772139,142684666.00000000,5147095990.00000000,4,2019-01-18
AMCAR,2017,15,0.03021880,155539077.00000000,5147095990.00000000,4,2019-02-19
AMCAR,2017,16,0.03285843,169125475.00000000,5147095990.00000000,4,2019-03-18
AMCAR,2017,17,0.03541275,182272825.00000000,5147095990.00000000,4,2019-04-18
AMCAR,2017,18,0.03754518,193248624.00000000,5147095990.00000000,4,2019-05-20
AMCAR,2017,19,0.03974772,204585326.00000000,5147095990.00000000,4,2019-06-18
AMCAR,2017,20,0.04206711,216523439.00000000,5147095990.00000000,4,2019-07-18
AMCAR,2017,21,0.04401262,226537203.00000000,5147095990.00000000,4,2019-08-19
AMCAR,2017,22,0.04602143,236876703.00000000,5147095990.00000000,4,2019-09-18
AMCAR,2017,23,0.04799175,247018150.00000000,5147095990.00000000,4,2019-10-18
AMCAR,2017,24,0.04981598,256407608.00000000,5147095990.00000000,4,2019-11-18
AMCAR,2017,25,0.05182286,266737247.00000000,5147095990.00000000,4,2019-12-18
AMCAR,2017,26,0.05348616,275298387.00000000,5147095990.00000000,4,2020-01-21
AMCAR,2017,27,0.05540917,285196307.00000000,5147095990.00000000,4,2020-02-18
AMCAR,2017,28,0.05722999,294568260.00000000,5147095990.00000000,4,2020-03-18
AMCAR,2017,29,0.05881726,302738101.00000000,5147095990.00000000,4,2020-04-20
AMCAR,2017,30,0.06048249,311309180.00000000,5147095990.00000000,4,2020-05-18
AMCAR,2017,31,0.06212970,319787539.00000000,5147095990.00000000,4,2020-06-18
AMCAR,2017,32,0.06368152,327774887.00000000,5147095990.00000000,4,2020-07-20
AMCAR,2017,33,0.06512136,335185880.00000000,5147095990.00000000,4,2020-08-18
AMCAR,2017,34,0.06652221,342396218.00000000,5147095990.00000000,4,2020-09-18
AMCAR,2017,35,0.06765154,348208991.00000000,5147095990.00000000,4,2020-10-19
AMCAR,2017,36,0.06868880,353547834.00000000,5147095990.00000000,4,2020-11-18
AMCAR,2017,37,0.06978659,359198269.00000000,5147095990.00000000,4,2020-12-18
AMCAR,2017,38,0.07053562,363053587.00000000,5147095990.00000000,4,2021-01-19
AMCAR,2017,39,0.07126896,366828180.00000000,5147095990.00000000,4,2021-02-18
AMCAR,2017,40,0.07193707,370267001.00000000,5147095990.00000000,4,2021-03-18
AMCAR,2017,41,0.07242061,372755851.00000000,5147095990.00000000,4,2021-04-19
AMCAR,2017,42,0.07293767,375417197.00000000,5147095990.00000000,4,2021-05-18
AMCAR,2017,43,0.07343125,377957671.00000000,5147095990.00000000,4,2021-06-18
AMCAR,2017,44,0.07365851,379127432.00000000,5147095990.00000000,4,2021-07-19
AMCAR,2017,45,0.07408464,381320750.00000000,5147095990.00000000,4,2021-08-18
AMCAR,2017,46,0.07432449,382555266.00000000,5147095990.00000000,4,2021-09-20
AMCAR,2017,47,0.07448985,383406388.00000000,5147095990.00000000,4,2021-10-18
AMCAR,2017,48,0.07477463,384872176.00000000,5147095990.00000000,4,2021-11-18
AMCAR,2017,49,0.07488860,385458828.00000000,5147095990.00000000,4,2021-12-20
AMCAR,2017,50,0.07503521,386213448.00000000,5147095990.00000000,4,2022-01-18
AMCAR,2017,51,0.07522023,387165722.00000000,5147095990.00000000,4,2022-02-18
AMCAR,2017,52,0.07530354,387594531.00000000,5147095990.00000000,4,2022-03-18
AMCAR,2017,53,0.07544141,388304191.00000000,5147095990.00000000,4,2022-04-18
AMCAR,2017,54,0.07549383,388573980.00000000,5147095990.00000000,4,2022-05-18
AMCAR,2017,55,0.07556888,388960303.00000000,5147095990.00000000,4,2022-06-21
AMCAR,2018,1,0.00000000,0.00000000,3646448197.00000000,3,2018-12-18
AMCAR,2018,2,0.00012402,452220.00000000,3646448197.00000000,3,2019-01-18
AMCAR,2018,3,0.00052613,1918509.00000000,3646448197.00000000,3,2019-02-19
AMCAR,2018,4,0.00207553,7568322.00000000,3646448197.00000000,3,2019-03-18
AMCAR,2018,5,0.00420916,15348490.00000000,3646448197.00000000,3,2019-04-18
AMCAR,2018,6,0.00641079,23376621.00000000,3646448197.00000000,3,2019-05-20
AMCAR,2018,7,0.00860066,31361859.00000000,3646448197.00000000,3,2019-06-18
AMCAR,2018,8,0.01075749,39226613.00000000,3646448197.00000000,3,2019-07-18
AMCAR,2018,9,0.01269160,46279256.00000000,3646448197.00000000,3,2019-08-19
AMCAR,2018,10,0.01464478,53401417.00000000,3646448197.00000000,3,2019-09-18
AMCAR,2018,11,0.01652492,60257264.00000000,3646448197.00000000,3,2019-10-18
AMCAR,2018,12,0.01846665,67337699.00000000,3646448197.00000000,3,2019-11-18
AMCAR,2018,13,0.02063064,75228564.00000000,3646448197.00000000,3,2019-12-18
AMCAR,2018,14,0.02271279,82821027.00000000,3646448197.00000000,3,2020-01-21
AMCAR,2018,15,0.02483327,90553216.00000000,3646448197.00000000,3,2020-02-18
AMCAR,2018,16,0.02704638,98623230.00000000,3646448197.00000000,3,2020-03-18
AMCAR,2018,17,0.02924725,106648592.00000000,3646448197.00000000,3,2020-04-20
AMCAR,2018,18,0.03139456,114478631.00000000,3646448197.00000000,3,2020-05-18
AMCAR,2018,19,0.03360928,122554505.00000000,3646448197.00000000,3,2020-06-18
AMCAR,2018,20,0.03568118,130109565.00000000,3646448197.00000000,3,2020-07-20
AMCAR,2018,21,0.03773205,137587976.00000000,3646448197.00000000,3,2020-08-18
AMCAR,2018,22,0.03912826,142679174.00000000,3646448197.00000000,3,2020-09-18
AMCAR,2018,23,0.04072459,148500102.00000000,3646448197.00000000,3,2020-10-19
AMCAR,2018,24,0.04183887,152563279.00000000,3646448197.00000000,3,2020-11-18
AMCAR,2018,25,0.04301185,156840485.00000000,3646448197.00000000,3,2020-12-18
AMCAR,2018,26,0.04413949,160952360.00000000,3646448197.00000000,3,2021-01-19
AMCAR,2018,27,0.04502102,164166826.00000000,3646448197.00000000,3,2021-02-18
AMCAR,2018,28,0.04595195,167561410.00000000,3646448197.00000000,3,2021-03-18
AMCAR,2018,29,0.04671115,170329786.00000000,3646448197.00000000,3,2021-04-19
AMCAR,2018,30,0.04761377,173621132.00000000,3646448197.00000000,3,2021-05-18
AMCAR,2018,31,0.04829167,176093089.00000000,3646448197.00000000,3,2021-06-18
AMCAR,2018,32,0.04882576,178040588.00000000,3646448197.00000000,3,2021-07-19
AMCAR,2018,33,0.04941448,180187354.00000000,3646448197.00000000,3,2021-08-18
AMCAR,2018,34,0.04974142,181379494.00000000,3646448197.00000000,3,2021-09-20
AMCAR,2018,35,0.05001529,182378165.00000000,3646448197.00000000,3,2021-10-18
AMCAR,2018,36,0.05044561,183947286.00000000,3646448197.00000000,3,2021-11-18
AMCAR,2018,37,0.05063596,184641387.00000000,3646448197.00000000,3,2021-12-20
AMCAR,2018,38,0.05094774,185778281.00000000,3646448197.00000000,3,2022-01-18
AMCAR,2018,39,0.05120976,186733742.00000000,3646448197.00000000,3,2022-02-18
AMCAR,2018,40,0.05156162,188016760.00000000,3646448197.00000000,3,2022-03-18
AMCAR,2018,41,0.05193238,189368734.00000000,3646448197.00000000,3,2022-04-18
AMCAR,2018,42,0.05234366,190868431.00000000,3646448197.00000000,3,2022-05-18
AMCAR,2018,43,0.05256451,191673750.00000000,3646448197.00000000,3,2022-06-21
AMCAR,2018,44,0.05276061,192388834.00000000,3646448197.00000000,3,2022-07-18
AMCAR,2018,45,0.05300454,193278304.00000000,3646448197.00000000,3,2022-08-18
AMCAR,2018,46,0.05318664,193942310.00000000,3646448197.00000000,3,2022-09-19
AMCAR,2018,47,0.05341457,194773451.00000000,3646448197.00000000,3,2022-10-18
AMCAR,2018,48,0.05372656,195911123.00000000,3646448197.00000000,3,2022-11-18
AMCAR,2018,49,0.05398470,196852410.00000000,3646448197.00000000,3,2022-12-19
AMCAR,2018,50,0.05420640,197660812.00000000,3646448197.00000000,3,2023-01-18
AMCAR,2018,51,0.05451386,198781975.00000000,3646448197.00000000,3,2023-02-21
AMCAR,2018,52,0.05476881,199711626.00000000,3646448197.00000000,3,2023-03-20
AMCAR,2018,53,0.05491014,200226977.00000000,3646448197.00000000,3,2023-04-18
AMCAR,2018,54,0.05513401,201043310.00000000,3646448197.00000000,3,2023-05-18
AMCAR,2018,55,0.05522560,135272925.00000000,2449460351.00000000,2,2023-06-20
AMCAR,2019,1,0.00000000,0.00000000,3036428192.00000000,3,2019-10-18
AMCAR,2019,2,0.00011963,363238.00000000,3036428192.00000000,3,2019-11-18
AMCAR,2019,3,0.00067209,2040743.00000000,3036428192.00000000,3,2019-12-18
AMCAR,2019,4,0.00211665,6427064.00000000,3036428192.00000000,3,2020-01-21
AMCAR,2019,5,0.00425749,12927574.00000000,3036428192.00000000,3,2020-02-18
AMCAR,2019,6,0.00682808,20732971.00000000,3036428192.00000000,3,2020-03-18
AMCAR,2019,7,0.00911026,27662662.00000000,3036428192.00000000,3,2020-04-20
AMCAR,2019,8,0.01137384,34535849.00000000,3036428192.00000000,3,2020-05-18
AMCAR,2019,9,0.01350939,41020307.00000000,3036428192.00000000,3,2020-06-18
AMCAR,2019,10,0.01550403,47076861.00000000,3036428192.00000000,3,2020-07-20
AMCAR,2019,11,0.01743299,52934029.00000000,3036428192.00000000,3,2020-08-18
AMCAR,2019,12,0.01943872,59024285.00000000,3036428192.00000000,3,2020-09-18
AMCAR,2019,13,0.02136746,64880744.00000000,3036428192.00000000,3,2020-10-19
AMCAR,2019,14,0.02301409,69880630.00000000,3036428192.00000000,3,2020-11-18
AMCAR,2019,15,0.02489369,75587911.00000000,3036428192.00000000,3,2020-12-18
AMCAR,2019,16,0.02659083,80741140.00000000,3036428192.00000000,3,2021-01-19
AMCAR,2019,17,0.02826529,85825511.00000000,3036428192.00000000,3,2021-02-18
AMCAR,2019,18,0.02951930,89633243.00000000,3036428192.00000000,3,2021-03-18
AMCAR,2019,19,0.03045240,92466518.00000000,3036428192.00000000,3,2021-04-19
AMCAR,2019,20,0.03129288,95018587.00000000,3036428192.00000000,3,2021-05-18
AMCAR,2019,21,0.03239817,98374730.00000000,3036428192.00000000,3,2021-06-18
AMCAR,2019,22,0.03319869,100805432.00000000,3036428192.00000000,3,2021-07-19
AMCAR,2019,23,0.03412194,103608819.00000000,3036428192.00000000,3,2021-08-18
AMCAR,2019,24,0.03476134,105550313.00000000,3036428192.00000000,3,2021-09-20
AMCAR,2019,25,0.03531437,107229548.00000000,3036428192.00000000,3,2021-10-18
AMCAR,2019,26,0.03581882,108761283.00000000,3036428192.00000000,3,2021-11-18
AMCAR,2019,27,0.03618947,109886715.00000000,3036428192.00000000,3,2021-12-20
AMCAR,2019,28,0.03649178,110804661.00000000,3036428192.00000000,3,2022-01-18
AMCAR,2019,29,0.03693494,112150301.00000000,3036428192.00000000,3,2022-02-18
AMCAR,2019,30,0.03720920,112983075.00000000,3036428192.00000000,3,2022-03-18
AMCAR,2019,31,0.03773856,114590433.00000000,3036428192.00000000,3,2022-04-18
AMCAR,2019,32,0.03828414,116247049.00000000,3036428192.00000000,3,2022-05-18
AMCAR,2019,33,0.03875344,117672031.00000000,3036428192.00000000,3,2022-06-21
AMCAR,2019,34,0.03924569,119166713.00000000,3036428192.00000000,3,2022-07-18
AMCAR,2019,35,0.03960029,120243434.00000000,3036428192.00000000,3,2022-08-18
AMCAR,2019,36,0.04008914,121727808.00000000,3036428192.00000000,3,2022-09-19
AMCAR,2019,37,0.04035541,122536314.00000000,3036428192.00000000,3,2022-10-18
AMCAR,2019,38,0.04084036,124008814.00000000,3036428192.00000000,3,2022-11-18
AMCAR,2019,39,0.04129102,125377203.00000000,3036428192.00000000,3,2022-12-19
AMCAR,2019,40,0.04178988,126891974.00000000,3036428192.00000000,3,2023-01-18
AMCAR,2019,41,0.04231327,128481202.00000000,3036428192.00000000,3,2023-02-21
AMCAR,2019,42,0.04270924,129683531.00000000,3036428192.00000000,3,2023-03-20
AMCAR,2019,43,0.04316610,131070773.00000000,3036428192.00000000,3,2023-04-18
AMCAR,2019,44,0.04364167,132514812.00000000,3036428192.00000000,3,2023-05-18
AMCAR,2019,45,0.04421598,134258663.00000000,3036428192.00000000,3,2023-06-20
AMCAR,2019,46,0.04456046,135304626.00000000,3036428192.00000000,3,2023-07-18
AMCAR,2019,47,0.04496746,136540458.00000000,3036428192.00000000,3,2023-08-18
AMCAR,2019,48,0.04531488,137595381.00000000,3036428192.00000000,3,2023-09-18
AMCAR,2019,49,0.04571253,138802806.00000000,3036428192.00000000,3,2023-10-18
AMCAR,2019,50,0.04613891,140097484.00000000,3036428192.00000000,3,2023-11-20
AMCAR,2019,51,0.04641764,140943834.00000000,3036428192.00000000,3,2023-12-18
AMCAR,2019,52,0.04667117,141713666.00000000,3036428192.00000000,3,2024-01-18
AMCAR,2019,53,0.04701778,142766099.00000000,3036428192.00000000,3,2024-02-20
AMCAR,2019,54,0.04739943,143924954.00000000,3036428192.00000000,3,2024-03-18
AMCAR,2019,55,0.04588993,79901251.00000000,1741150103.00000000,2,2024-04-18
AMCAR,2020,1,0.00000000,0.00000000,3284569950.00000000,3,2020-12-18
AMCAR,2020,2,0.00007731,253935.00000000,3284569950.00000000,3,2021-01-19
AMCAR,2020,3,0.00025293,830766.00000000,3284569950.00000000,3,2021-02-18
AMCAR,2020,4,0.00118785,3901560.00000000,3284569950.00000000,3,2021-03-18
AMCAR,2020,5,0.00209203,6871409.00000000,3284569950.00000000,3,2021-04-19
AMCAR,2020,6,0.00315482,10362222.00000000,3284569950.00000000,3,2021-05-18
AMCAR,2020,7,0.00404358,13281417.00000000,3284569950.00000000,3,2021-06-18
AMCAR,2020,8,0.00499509,16406728.00000000,3284569950.00000000,3,2021-07-19
AMCAR,2020,9,0.00584712,19205279.00000000,3284569950.00000000,3,2021-08-18
AMCAR,2020,10,0.00673628,22125767.00000000,3284569950.00000000,3,2021-09-20
AMCAR,2020,11,0.00745641,24491115.00000000,3284569950.00000000,3,2021-10-18
AMCAR,2020,12,0.00839087,27560387.00000000,3284569950.00000000,3,2021-11-18
AMCAR,2020,13,0.00919746,30209704.00000000,3284569950.00000000,3,2021-12-20
AMCAR,2020,14,0.01000082,32848384.00000000,3284569950.00000000,3,2022-01-18
AMCAR,2020,15,0.01061547,34867255.00000000,3284569950.00000000,3,2022-02-18
AMCAR,2020,16,0.01125069,36953670.00000000,3284569950.00000000,3,2022-03-18
AMCAR,2020,17,0.01183031,38857465.00000000,3284569950.00000000,3,2022-04-18
AMCAR,2020,18,0.01232585,40485112.00000000,3284569950.00000000,3,2022-05-18
AMCAR,2020,19,0.01283298,42150814.00000000,3284569950.00000000,3,2022-06-21
AMCAR,2020,20,0.01347585,44262370.00000000,3284569950.00000000,3,2022-07-18
AMCAR,2020,21,0.01381710,45383223.00000000,3284569950.00000000,3,2022-08-18
AMCAR,2020,22,0.01445815,47488796.00000000,3284569950.00000000,3,2022-09-19
