issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
BLAST,2023-11-01,0.00858744,1,695040641.78500009,,,,pass
BLAST,2023-12-01,0.01609179,1,685114512.68000007,,,,pass
BLAST,2024-01-01,0.06109962,1,673067008.50000000,,,,pass
BLAST,2024-02-01,0.06104784,2,1352484573.00999999,,,,pass
BLAST,2024-03-01,0.06968116,2,1323831301.58500004,,,,pass
BLAST,2024-04-01,0.10097222,2,1291599112.26999998,0.10945919,1.00000000,624324114.29999995,pass
BLAST,2024-05-01,0.06617521,3,1952664238.48000002,0.10849193,1.00000000,607170269.36500001,pass
BLAST,2024-06-01,0.08521007,3,1907608632.56500006,0.14387951,1.00000000,589842782.79500008,pass
BLAST,2024-07-01,0.10830357,3,1862515142.41499996,0.14455099,2.00000000,1191216866.95499992,pass
BLAST,2024-08-01,0.09415977,4,2608577626.56000042,0.14944535,2.00000000,1156731581.99500012,pass
BLAST,2024-09-01,0.11055100,4,2541095512.05500031,0.16326899,2.00000000,1120631732.70499992,pass
BLAST,2024-10-01,0.10581861,4,2474185782.73500013,0.12867827,3.00000000,1711955800.73500013,pass
BLAST,2024-11-01,0.09606014,5,3201816631.78000021,0.13882061,3.00000000,1663913621.01000023,pass
BLAST,2024-12-01,0.11314972,5,3118373595.47000027,0.15319907,3.00000000,1615096992.01999998,pass
BLAST,2025-01-01,0.12301452,5,3033953753.17500019,0.14864100,4.00000000,2269768008.90499973,pass
BLAST,2025-02-01,0.10283714,6,3667521849.35500002,0.13539314,4.00000000,2201655030.94500017,pass
BLAST,2025-03-01,0.09321083,6,3571781823.45499992,0.11758111,4.00000000,2137682313.05499983,pass
BLAST,2025-04-01,0.11100782,6,3475868801.65500021,0.12747425,5.00000000,2785011077.90999985,pass
BLAST,2025-05-01,0.10814622,6,3379955368.78999996,0.11340663,5.00000000,2704003355.40000010,pass
BLAST,2025-06-01,0.11667964,7,4124084571.63500023,0.15508290,5.00000000,2623135791.01999998,pass
BLAST,2025-07-01,0.10689506,7,4011780175.55000019,0.13120803,6.00000000,3185114717.40499973,pass
BLAST,2025-08-01,0.12277417,8,4447063866.84000015,0.16293954,6.00000000,3088265107.80999994,pass
BLAST,2025-09-01,0.14495729,8,4317384921.97999954,0.17964347,6.00000000,2985175632.40000010,pass
BLAST,2025-10-01,0.12158188,8,4189692293.45000029,0.14290349,6.00000000,2886950779.29500008,pass
BLAST,2025-11-01,0.12854708,9,4759188728.47500038,0.15393393,7.00000000,3549556211.23499966,pass
BLAST,2025-12-01,0.13880203,9,4621097122.02999973,0.16609965,7.00000000,3434587162.73500013,pass
BLAST,2026-01-01,0.14465896,9,4485031349.82999992,0.16186796,8.00000000,3808989439.19999981,pass
BLAST,2026-02-01,0.13687108,10,5099063020.75000000,0.16909699,8.00000000,3681776377.94000006,pass
BLAST,2026-03-01,0.09724209,10,4953251937.45499992,0.11726826,8.00000000,3562404003.36499977,pass
BLAST,2026-04-01,0.10583043,10,4812775965.89999962,0.11889967,9.00000000,4083215572.25500011,pass
BLAST,2026-05-01,0.11755853,10,4671493532.00000000,0.12460251,9.00000000,3957084840.71500015,pass
BLAST,2026-06-01,0.15727982,10,4528202798.85000038,0.16970206,9.00000000,3830552337.21500015,pass
BLAST,2026-07-01,0.13473645,10,4385996674.69499969,0.13473645,10.00000000,4385996674.69499969,pass
