issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
BMWOT,2018-02-01,-0.00008068,1,1375482601.35500002,,,,pass
BMWOT,2018-03-01,0.00034421,1,1306357641.18499994,,,,pass
BMWOT,2018-04-01,0.00028933,1,1260202884.57000017,,,,pass
BMWOT,2018-05-01,0.00094534,1,1214788517.57500005,,,,pass
BMWOT,2018-06-01,0.00078082,1,1171840563.15000010,,,,pass
BMWOT,2018-07-01,0.00128575,1,1129778086.50000000,0.00128575,1.00000000,1129778086.50000000,pass
BMWOT,2018-08-01,0.00183630,1,1088360870.95499992,0.00183630,1.00000000,1088360870.95499992,pass
BMWOT,2018-09-01,0.00140969,1,1046355836.18499994,0.00140969,1.00000000,1046355836.18499994,pass
BMWOT,2018-10-01,0.00073186,1,1006532804.82500005,0.00073186,1.00000000,1006532804.82500005,pass
BMWOT,2018-11-01,0.00195615,1,967896517.43000007,0.00195615,1.00000000,967896517.43000007,pass
BMWOT,2018-12-01,0.00153596,1,929564830.28499997,0.00153596,1.00000000,929564830.28499997,pass
BMWOT,2019-01-01,0.00138629,1,893354131.92499995,0.00138629,1.00000000,893354131.92499995,pass
BMWOT,2019-02-01,0.00081903,1,857131215.99500000,0.00081903,1.00000000,857131215.99500000,pass
BMWOT,2019-03-01,0.00245324,1,821938842.49000001,0.00245324,1.00000000,821938842.49000001,pass
BMWOT,2019-04-01,0.00324297,1,787361180.24499989,0.00324297,1.00000000,787361180.24499989,pass
BMWOT,2019-05-01,0.00099992,1,752438214.07999992,0.00099992,1.00000000,752438214.07999992,pass
BMWOT,2019-06-01,0.00233050,1,718293579.45000005,0.00233050,1.00000000,718293579.45000005,pass
BMWOT,2019-07-01,0.00205804,1,685170981.75999999,0.00205804,1.00000000,685170981.75999999,pass
BMWOT,2019-08-01,0.00128144,1,652803995.28999996,0.00128144,1.00000000,652803995.28999996,pass
BMWOT,2019-09-01,0.00292736,1,620230992.51499999,0.00292736,1.00000000,620230992.51499999,pass
BMWOT,2019-10-01,0.00081296,2,1891138765.34499979,0.00244642,1.00000000,588551646.78499997,pass
BMWOT,2019-11-01,0.00059984,2,1788620828.21000004,0.00136668,1.00000000,557805591.07500005,pass
BMWOT,2019-12-01,0.00048953,2,1713566899.21999979,0.00081797,1.00000000,528903581.91499996,pass
BMWOT,2020-01-01,0.00077493,2,1641789374.18000007,0.00179577,1.00000000,501158711.22000003,pass
BMWOT,2020-02-01,0.00103682,2,1569413989.28999996,0.00134482,1.00000000,472825646.53499997,pass
BMWOT,2020-03-01,0.00128417,2,1500439902.82999992,0.00128417,2.00000000,1500439902.82999992,pass
BMWOT,2020-04-01,0.00125566,2,1434781026.29500008,0.00125566,2.00000000,1434781026.29500008,pass
BMWOT,2020-05-01,0.00099583,2,1374055846.86500001,0.00099583,2.00000000,1374055846.86500001,pass
BMWOT,2020-06-01,0.00135904,2,1316320991.63000011,0.00135904,2.00000000,1316320991.63000011,pass
BMWOT,2020-07-01,0.00113650,2,1254069114.77500010,0.00113650,2.00000000,1254069114.77500010,pass
BMWOT,2020-08-01,0.00035575,2,1188586478.17500019,0.00035575,2.00000000,1188586478.17500019,pass
BMWOT,2020-09-01,0.00001130,3,2078267897.05500007,-0.00004397,2.00000000,1124527856.05999994,pass
BMWOT,2020-10-01,0.00177860,2,1062780101.79499996,0.00177860,2.00000000,1062780101.79499996,pass
BMWOT,2020-11-01,0.00000054,3,1878592937.96000004,0.00008666,2.00000000,1001729889.99000001,pass
BMWOT,2020-12-01,0.00097063,3,1785805353.74499989,0.00165423,2.00000000,944631280.88499999,pass
BMWOT,2021-01-01,0.00049097,2,889972551.89499998,0.00049097,2.00000000,889972551.89499998,pass
BMWOT,2021-02-01,0.00026939,3,1604751445.81500006,0.00026939,3.00000000,1604751445.81500006,pass
BMWOT,2021-03-01,0.00021473,2,785836264.57500005,0.00021473,2.00000000,785836264.57500005,pass
BMWOT,2021-04-01,0.00025935,3,1437571663.91000009,0.00025935,3.00000000,1437571663.91000009,pass
BMWOT,2021-05-01,0.00027138,3,1351917391.85500002,0.00027138,3.00000000,1351917391.85500002,pass
BMWOT,2021-06-01,-0.00004880,2,638403764.70000005,-0.00004880,2.00000000,638403764.70000005,pass
BMWOT,2021-07-01,-0.00008337,3,1198239548.60500002,-0.00008337,3.00000000,1198239548.60500002,pass
BMWOT,2021-08-01,0.00004923,3,1124045263.46999979,0.00004923,3.00000000,1124045263.46999979,pass
BMWOT,2021-09-01,-0.00000034,3,1055032263.93000007,-0.00000034,3.00000000,1055032263.93000007,pass
BMWOT,2021-10-01,0.00002431,3,989615616.60000002,0.00002431,3.00000000,989615616.60000002,pass
BMWOT,2021-11-01,-0.00022617,3,928082591.35500002,-0.00022617,3.00000000,928082591.35500002,pass
