issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
BMWOT,2018,1,0.00000000,0.00000000,1422530958.50000000,1,2018-02-26
BMWOT,2018,2,0.00001984,28224.06000000,1422530958.50000000,1,2018-03-26
BMWOT,2018,3,0.00004120,58608.16000000,1422530958.50000000,1,2018-04-25
BMWOT,2018,4,0.00010847,154307.38000000,1422530958.50000000,1,2018-05-25
BMWOT,2018,5,0.00016208,230557.10000000,1422530958.50000000,1,2018-06-25
BMWOT,2018,6,0.00024717,351607.98000000,1422530958.50000000,1,2018-07-25
BMWOT,2018,7,0.00036425,518154.64000000,1422530958.50000000,1,2018-08-27
BMWOT,2018,8,0.00045066,641074.37000000,1422530958.50000000,1,2018-09-25
BMWOT,2018,9,0.00049381,702460.88000000,1422530958.50000000,1,2018-10-25
BMWOT,2018,10,0.00060473,860240.22000000,1422530958.50000000,1,2018-11-26
BMWOT,2018,11,0.00068837,979221.31000000,1422530958.50000000,1,2018-12-26
BMWOT,2018,12,0.00076092,1082425.40000000,1422530958.50000000,1,2019-01-25
BMWOT,2018,13,0.00080204,1140927.00000000,1422530958.50000000,1,2019-02-25
BMWOT,2018,14,0.00092016,1308961.34000000,1422530958.50000000,1,2019-03-25
BMWOT,2018,15,0.00106974,1521743.49000000,1422530958.50000000,1,2019-04-25
BMWOT,2018,16,0.00111382,1584441.86000000,1422530958.50000000,1,2019-05-28
BMWOT,2018,17,0.00121188,1723940.60000000,1422530958.50000000,1,2019-06-25
BMWOT,2018,18,0.00129449,1841449.46000000,1422530958.50000000,1,2019-07-25
BMWOT,2018,19,0.00134349,1911160.10000000,1422530958.50000000,1,2019-08-26
BMWOT,2018,20,0.00144985,2062463.41000000,1422530958.50000000,1,2019-09-25
BMWOT,2018,21,0.00153420,2182450.37000000,1422530958.50000000,1,2019-10-25
BMWOT,2018,22,0.00157886,2245978.92000000,1422530958.50000000,1,2019-11-25
BMWOT,2018,23,0.00160420,2282031.05000000,1422530958.50000000,1,2019-12-26
BMWOT,2018,24,0.00165693,2357028.05000000,1422530958.50000000,1,2020-01-27
BMWOT,2018,25,0.00169418,2410016.75000000,1422530958.50000000,1,2020-02-25
BMWOT,2018,26,0.00171264,2436281.52000000,1422530958.50000000,1,2020-03-25
BMWOT,2018,27,0.00175037,2489959.29000000,1422530958.50000000,1,2020-04-27
BMWOT,2018,28,0.00178512,2539394.41000000,1422530958.50000000,1,2020-05-26
BMWOT,2018,29,0.00183080,2604374.85000000,1422530958.50000000,1,2020-06-25
BMWOT,2018,30,0.00187143,2662160.89000000,1422530958.50000000,1,2020-07-27
BMWOT,2018,31,0.00188377,2679728.01000000,1422530958.50000000,1,2020-08-25
BMWOT,2018,32,0.00188370,2679620.77000000,1422530958.50000000,1,2020-09-25
BMWOT,2018,33,0.00189652,2697860.10000000,1422530958.50000000,1,2020-10-26
BMWOT,2018,34,0.00189645,2697752.84000000,1422530958.50000000,1,2020-11-25
BMWOT,2018,35,0.00190680,2712489.06000000,1422530958.50000000,1,2020-12-28
BMWOT,2018,36,0.00190673,2712379.46000000,1422530958.50000000,1,2021-01-25
BMWOT,2018,37,0.00189400,2694275.55000000,1422530958.50000000,1,2021-02-25
BMWOT,2018,38,0.00190067,2703757.67000000,1422530958.50000000,1,2021-03-25
BMWOT,2018,39,0.00190579,2711047.68000000,1422530958.50000000,1,2021-04-26
BMWOT,2018,40,0.00191822,2728731.77000000,1422530958.50000000,1,2021-05-25
BMWOT,2018,41,0.00191794,2728325.74000000,1422530958.50000000,1,2021-06-25
BMWOT,2018,42,0.00192003,2731302.28000000,1422530958.50000000,1,2021-07-26
BMWOT,2018,43,0.00191919,2730112.20000000,1422530958.50000000,1,2021-08-25
BMWOT,2018,44,0.00191881,2729568.81000000,1422530958.50000000,1,2021-09-27
BMWOT,2018,45,0.00191834,2728900.57000000,1422530958.50000000,1,2021-10-25
BMWOT,2018,46,0.00191768,2727958.55000000,1422530958.50000000,1,2021-11-26
BMWOT,2018,47,0.00191730,2727425.57000000,1422530958.50000000,1,2021-12-27
BMWOT,2019,1,0.00000602,8132.00000000,1350116131.40000010,1,2019-10-25
BMWOT,2019,2,0.00002519,34010.09000000,1350116131.40000010,1,2019-11-25
BMWOT,2019,3,0.00005026,67860.85000000,1350116131.40000010,1,2019-12-26
BMWOT,2019,4,0.00007324,98886.80000000,1350116131.40000010,1,2020-01-27
BMWOT,2019,5,0.00013443,181498.54000000,1350116131.40000010,1,2020-02-25
BMWOT,2019,6,0.00023391,315801.70000000,1350116131.40000010,1,2020-03-25
BMWOT,2019,7,0.00030535,412257.35000000,1350116131.40000010,1,2020-04-27
BMWOT,2019,8,0.00035319,476848.86000000,1350116131.40000010,1,2020-05-26
BMWOT,2019,9,0.00041548,560946.21000000,1350116131.40000010,1,2020-06-25
BMWOT,2019,10,0.00046065,621930.65000000,1350116131.40000010,1,2020-07-27
BMWOT,2019,11,0.00047374,639600.49000000,1350116131.40000010,1,2020-08-25
BMWOT,2019,12,0.00047076,635586.93000000,1350116131.40000010,1,2020-09-25
BMWOT,2019,13,0.00057393,774868.93000000,1350116131.40000010,1,2020-10-26
BMWOT,2019,14,0.00057937,782210.28000000,1350116131.40000010,1,2020-11-25
BMWOT,2019,15,0.00066490,897693.72000000,1350116131.40000010,1,2020-12-28
BMWOT,2019,16,0.00069195,934215.63000000,1350116131.40000010,1,2021-01-25
BMWOT,2019,17,0.00069890,943593.29000000,1350116131.40000010,1,2021-02-25
BMWOT,2019,18,0.00070229,948172.76000000,1350116131.40000010,1,2021-03-25
BMWOT,2019,19,0.00071837,969887.39000000,1350116131.40000010,1,2021-04-26
