issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
CAOT,CAOT 2017-1,CarMax Auto Owner Trust 2017-1,2017,1,2017-02-15,0.00000000,0.00000000,1310000025.92000008
CAOT,CAOT 2017-3,CarMax Auto Owner Trust 2017-3,2017,1,2017-08-15,0.00000000,0.00000000,1375000017.71000004
CAOT,CAOT 2017-4,CarMax Auto Owner Trust 2017-4,2017,1,2017-11-15,0.00000620,7936.73000000,1280000020.79999995
CAOT,CAOT 2017-2,CarMax Auto Owner Trust 2017-2,2017,1,2017-05-15,0.00000000,0.00000000,1000000007.90999997
CAOT,CAOT 2017-2,CarMax Auto Owner Trust 2017-2,2017,2,2017-06-15,0.00003916,39156.53000000,1000000007.90999997
CAOT,CAOT 2017-3,CarMax Auto Owner Trust 2017-3,2017,2,2017-09-15,0.00003052,41962.38000000,1375000017.71000004
CAOT,CAOT 2017-1,CarMax Auto Owner Trust 2017-1,2017,2,2017-03-15,0.00007415,97133.69000000,1310000025.92000008
CAOT,CAOT 2017-4,CarMax Auto Owner Trust 2017-4,2017,2,2017-12-15,0.00002920,37378.41000000,1280000020.79999995
CAOT,CAOT 2017-4,CarMax Auto Owner Trust 2017-4,2017,3,2018-01-16,0.00016576,212178.24000000,1280000020.79999995
CAOT,CAOT 2017-1,CarMax Auto Owner Trust 2017-1,2017,3,2017-04-17,0.00014998,196473.03000000,1310000025.92000008
CAOT,CAOT 2017-3,CarMax Auto Owner Trust 2017-3,2017,3,2017-10-16,0.00012135,166857.76000000,1375000017.71000004
CAOT,CAOT 2017-2,CarMax Auto Owner Trust 2017-2,2017,3,2017-07-17,0.00009780,97797.95000000,1000000007.90999997
CAOT,CAOT 2017-1,CarMax Auto Owner Trust 2017-1,2017,4,2017-05-15,0.00071709,939390.27000000,1310000025.92000008
CAOT,CAOT 2017-4,CarMax Auto Owner Trust 2017-4,2017,4,2018-02-15,0.00081058,1037538.17000000,1280000020.79999995
CAOT,CAOT 2017-2,CarMax Auto Owner Trust 2017-2,2017,4,2017-08-15,0.00092770,927701.64000000,1000000007.90999997
CAOT,CAOT 2017-3,CarMax Auto Owner Trust 2017-3,2017,4,2017-11-15,0.00091305,1255443.42000000,1375000017.71000004
CAOT,CAOT 2017-3,CarMax Auto Owner Trust 2017-3,2017,5,2017-12-15,0.00172381,2370243.35000000,1375000017.71000004
CAOT,CAOT 2017-2,CarMax Auto Owner Trust 2017-2,2017,5,2017-09-15,0.00150230,1502303.19000000,1000000007.90999997
CAOT,CAOT 2017-4,CarMax Auto Owner Trust 2017-4,2017,5,2018-03-15,0.00160841,2058768.28000000,1280000020.79999995
CAOT,CAOT 2017-1,CarMax Auto Owner Trust 2017-1,2017,5,2017-06-15,0.00144559,1893722.65000000,1310000025.92000008
CAOT,CAOT 2017-4,CarMax Auto Owner Trust 2017-4,2017,6,2018-04-16,0.00202862,2596636.29000000,1280000020.79999995
CAOT,CAOT 2017-1,CarMax Auto Owner Trust 2017-1,2017,6,2017-07-17,0.00206211,2701359.61000000,1310000025.92000008
CAOT,CAOT 2017-3,CarMax Auto Owner Trust 2017-3,2017,6,2018-01-16,0.00233680,3213100.05000000,1375000017.71000004
CAOT,CAOT 2017-2,CarMax Auto Owner Trust 2017-2,2017,6,2017-10-16,0.00240433,2404330.94000000,1000000007.90999997
CAOT,CAOT 2017-3,CarMax Auto Owner Trust 2017-3,2017,7,2018-02-15,0.00313127,4305501.40000000,1375000017.71000004
CAOT,CAOT 2017-1,CarMax Auto Owner Trust 2017-1,2017,7,2017-08-15,0.00284459,3726409.45000000,1310000025.92000008
CAOT,CAOT 2017-4,CarMax Auto Owner Trust 2017-4,2017,7,2018-05-15,0.00263427,3371867.74000000,1280000020.79999995
CAOT,CAOT 2017-2,CarMax Auto Owner Trust 2017-2,2017,7,2017-11-15,0.00303129,3031290.79000000,1000000007.90999997
CAOT,CAOT 2017-2,CarMax Auto Owner Trust 2017-2,2017,8,2017-12-15,0.00359501,3595005.13000000,1000000007.90999997
CAOT,CAOT 2017-4,CarMax Auto Owner Trust 2017-4,2017,8,2018-06-15,0.00321199,4111353.12000000,1280000020.79999995
CAOT,CAOT 2017-1,CarMax Auto Owner Trust 2017-1,2017,8,2017-09-15,0.00341643,4475523.35000000,1310000025.92000008
CAOT,CAOT 2017-3,CarMax Auto Owner Trust 2017-3,2017,8,2018-03-15,0.00371080,5102352.54000000,1375000017.71000004
CAOT,CAOT 2017-3,CarMax Auto Owner Trust 2017-3,2017,9,2018-04-16,0.00407693,5605779.15000000,1375000017.71000004
CAOT,CAOT 2017-2,CarMax Auto Owner Trust 2017-2,2017,9,2018-01-16,0.00428041,4280406.49000000,1000000007.90999997
CAOT,CAOT 2017-4,CarMax Auto Owner Trust 2017-4,2017,9,2018-07-16,0.00377576,4832969.12000000,1280000020.79999995
CAOT,CAOT 2017-1,CarMax Auto Owner Trust 2017-1,2017,9,2017-10-16,0.00425455,5573466.85000000,1310000025.92000008
CAOT,CAOT 2017-3,CarMax Auto Owner Trust 2017-3,2017,10,2018-05-15,0.00460124,6326706.11000000,1375000017.71000004
CAOT,CAOT 2017-2,CarMax Auto Owner Trust 2017-2,2017,10,2018-02-15,0.00521494,5214936.02000000,1000000007.90999997
CAOT,CAOT 2017-1,CarMax Auto Owner Trust 2017-1,2017,10,2017-11-15,0.00523568,6858742.01000000,1310000025.92000008
