issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
CAOT,2017,1,0.00000160,7936.73000000,4965000072.34000015,4,2017-11-15
CAOT,2017,2,0.00004343,215631.01000000,4965000072.34000015,4,2017-12-15
CAOT,2017,3,0.00013561,673306.98000000,4965000072.34000015,4,2018-01-16
CAOT,2017,4,0.00083788,4160073.50000000,4965000072.34000015,4,2018-02-15
CAOT,2017,5,0.00157604,7825037.47000000,4965000072.34000015,4,2018-03-15
CAOT,2017,6,0.00219847,10915426.89000000,4965000072.34000015,4,2018-04-16
CAOT,2017,7,0.00290737,14435069.38000000,4965000072.34000015,4,2018-05-15
CAOT,2017,8,0.00348122,17284234.14000000,4965000072.34000015,4,2018-06-15
CAOT,2017,9,0.00408713,20292621.61000000,4965000072.34000015,4,2018-07-16
CAOT,2017,10,0.00480188,23841314.16000000,4965000072.34000015,4,2018-08-15
CAOT,2017,11,0.00548918,27253776.33000000,4965000072.34000015,4,2018-09-17
CAOT,2017,12,0.00618127,30690030.09000000,4965000072.34000015,4,2018-10-15
CAOT,2017,13,0.00688646,34191260.28000000,4965000072.34000015,4,2018-11-15
CAOT,2017,14,0.00757278,37598829.19000000,4965000072.34000015,4,2018-12-17
CAOT,2017,15,0.00822315,40827937.26000000,4965000072.34000015,4,2019-01-15
CAOT,2017,16,0.00888225,44100351.87000000,4965000072.34000015,4,2019-02-15
CAOT,2017,17,0.00943888,46864019.77000000,4965000072.34000015,4,2019-03-15
CAOT,2017,18,0.01003891,49843193.85000000,4965000072.34000015,4,2019-04-15
CAOT,2017,19,0.01068608,53056373.82000000,4965000072.34000015,4,2019-05-15
CAOT,2017,20,0.01122045,55709546.68000000,4965000072.34000015,4,2019-06-17
CAOT,2017,21,0.01170225,58101664.37000000,4965000072.34000015,4,2019-07-15
CAOT,2017,22,0.01218854,60516102.98999999,4965000072.34000015,4,2019-08-15
CAOT,2017,23,0.01274015,63254860.85000000,4965000072.34000015,4,2019-09-16
CAOT,2017,24,0.01322845,65679278.99000000,4965000072.34000015,4,2019-10-15
CAOT,2017,25,0.01372700,68154576.78000000,4965000072.34000015,4,2019-11-15
CAOT,2017,26,0.01418076,70407461.05000000,4965000072.34000015,4,2019-12-16
CAOT,2017,27,0.01463555,72665489.46000001,4965000072.34000015,4,2020-01-15
CAOT,2017,28,0.01507784,74861493.23999999,4965000072.34000015,4,2020-02-18
CAOT,2017,29,0.01550080,76961488.28999999,4965000072.34000015,4,2020-03-16
CAOT,2017,30,0.01591421,79014046.51000001,4965000072.34000015,4,2020-04-15
CAOT,2017,31,0.01628592,80859601.37000000,4965000072.34000015,4,2020-05-15
CAOT,2017,32,0.01670870,82958696.09000000,4965000072.34000015,4,2020-06-15
CAOT,2017,33,0.01708442,84824126.21000001,4965000072.34000015,4,2020-07-15
CAOT,2017,34,0.01751137,86943952.96000001,4965000072.34000015,4,2020-08-17
CAOT,2017,35,0.01780259,88389856.56999999,4965000072.34000015,4,2020-09-15
