issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,1,2024-07-15,0.00000000,0.00000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,2,2024-08-15,0.00018659,124392.31000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,3,2024-09-16,0.00076113,507420.97000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,4,2024-10-15,0.00469986,3133249.41000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,5,2024-11-15,0.00847317,5648792.34000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,6,2024-12-16,0.01281814,8545446.05000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,7,2025-01-15,0.01762341,11748968.75000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,8,2025-02-18,0.02114674,14097861.26000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,9,2025-03-17,0.02480211,16534778.01000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,10,2025-04-15,0.02779430,18529578.47000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,11,2025-05-15,0.03081649,20544375.92000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,12,2025-06-16,0.03409481,22729925.23000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,13,2025-07-15,0.03904058,26027116.37000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,14,2025-08-15,0.04339960,28933138.92000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,15,2025-09-15,0.04751764,31678506.23000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,16,2025-10-15,0.05136780,34245282.60000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,17,2025-11-17,0.05529056,36860464.62000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,18,2025-12-15,0.05789979,38599955.26000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,19,2026-01-15,0.06222315,41482200.38000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,20,2026-02-17,0.06618867,44125889.71000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,21,2026-03-16,0.06888743,45925064.64000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,22,2026-04-15,0.07103390,47356047.59000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,23,2026-05-15,0.07338832,48925664.20000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,24,2026-06-15,0.07569130,50460988.83000000,666668280.61000001
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2024,25,2026-07-15,0.07848346,52322433.95000000,666668280.61000001
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,1,2025-04-15,0.00000000,0.00000000,826876936.50000000
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,2025,1,2025-10-15,0.00002055,18966.90000000,923081739.63000000
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,2025,2,2025-11-17,0.00006902,63712.29000000,923081739.63000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,2,2025-05-15,0.00008263,68325.70000000,826876936.50000000
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,2025,3,2025-12-15,0.00047517,438616.18000000,923081739.63000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,3,2025-06-16,0.00038328,316928.67000000,826876936.50000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,4,2025-07-15,0.00438969,3629732.40000000,826876936.50000000
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,2025,4,2026-01-15,0.00313698,2895693.14000000,923081739.63000000
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,2025,5,2026-02-17,0.00656315,6058324.73000000,923081739.63000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,5,2025-08-15,0.00813727,6728522.23000000,826876936.50000000
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,2025,6,2026-03-16,0.00898490,8293797.49000000,923081739.63000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,6,2025-09-15,0.01168836,9664832.10000000,826876936.50000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,7,2025-10-15,0.01469771,12153193.93000000,826876936.50000000
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,2025,7,2026-04-15,0.01151766,10631744.00000000,923081739.63000000
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,2025,8,2026-05-15,0.01337252,12343925.10000000,923081739.63000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,8,2025-11-17,0.01770761,14642014.86000000,826876936.50000000
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,2025,9,2026-06-15,0.01543288,14245810.92000000,923081739.63000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,9,2025-12-15,0.02085413,17243798.01000000,826876936.50000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,10,2026-01-15,0.02432311,20112217.83000000,826876936.50000000
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,2025,10,2026-07-15,0.01856074,17133081.10000000,923081739.63000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,11,2026-02-17,0.02768392,22891194.30000000,826876936.50000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,12,2026-03-16,0.03081756,25482326.87000000,826876936.50000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,13,2026-04-15,0.03387949,28014167.46000000,826876936.50000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,14,2026-05-15,0.03640435,30101920.39000000,826876936.50000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,15,2026-06-15,0.03874875,32040445.23000000,826876936.50000000
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2025,16,2026-07-15,0.04209739,34809364.88000000,826876936.50000000
CMXS,CMXS 2026-A,CarMax Select Receivables Trust 2026-A,2026,1,2026-03-16,0.00000000,0.00000000,769231898.51999998
CMXS,CMXS 2026-A,CarMax Select Receivables Trust 2026-A,2026,2,2026-04-15,0.00021292,163787.68000000,769231898.51999998
CMXS,CMXS 2026-A,CarMax Select Receivables Trust 2026-A,2026,3,2026-05-15,0.00040766,313586.13000000,769231898.51999998
CMXS,CMXS 2026-A,CarMax Select Receivables Trust 2026-A,2026,4,2026-06-15,0.00344203,2647717.15000000,769231898.51999998
CMXS,CMXS 2026-A,CarMax Select Receivables Trust 2026-A,2026,5,2026-07-15,0.00747078,5746761.32000000,769231898.51999998
