issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
CMXS,2024,1,0.00000000,0.00000000,666668280.61000001,1,2024-07-15
CMXS,2024,2,0.00018659,124392.31000000,666668280.61000001,1,2024-08-15
CMXS,2024,3,0.00076113,507420.97000000,666668280.61000001,1,2024-09-16
CMXS,2024,4,0.00469986,3133249.41000000,666668280.61000001,1,2024-10-15
CMXS,2024,5,0.00847317,5648792.34000000,666668280.61000001,1,2024-11-15
CMXS,2024,6,0.01281814,8545446.05000000,666668280.61000001,1,2024-12-16
CMXS,2024,7,0.01762341,11748968.75000000,666668280.61000001,1,2025-01-15
CMXS,2024,8,0.02114674,14097861.26000000,666668280.61000001,1,2025-02-18
CMXS,2024,9,0.02480211,16534778.01000000,666668280.61000001,1,2025-03-17
CMXS,2024,10,0.02779430,18529578.47000000,666668280.61000001,1,2025-04-15
CMXS,2024,11,0.03081649,20544375.92000000,666668280.61000001,1,2025-05-15
CMXS,2024,12,0.03409481,22729925.23000000,666668280.61000001,1,2025-06-16
CMXS,2024,13,0.03904058,26027116.37000000,666668280.61000001,1,2025-07-15
CMXS,2024,14,0.04339960,28933138.92000000,666668280.61000001,1,2025-08-15
CMXS,2024,15,0.04751764,31678506.23000000,666668280.61000001,1,2025-09-15
CMXS,2024,16,0.05136780,34245282.60000000,666668280.61000001,1,2025-10-15
CMXS,2024,17,0.05529056,36860464.62000000,666668280.61000001,1,2025-11-17
CMXS,2024,18,0.05789979,38599955.26000000,666668280.61000001,1,2025-12-15
CMXS,2024,19,0.06222315,41482200.38000000,666668280.61000001,1,2026-01-15
CMXS,2024,20,0.06618867,44125889.71000000,666668280.61000001,1,2026-02-17
CMXS,2024,21,0.06888743,45925064.64000000,666668280.61000001,1,2026-03-16
CMXS,2024,22,0.07103390,47356047.59000000,666668280.61000001,1,2026-04-15
CMXS,2024,23,0.07338832,48925664.20000000,666668280.61000001,1,2026-05-15
CMXS,2024,24,0.07569130,50460988.83000000,666668280.61000001,1,2026-06-15
CMXS,2024,25,0.07848346,52322433.95000000,666668280.61000001,1,2026-07-15
CMXS,2025,1,0.00001084,18966.90000000,1749958676.13000011,2,2025-10-15
CMXS,2025,2,0.00007545,132037.99000000,1749958676.13000011,2,2025-11-17
CMXS,2025,3,0.00043175,755544.85000000,1749958676.13000011,2,2025-12-15
CMXS,2025,4,0.00372890,6525425.54000000,1749958676.13000011,2,2026-01-15
CMXS,2025,5,0.00730694,12786846.96000000,1749958676.13000011,2,2026-02-17
CMXS,2025,6,0.01026232,17958629.59000000,1749958676.13000011,2,2026-03-16
CMXS,2025,7,0.01302027,22784937.93000000,1749958676.13000011,2,2026-04-15
CMXS,2025,8,0.01542090,26985939.96000000,1749958676.13000011,2,2026-05-15
CMXS,2025,9,0.01799449,31489608.93000000,1749958676.13000011,2,2026-06-15
CMXS,2025,10,0.02128353,37245298.93000000,1749958676.13000011,2,2026-07-15
CMXS,2025,11,0.02768392,22891194.30000000,826876936.50000000,1,2026-02-17
CMXS,2025,12,0.03081756,25482326.87000000,826876936.50000000,1,2026-03-16
CMXS,2025,13,0.03387949,28014167.46000000,826876936.50000000,1,2026-04-15
CMXS,2025,14,0.03640435,30101920.39000000,826876936.50000000,1,2026-05-15
CMXS,2025,15,0.03874875,32040445.23000000,826876936.50000000,1,2026-06-15
CMXS,2025,16,0.04209739,34809364.88000000,826876936.50000000,1,2026-07-15
CMXS,2026,1,0.00000000,0.00000000,769231898.51999998,1,2026-03-16
CMXS,2026,2,0.00021292,163787.68000000,769231898.51999998,1,2026-04-15
CMXS,2026,3,0.00040766,313586.13000000,769231898.51999998,1,2026-05-15
CMXS,2026,4,0.00344203,2647717.15000000,769231898.51999998,1,2026-06-15
CMXS,2026,5,0.00747078,5746761.32000000,769231898.51999998,1,2026-07-15
