issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
COPAR,2019-06-01,0.00118241,1,1231171431.97499990,,,,pass
COPAR,2019-07-01,0.00027940,1,1194242528.98500013,,,,pass
COPAR,2019-08-01,0.00036693,1,1156993126.44500017,,,,pass
COPAR,2019-09-01,0.00013413,1,1118561518.61000013,,,,pass
COPAR,2019-10-01,0.00185386,2,2448430542.51999998,,,,pass
COPAR,2019-11-01,0.00212378,2,2347038989.23999977,0.00290610,1.00000000,1046125345.98000002,pass
COPAR,2019-12-01,0.00164118,2,2270363489.05999994,0.00172566,1.00000000,1011733311.54999995,pass
COPAR,2020-01-01,0.00106991,2,2196992446.82999992,0.00075157,1.00000000,978492936.87500000,pass
COPAR,2020-02-01,0.00048140,2,2122009287.83999991,0.00013721,1.00000000,944176996.96499991,pass
COPAR,2020-03-01,0.00133784,3,3362400398.51999950,0.00114436,2.00000000,2047279708.16999984,pass
COPAR,2020-04-01,0.00236383,3,3228819100.10499954,0.00290735,2.00000000,1974976356.06499982,pass
COPAR,2020-05-01,0.00092748,3,3121294007.76999950,0.00121754,2.00000000,1905786249.39999986,pass
COPAR,2020-06-01,0.00331196,3,3014253944.07999992,0.00394110,2.00000000,1837260137.14000010,pass
COPAR,2020-07-01,0.00057526,3,2901473313.05999994,0.00068773,2.00000000,1765368207.93499994,pass
COPAR,2020-08-01,0.00211441,3,2787193592.44499969,0.00211441,3.00000000,2787193592.44499969,pass
COPAR,2020-09-01,0.00062572,3,2675747553.39499998,0.00062572,3.00000000,2675747553.39499998,pass
COPAR,2020-10-01,0.00086417,3,2567987176.67000008,0.00086417,3.00000000,2567987176.67000008,pass
COPAR,2020-11-01,0.00071795,3,2461882808.26000023,0.00071795,3.00000000,2461882808.26000023,pass
COPAR,2020-12-01,-0.00084706,3,2362032559.76499987,-0.00084706,3.00000000,2362032559.76499987,pass
COPAR,2021-01-01,0.00092714,3,2265550349.33500004,0.00092714,3.00000000,2265550349.33500004,pass
COPAR,2021-02-01,0.00175139,3,2166372513.05499983,0.00175139,3.00000000,2166372513.05499983,pass
COPAR,2021-03-01,0.00179420,3,2072106736.08500004,0.00179420,3.00000000,2072106736.08500004,pass
COPAR,2021-04-01,0.00009685,3,1973202267.34000015,0.00009685,3.00000000,1973202267.34000015,pass
COPAR,2021-05-01,-0.00161067,3,1870713833.18500018,-0.00161067,3.00000000,1870713833.18500018,pass
COPAR,2021-06-01,0.00108926,3,1778876765.17999983,0.00108926,3.00000000,1778876765.17999983,pass
COPAR,2021-07-01,-0.00024654,3,1690981990.25000000,-0.00024654,3.00000000,1690981990.25000000,pass
COPAR,2021-08-01,0.00030966,3,1603539306.46000004,0.00030966,3.00000000,1603539306.46000004,pass
COPAR,2021-09-01,-0.00122245,3,1520470314.44499993,-0.00122245,3.00000000,1520470314.44499993,pass
COPAR,2021-10-01,0.00043426,3,1443253535.70000005,0.00043426,3.00000000,1443253535.70000005,pass
COPAR,2021-11-01,0.00097524,4,2682905634.88000011,0.00026165,3.00000000,1369522602.69499993,pass
COPAR,2021-12-01,-0.00061783,4,2548226220.24499989,-0.00055051,3.00000000,1298929330.54999995,pass
COPAR,2022-01-01,-0.00021576,4,2437079636.37500000,-0.00084567,3.00000000,1230350607.75000000,pass
COPAR,2022-02-01,0.00005021,4,2329028293.40500021,-0.00103786,3.00000000,1163972776.73500013,pass
COPAR,2022-03-01,0.00020813,4,2227543813.86999989,-0.00018300,3.00000000,1101765130.25500011,pass
COPAR,2022-04-01,0.00089411,4,2124030151.97499990,0.00089411,4.00000000,2124030151.97499990,pass
COPAR,2022-05-01,0.00012242,4,2021194094.73499990,0.00012242,4.00000000,2021194094.73499990,pass
COPAR,2022-06-01,0.00107644,5,3891216702.44499969,0.00141472,4.00000000,1927093060.09500003,pass
COPAR,2022-07-01,0.00111227,5,3709929286.80999994,0.00106529,4.00000000,1837291393.17499995,pass
COPAR,2022-08-01,0.00014493,5,3566409303.86000013,-0.00015339,4.00000000,1751351407.67000008,pass
COPAR,2022-09-01,0.00087635,6,5433371664.61000061,0.00012031,4.00000000,1668016065.21500015,pass
COPAR,2022-10-01,0.00059620,6,5208331731.94499969,0.00033768,4.00000000,1586954357.83000016,pass
COPAR,2022-11-01,0.00149055,6,5023684032.78999996,0.00177387,5.00000000,3163805785.44499969,pass
COPAR,2022-12-01,0.00039726,6,4848814486.56500053,0.00004828,5.00000000,3043057555.09000015,pass
COPAR,2023-01-01,0.00118665,6,4680424862.44000053,0.00071171,5.00000000,2926181241.69000006,pass
COPAR,2023-02-01,0.00076914,5,4399828365.28999996,0.00076914,5.00000000,4399828365.28999996,pass
COPAR,2023-03-01,0.00150718,6,5704713402.00500011,0.00158588,5.00000000,4247610888.59500027,pass
