issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,1,2019-10-15,0.00010007,141170.90000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,1,2019-06-17,0.00009705,121312.18000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,2,2019-07-15,0.00011929,149118.14000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,2,2019-11-15,0.00021493,303207.84000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,3,2019-12-16,0.00033190,468222.16000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,3,2019-08-15,0.00014760,184495.99000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,4,2020-01-15,0.00042731,602821.14000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,4,2019-09-16,0.00015760,196998.54000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,5,2019-10-15,0.00034727,434082.23000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,5,2020-02-18,0.00048000,677152.61000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,6,2020-03-16,0.00053647,756824.42000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,6,2019-11-15,0.00054994,687428.02000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,7,2019-12-16,0.00066634,832919.92000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,7,2020-04-15,0.00076536,1079724.92000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,8,2020-05-15,0.00085138,1201078.29000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,8,2020-01-15,0.00071536,894203.83000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,9,2020-02-18,0.00072400,904999.48000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,9,2020-06-15,0.00114471,1614897.93000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,10,2020-03-16,0.00081645,1020562.48000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,10,2020-07-15,0.00116565,1644440.77000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,11,2020-04-15,0.00094093,1176157.81000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,11,2020-08-17,0.00131700,1857957.82000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,12,2020-09-15,0.00134775,1901329.60000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,12,2020-05-15,0.00099853,1248167.96000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,13,2020-10-15,0.00137005,1932799.80000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,13,2020-06-15,0.00115020,1437750.56000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,14,2020-07-15,0.00120751,1509382.96000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,14,2020-11-16,0.00137824,1944344.88000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,15,2020-12-15,0.00128936,1818963.88000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,15,2020-08-17,0.00122734,1534177.94000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,16,2020-09-15,0.00132116,1651445.23000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,16,2021-01-15,0.00132529,1869650.05000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,17,2020-10-15,0.00138054,1725669.45000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,17,2021-02-16,0.00145514,2052831.60000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,18,2020-11-16,0.00133759,1671986.95000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,18,2021-03-15,0.00157548,2222596.70000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,19,2021-04-15,0.00160084,2258381.75000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,19,2020-12-15,0.00138566,1732071.92000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,20,2021-05-17,0.00153511,2165657.62000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,20,2021-01-15,0.00144003,1800038.40000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,21,2021-02-16,0.00145899,1823738.67000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,21,2021-06-15,0.00155081,2187801.91000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,22,2021-07-15,0.00156329,2205411.84000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,22,2021-03-15,0.00153135,1914186.48000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,23,2021-08-16,0.00158396,2234561.37000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,23,2021-04-15,0.00152979,1912231.44000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,24,2021-09-15,0.00151209,2133171.70000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,24,2021-05-17,0.00153365,1917057.10000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,25,2021-06-15,0.00156236,1952953.50000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,25,2021-10-15,0.00154266,2176301.50000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,26,2021-07-15,0.00149818,1872723.76000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,26,2021-11-15,0.00151174,2132685.03000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,27,2021-08-16,0.00152334,1904170.69000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,27,2021-12-15,0.00150242,2119526.95000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,28,2021-09-15,0.00150776,1884702.48000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,28,2022-01-18,0.00152512,2151553.08000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,29,2021-10-15,0.00146645,1833065.26000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,29,2022-02-15,0.00149890,2114561.47000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,30,2021-11-15,0.00148911,1861390.75000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,30,2022-03-15,0.00150958,2129641.49000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,31,2022-04-15,0.00152682,2153962.12000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,31,2021-12-15,0.00149353,1866912.17000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,32,2022-05-16,0.00154346,2177427.32000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,32,2022-01-18,0.00145254,1815680.38000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,33,2022-06-15,0.00149331,2106681.71000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,33,2022-02-15,0.00138024,1725300.84000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,34,2022-03-15,0.00135283,1691043.31000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,34,2022-07-15,0.00147397,2079395.83000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,35,2022-08-15,0.00142329,2007901.50000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,35,2022-04-15,0.00133859,1673238.87000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,36,2022-09-15,0.00143062,2018239.58000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,36,2022-05-16,0.00134518,1681476.54000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,37,2022-10-17,0.00141448,1995465.97000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,37,2022-06-15,0.00138224,1727793.86000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,38,2022-11-15,0.00143160,2019630.56000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,38,2022-07-15,0.00139304,1741295.55000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,39,2022-08-15,0.00139017,1737717.90000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,39,2022-12-15,0.00140254,1978623.37000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,40,2023-01-17,0.00139691,1970684.35000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,40,2022-09-15,0.00136296,1703704.35000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,41,2023-02-15,0.00137460,1939218.75000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,41,2022-10-17,0.00134205,1677557.71000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,42,2022-11-15,0.00132506,1656319.21000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,42,2023-03-15,0.00138372,1952083.50000000,1410746433.50000000
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,43,2023-04-17,0.00135728,1914771.79000000,1410746433.50000000
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,43,2022-12-15,0.00129323,1616533.07000000,1250000000.97000003
COPAR,COPAR 2019-1,Capital One Prime Auto Receivables Trust 2019-1,2019,44,2023-01-17,0.00127727,1596587.32000000,1250000000.97000003
COPAR,COPAR 2019-2,Capital One Prime Auto Receivables Trust 2019-2,2019,44,2023-05-15,0.00128694,1815551.17000000,1410746433.50000000
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,1,2020-03-16,0.00013242,179628.66000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,2,2020-04-15,0.00024856,337163.13000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,3,2020-05-15,0.00028386,385045.05000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,4,2020-06-15,0.00045232,613566.69000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,5,2020-07-15,0.00048027,651483.65000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,6,2020-08-17,0.00066663,904276.95000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,7,2020-09-15,0.00065107,883160.27000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,8,2020-10-15,0.00070948,962396.64000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,9,2020-11-16,0.00084913,1151825.67000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,10,2020-12-15,0.00077435,1050390.23000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,11,2021-01-15,0.00081592,1106778.38000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,12,2021-02-16,0.00089649,1216076.04000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,13,2021-03-15,0.00093306,1265677.12000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,14,2021-04-15,0.00091986,1247772.33000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,15,2021-05-17,0.00079955,1084579.54000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,16,2021-06-15,0.00087580,1188010.50000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,17,2021-07-15,0.00089635,1215888.94000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,18,2021-08-16,0.00088219,1196672.16000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,19,2021-09-15,0.00085710,1162637.98000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,20,2021-10-15,0.00090187,1223374.75000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,21,2021-11-15,0.00093516,1268527.09000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,22,2021-12-15,0.00089686,1216574.40000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,23,2022-01-18,0.00084710,1149074.55000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,24,2022-02-15,0.00086678,1175776.10000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,25,2022-03-15,0.00086853,1178151.39000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,26,2022-04-15,0.00094875,1286961.58000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,27,2022-05-16,0.00089691,1216650.94000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,28,2022-06-15,0.00094541,1282433.09000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,29,2022-07-15,0.00101998,1383587.54000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,30,2022-08-15,0.00103061,1398010.93000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,31,2022-09-15,0.00101587,1378007.56000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,32,2022-10-17,0.00104808,1421707.21000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,33,2022-11-15,0.00106941,1450639.22000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,34,2022-12-15,0.00103949,1410056.51000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,35,2023-01-17,0.00106532,1445086.91000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,36,2023-02-15,0.00106140,1439774.69000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,37,2023-03-15,0.00104741,1420793.87000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,38,2023-04-17,0.00105653,1433169.55000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,39,2023-05-15,0.00102065,1384491.26000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,40,2023-06-15,0.00101003,1370088.00000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,41,2023-07-17,0.00096347,1306929.54000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,42,2023-08-15,0.00097983,1329122.38000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,43,2023-09-15,0.00099041,1343475.26000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,44,2023-10-16,0.00100746,1366606.99000000,1356484236.72000003
COPAR,COPAR 2020-1,Capital One Prime Auto Receivables Trust 2020-1,2020,45,2023-11-15,0.00094993,1288561.35000000,1356484236.72000003
COPAR,COPAR 2021-1,Capital One Prime Auto Receivables Trust 2021-1,2021,1,2021-11-15,0.00013873,188178.37000000,1356483994.50000000
COPAR,COPAR 2021-1,Capital One Prime Auto Receivables Trust 2021-1,2021,2,2021-12-15,0.00008594,116571.03000000,1356483994.50000000
COPAR,COPAR 2021-1,Capital One Prime Auto Receivables Trust 2021-1,2021,3,2022-01-18,0.00011755,159457.85000000,1356483994.50000000
COPAR,COPAR 2021-1,Capital One Prime Auto Receivables Trust 2021-1,2021,4,2022-02-15,0.00019895,269872.73000000,1356483994.50000000
