issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
CRVNAN,CRVNAN 2021-N1,Carvana Auto Receivables Trust 2021-N1,2021,1,2021-05-10,0.00108082,432326.58000000,400000003.20999998
CRVNAN,CRVNAN 2021-N2,Carvana Auto Receivables Trust 2021-N2,2021,1,2021-07-12,0.00077860,311440.22000000,400000003.48000002
CRVNAN,CRVNAN 2021-N3,Carvana Auto Receivables Trust 2021-N3,2021,1,2021-10-12,0.00091768,385425.77000000,420000002.08999997
CRVNAN,CRVNAN 2021-N4,Carvana Auto Receivables Trust 2021-N4,2021,1,2022-01-10,0.00073617,338636.03000000,460000002.43000001
CRVNAN,CRVNAN 2021-N4,Carvana Auto Receivables Trust 2021-N4,2021,2,2022-02-10,0.00175254,806168.69000000,460000002.43000001
CRVNAN,CRVNAN 2021-N3,Carvana Auto Receivables Trust 2021-N3,2021,2,2021-11-10,0.00205366,862536.96000000,420000002.08999997
CRVNAN,CRVNAN 2021-N2,Carvana Auto Receivables Trust 2021-N2,2021,2,2021-08-10,0.00159788,639153.43000000,400000003.48000002
CRVNAN,CRVNAN 2021-N1,Carvana Auto Receivables Trust 2021-N1,2021,2,2021-06-10,0.00140061,560244.10000000,400000003.20999998
CRVNAN,CRVNAN 2021-N1,Carvana Auto Receivables Trust 2021-N1,2021,3,2021-07-12,0.00297774,1191094.04000000,400000003.20999998
CRVNAN,CRVNAN 2021-N4,Carvana Auto Receivables Trust 2021-N4,2021,3,2022-03-10,0.00275841,1268869.04000000,460000002.43000001
CRVNAN,CRVNAN 2021-N3,Carvana Auto Receivables Trust 2021-N3,2021,3,2021-12-10,0.00411774,1729450.35000000,420000002.08999997
CRVNAN,CRVNAN 2021-N2,Carvana Auto Receivables Trust 2021-N2,2021,3,2021-09-10,0.00324895,1299579.17000000,400000003.48000002
CRVNAN,CRVNAN 2021-N1,Carvana Auto Receivables Trust 2021-N1,2021,4,2021-08-10,0.00589142,2356568.37000000,400000003.20999998
CRVNAN,CRVNAN 2021-N3,Carvana Auto Receivables Trust 2021-N3,2021,4,2022-01-10,0.00820723,3447035.97000000,420000002.08999997
CRVNAN,CRVNAN 2021-N2,Carvana Auto Receivables Trust 2021-N2,2021,4,2021-10-12,0.00603280,2413120.47000000,400000003.48000002
CRVNAN,CRVNAN 2021-N4,Carvana Auto Receivables Trust 2021-N4,2021,4,2022-04-11,0.00625607,2877792.14000000,460000002.43000001
CRVNAN,CRVNAN 2021-N2,Carvana Auto Receivables Trust 2021-N2,2021,5,2021-11-10,0.01152333,4609331.91000000,400000003.48000002
CRVNAN,CRVNAN 2021-N4,Carvana Auto Receivables Trust 2021-N4,2021,5,2022-05-10,0.01043749,4801247.20000000,460000002.43000001
CRVNAN,CRVNAN 2021-N3,Carvana Auto Receivables Trust 2021-N3,2021,5,2022-02-10,0.01350570,5672394.59000000,420000002.08999997
CRVNAN,CRVNAN 2021-N1,Carvana Auto Receivables Trust 2021-N1,2021,5,2021-09-10,0.01066513,4266051.84000000,400000003.20999998
CRVNAN,CRVNAN 2021-N1,Carvana Auto Receivables Trust 2021-N1,2021,6,2021-10-12,0.01382933,5531733.66000000,400000003.20999998
CRVNAN,CRVNAN 2021-N4,Carvana Auto Receivables Trust 2021-N4,2021,6,2022-06-10,0.01575371,7246705.29000000,460000002.43000001
CRVNAN,CRVNAN 2021-N3,Carvana Auto Receivables Trust 2021-N3,2021,6,2022-03-10,0.01961773,8239446.20000000,420000002.08999997
CRVNAN,CRVNAN 2021-N2,Carvana Auto Receivables Trust 2021-N2,2021,6,2021-12-10,0.01622699,6490797.36000000,400000003.48000002
