issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
CRVNAN,2021,1,0.00087371,1467828.60000000,1680000011.21000004,4,2022-01-10
CRVNAN,2021,2,0.00170720,2868103.18000000,1680000011.21000004,4,2022-02-10
CRVNAN,2021,3,0.00326726,5488992.60000000,1680000011.21000004,4,2022-03-10
CRVNAN,2021,4,0.00660388,11094516.95000000,1680000011.21000004,4,2022-04-11
CRVNAN,2021,5,0.01151728,19349025.54000000,1680000011.21000004,4,2022-05-10
CRVNAN,2021,6,0.01637422,27508682.51000000,1680000011.21000004,4,2022-06-10
CRVNAN,2021,7,0.02083170,34997263.74000000,1680000011.21000004,4,2022-07-11
CRVNAN,2021,8,0.02537919,42637034.44000000,1680000011.21000004,4,2022-08-10
CRVNAN,2021,9,0.02968230,49866270.15000000,1680000011.21000004,4,2022-09-12
CRVNAN,2021,10,0.03400645,57130841.07000000,1680000011.21000004,4,2022-10-11
CRVNAN,2021,11,0.03867007,64965713.09999999,1680000011.21000004,4,2022-11-10
CRVNAN,2021,12,0.04355006,73164105.56000000,1680000011.21000004,4,2022-12-12
CRVNAN,2021,13,0.04731362,79486889.31000000,1680000011.21000004,4,2023-01-10
CRVNAN,2021,14,0.05101467,85704640.34000000,1680000011.21000004,4,2023-02-10
CRVNAN,2021,15,0.05530273,92908580.96000001,1680000011.21000004,4,2023-03-10
CRVNAN,2021,16,0.05944361,99865266.21000001,1680000011.21000004,4,2023-04-10
CRVNAN,2021,17,0.06308872,105989046.70000000,1680000011.21000004,4,2023-05-10
CRVNAN,2021,18,0.06705686,112655531.39999999,1680000011.21000004,4,2023-06-12
CRVNAN,2021,19,0.07165030,120372497.56999999,1680000011.21000004,4,2023-07-10
CRVNAN,2021,20,0.07556427,126947981.75999999,1680000011.21000004,4,2023-08-10
CRVNAN,2021,21,0.07448792,90875266.71000001,1220000008.77999997,3,2023-06-12
CRVNAN,2021,22,0.08394086,141020651.03000000,1680000011.21000004,4,2023-10-10
CRVNAN,2021,23,0.08800947,147855902.60999998,1680000011.21000004,4,2023-11-10
CRVNAN,2021,24,0.09188179,154361414.06999999,1680000011.21000004,4,2023-12-11
CRVNAN,2021,25,0.09615666,161543182.06999999,1680000011.21000004,4,2024-01-10
CRVNAN,2021,26,0.10028928,168485991.56999999,1680000011.21000004,4,2024-02-12
CRVNAN,2021,27,0.10344474,173787160.41000000,1680000011.21000004,4,2024-03-11
CRVNAN,2021,28,0.10733411,180321302.40000001,1680000011.21000004,4,2024-04-10
CRVNAN,2021,29,0.11129285,186971982.40000001,1680000011.21000004,4,2024-05-10
CRVNAN,2021,30,0.11405524,191612809.09000000,1680000011.21000004,4,2024-06-10
CRVNAN,2021,31,0.11781301,197925861.59999999,1680000011.21000004,4,2024-07-10
CRVNAN,2021,32,0.12133339,203840088.28000000,1680000011.21000004,4,2024-08-12
CRVNAN,2021,33,0.12414528,208564070.56000000,1680000011.21000004,4,2024-09-10
CRVNAN,2021,34,0.12737969,213997888.74000001,1680000011.21000004,4,2024-10-10
CRVNAN,2021,35,0.12972560,217939003.30000001,1680000011.21000004,4,2024-11-12
CRVNAN,2021,36,0.13283740,223166835.40000001,1680000011.21000004,4,2024-12-10
CRVNAN,2021,37,0.13599928,228478797.86000001,1680000011.21000004,4,2025-01-10
CRVNAN,2021,38,0.13911569,233714356.74000001,1680000011.21000004,4,2025-02-10
CRVNAN,2021,39,0.14194246,238463338.42000002,1680000011.21000004,4,2025-03-10
CRVNAN,2021,40,0.14461354,242950744.97000000,1680000011.21000004,4,2025-04-10
CRVNAN,2021,41,0.14773620,248196817.31000000,1680000011.21000004,4,2025-05-12
CRVNAN,2021,42,0.14976633,251607429.94000000,1680000011.21000004,4,2025-06-10
CRVNAN,2021,43,0.15239793,256028529.75000000,1680000011.21000004,4,2025-07-10
CRVNAN,2021,44,0.15504843,260481371.10999998,1680000011.21000004,4,2025-08-11
CRVNAN,2021,45,0.15664686,263166734.81999999,1680000011.21000004,4,2025-09-10
CRVNAN,2021,46,0.15861814,266478482.91000003,1680000011.21000004,4,2025-10-10
CRVNAN,2021,47,0.16034130,269373391.76999998,1680000011.21000004,4,2025-11-10
CRVNAN,2021,48,0.16212596,272371614.80000001,1680000011.21000004,4,2025-12-10
CRVNAN,2021,49,0.16392114,275387510.14999998,1680000011.21000004,4,2026-01-12
CRVNAN,2021,50,0.16577299,278498621.88000000,1680000011.21000004,4,2026-02-10
CRVNAN,2021,51,0.16684454,280298834.05000001,1680000011.21000004,4,2026-03-10
CRVNAN,2021,52,0.16871275,283437424.94000000,1680000011.21000004,4,2026-04-10
CRVNAN,2021,53,0.16985788,285361244.75999999,1680000011.21000004,4,2026-05-11
CRVNAN,2021,54,0.17088714,287090389.95999998,1680000011.21000004,4,2026-06-10
CRVNAN,2021,55,0.17226939,289412578.88999999,1680000011.21000004,4,2026-07-10
CRVNAN,2021,56,0.16081306,196191939.15000001,1220000008.77999997,3,2026-05-11
CRVNAN,2021,57,0.16161154,197166080.75999999,1220000008.77999997,3,2026-06-10
CRVNAN,2021,58,0.16262578,198403448.00999999,1220000008.77999997,3,2026-07-10
CRVNAN,2021,59,0.14451062,115608494.59000000,800000006.69000006,2,2026-05-11
CRVNAN,2021,60,0.14506030,116048237.46000001,800000006.69000006,2,2026-06-10
CRVNAN,2021,61,0.14564743,116517942.53999999,800000006.69000006,2,2026-07-10
CRVNAN,2021,62,0.13230619,52922477.33000000,400000003.20999998,1,2026-06-10
CRVNAN,2021,63,0.13299212,53196846.88000000,400000003.20999998,1,2026-07-10
