issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
DRIVE,2017-07-01,0.00053956,1,1373723526.02500010,,,,pass
DRIVE,2017-08-01,0.00184800,2,2528850536.38000011,,,,pass
DRIVE,2017-09-01,0.00669815,2,2490873042.10499954,,,,pass
DRIVE,2017-10-01,0.01979921,2,2440751434.30499983,,,,pass
DRIVE,2017-11-01,0.02986118,3,3897313692.36499977,,,,pass
DRIVE,2017-12-01,0.04789541,3,3784303731.19499969,0.10270778,1.00000000,1213908636.25000000,pass
DRIVE,2018-01-01,0.07201105,3,3666380372.28999996,0.11177606,2.00000000,2193115523.28000021,pass
DRIVE,2018-02-01,0.10487321,3,3549901946.69000006,0.13954534,2.00000000,2115856296.68000007,pass
DRIVE,2018-03-01,0.07311728,4,4576465917.54500008,0.11645545,2.00000000,2042829617.63000011,pass
DRIVE,2018-04-01,0.07086919,4,4424361522.76000023,0.09458859,3.00000000,3289883278.76000023,pass
DRIVE,2018-05-01,0.06866062,4,4273938794.01000023,0.09098435,3.00000000,3162411267.94499969,pass
DRIVE,2018-06-01,0.04654828,5,5743871838.16499996,0.08077879,3.00000000,3046064137.37500000,pass
DRIVE,2018-07-01,0.05786280,5,5572932125.69999981,0.09471648,3.00000000,2933322524.50000000,pass
DRIVE,2018-08-01,0.05766922,6,7032028960.13500023,0.10400192,4.00000000,3831309171.98999977,pass
DRIVE,2018-09-01,0.07622501,6,6814142342.96000004,0.13178174,4.00000000,3678085635.15000010,pass
DRIVE,2018-10-01,0.07230213,7,8181195641.19000053,0.14523645,4.00000000,3524335187.52999973,pass
DRIVE,2018-11-01,0.08488375,7,7904123930.57999992,0.12928833,5.00000000,4783155409.81999969,pass
DRIVE,2018-12-01,0.08325130,8,8907009942.43499947,0.13936322,5.00000000,4585021418.90500069,pass
DRIVE,2019-01-01,0.10974906,8,8589434822.71999931,0.15206172,6.00000000,5807866692.57999992,pass
DRIVE,2019-02-01,0.10070735,9,9528247774.21999931,0.15478615,6.00000000,5560874012.21500015,pass
DRIVE,2019-03-01,0.09808068,9,9169573037.29999924,0.12855864,7.00000000,6689676905.60000038,pass
DRIVE,2019-04-01,0.07320701,10,10101741181.30500031,0.10680458,7.00000000,6398877448.95499992,pass
DRIVE,2019-05-01,0.06950206,10,9720241565.97000122,0.09092057,8.00000000,7246305447.77000046,pass
DRIVE,2019-06-01,0.06931212,10,9348858012.86000061,0.08705814,8.00000000,6943557444.87500000,pass
DRIVE,2019-07-01,0.07860719,11,10523173222.34499931,0.10302659,9.00000000,7758129656.63500023,pass
