issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,1,2017-08-15,0.00012476,147267.46000000,1180452151.04999995
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,1,2017-11-15,0.00007838,120286.77000000,1534751067.36999989
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,1,2017-07-17,0.00004467,61766.89000000,1382670256.52999997
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,2,2017-08-15,0.00020556,284217.18000000,1382670256.52999997
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,2,2017-09-15,0.00030809,363681.16000000,1180452151.04999995
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,2,2017-12-15,0.00038889,596845.96000000,1534751067.36999989
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,3,2018-01-16,0.00135314,2076734.43000000,1534751067.36999989
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,3,2017-10-16,0.00082258,971020.55000000,1180452151.04999995
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,3,2017-09-15,0.00101840,1408106.93000000,1382670256.52999997
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,4,2018-02-15,0.00534579,8204461.32000000,1534751067.36999989
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,4,2017-11-15,0.00287658,3395667.06000000,1180452151.04999995
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,4,2017-10-16,0.00328593,4543354.13000000,1382670256.52999997
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,5,2017-11-15,0.00819518,11331233.03000000,1382670256.52999997
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,5,2017-12-15,0.00638225,7533941.06000000,1180452151.04999995
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,5,2018-03-15,0.01036753,15911576.73000000,1534751067.36999989
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,6,2018-04-16,0.01711057,26260459.47000000,1534751067.36999989
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,6,2018-01-16,0.01331838,15721714.80000000,1180452151.04999995
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,6,2017-12-15,0.01552727,21469100.86000000,1382670256.52999997
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,7,2018-02-15,0.02409122,28438535.72000000,1180452151.04999995
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,7,2018-05-15,0.02380595,36536212.82000000,1534751067.36999989
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,7,2018-01-16,0.02421455,33480740.97000000,1382670256.52999997
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,8,2018-03-15,0.03244311,38297540.03000000,1180452151.04999995
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,8,2018-06-15,0.02832029,43464599.61000000,1534751067.36999989
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,8,2018-02-15,0.03263760,45127039.50000000,1382670256.52999997
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,9,2018-03-15,0.03938335,54454182.94000000,1382670256.52999997
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,9,2018-04-16,0.03859169,45555641.38000000,1180452151.04999995
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,9,2018-07-16,0.03392131,52060767.20000000,1534751067.36999989
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,10,2018-04-16,0.04490282,62085789.77000000,1382670256.52999997
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,10,2018-05-15,0.04316941,50959417.35000000,1180452151.04999995
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,10,2018-08-15,0.03986787,61187259.77000000,1534751067.36999989
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2017,11,2018-05-15,0.05017238,69371853.09999999,1382670256.52999997
DRIVE,DRIVE 2017-3,Drive Auto Receivables Trust 2017-3,2017,11,2018-09-17,0.04771151,73225289.75000000,1534751067.36999989
DRIVE,DRIVE 2017-2,Drive Auto Receivables Trust 2017-2,2017,11,2018-06-15,0.04750930,56082460.14000000,1180452151.04999995
