issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
DRIVE,2017,1,0.00008036,329321.12000000,4097873474.94999981,3,2017-11-15
DRIVE,2017,2,0.00030375,1244744.30000000,4097873474.94999981,3,2017-12-15
DRIVE,2017,3,0.00108736,4455861.91000000,4097873474.94999981,3,2018-01-16
DRIVE,2017,4,0.00393948,16143482.51000000,4097873474.94999981,3,2018-02-15
DRIVE,2017,5,0.00848654,34776750.82000000,4097873474.94999981,3,2018-03-15
DRIVE,2017,6,0.01548395,63451275.13000000,4097873474.94999981,3,2018-04-16
DRIVE,2017,7,0.02402600,98455489.50999999,4097873474.94999981,3,2018-05-15
DRIVE,2017,8,0.03096464,126889179.14000000,4097873474.94999981,3,2018-06-15
DRIVE,2017,9,0.03710964,152070591.52000001,4097873474.94999981,3,2018-07-16
DRIVE,2017,10,0.04251778,174232466.89000002,4097873474.94999981,3,2018-08-15
DRIVE,2017,11,0.04848359,198679602.99000001,4097873474.94999981,3,2018-09-17
DRIVE,2017,12,0.05458844,223696507.68000001,4097873474.94999981,3,2018-10-15
DRIVE,2017,13,0.06101065,250013918.47999999,4097873474.94999981,3,2018-11-15
DRIVE,2017,14,0.06759355,276989823.25999999,4097873474.94999981,3,2018-12-17
DRIVE,2017,15,0.07493992,307094317.81000000,4097873474.94999981,3,2019-01-15
DRIVE,2017,16,0.08177075,335086167.48000002,4097873474.94999981,3,2019-02-15
DRIVE,2017,17,0.08791824,360277826.56999999,4097873474.94999981,3,2019-03-15
DRIVE,2017,18,0.09404098,385368035.27999997,4097873474.94999981,3,2019-04-15
DRIVE,2017,19,0.09925115,406718665.25999999,4097873474.94999981,3,2019-05-15
DRIVE,2017,20,0.10381320,425413366.94000000,4097873474.94999981,3,2019-06-17
DRIVE,2017,21,0.10781388,441807628.48000002,4097873474.94999981,3,2019-07-15
DRIVE,2017,22,0.11093706,454606024.19000000,4097873474.94999981,3,2019-08-15
