issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
EARTS,2025-05-01,0.00042556,1,333556822.29499996,,,,pass
EARTS,2025-06-01,0.00432245,1,326710432.66999996,,,,pass
EARTS,2025-07-01,0.01156655,1,319751918.19999999,,,,pass
EARTS,2025-08-01,0.02012085,2,687148711.88999999,,,,pass
EARTS,2025-09-01,0.02479230,2,671808230.17499995,,,,pass
EARTS,2025-10-01,0.03009033,2,655122409.66999996,0.06010483,1.00000000,294477624.13000000,pass
EARTS,2025-11-01,0.02417847,3,1001423183.48500013,0.03629257,1.00000000,284691553.33500004,pass
EARTS,2025-12-01,0.03264830,3,977368227.53999996,0.05609664,1.00000000,275621280.64499998,pass
EARTS,2026-01-01,0.03972366,3,952262443.89499998,0.06030208,2.00000000,600883017.83500004,pass
EARTS,2026-02-01,0.05096212,3,926444510.41499996,0.06012376,2.00000000,582328153.52499998,pass
EARTS,2026-03-01,0.05075667,3,900662392.78499997,0.04876999,2.00000000,564721715.50000000,pass
EARTS,2026-04-01,0.05219361,3,871249222.18000007,0.05219361,3.00000000,871249222.18000007,pass
EARTS,2026-05-01,0.05170825,3,840416632.42499995,0.05170825,3.00000000,840416632.42499995,pass
EARTS,2026-06-01,0.04167079,4,1179626569.00500011,0.06046850,3.00000000,811523610.62500000,pass
