issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,1,2025-08-15,0.00004467,16887.92000000,378024398.85000002
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,1,2025-05-15,0.00003512,11829.02000000,336789248.01999998
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,2025,1,2025-11-17,0.00001850,6791.58000000,367122965.72000003
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,2,2025-09-15,0.00018856,71281.38000000,378024398.85000002
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,2,2025-06-16,0.00038455,129511.57000000,336789248.01999998
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,2025,2,2025-12-15,0.00013932,51146.99000000,367122965.72000003
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,3,2025-10-15,0.00063239,239058.31000000,378024398.85000002
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,3,2025-07-15,0.00129967,437713.80000000,336789248.01999998
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,2025,3,2026-01-15,0.00050088,183884.41000000,367122965.72000003
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,4,2025-08-15,0.00467056,1572993.91000000,336789248.01999998
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,2025,4,2026-02-17,0.00327057,1200702.34000000,367122965.72000003
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,4,2025-11-17,0.00367434,1388991.29000000,378024398.85000002
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,5,2025-09-15,0.00863024,2906572.92000000,336789248.01999998
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,2025,5,2026-03-16,0.00739570,2715131.82000000,367122965.72000003
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,5,2025-12-15,0.00718287,2715300.86000000,378024398.85000002
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,6,2026-01-15,0.01166575,4409937.48000000,378024398.85000002
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,6,2025-10-15,0.01300972,4381533.61000000,336789248.01999998
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,2025,6,2026-04-15,0.01185696,4352961.86000000,367122965.72000003
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,7,2026-02-17,0.01608154,6079216.19000000,378024398.85000002
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,7,2025-11-17,0.01556626,5242549.28000000,336789248.01999998
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,2025,7,2026-05-15,0.01530395,5618431.63000000,367122965.72000003
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,8,2026-03-16,0.01960111,7409698.36000000,378024398.85000002
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,8,2025-12-15,0.01939195,6531001.54000000,336789248.01999998
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,2025,8,2026-06-15,0.01867969,6857742.43000000,367122965.72000003
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,9,2026-01-15,0.02332588,7855906.48000000,336789248.01999998
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,9,2026-04-15,0.02251385,8510786.30000000,378024398.85000002
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,10,2026-02-17,0.02703256,9104274.28000000,336789248.01999998
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,10,2026-05-15,0.02563055,9688974.10000000,378024398.85000002
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,11,2026-03-16,0.02989678,10068914.92000000,336789248.01999998
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2025,11,2026-06-15,0.02927223,11065617.84000000,378024398.85000002
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,12,2026-04-15,0.03301610,11119466.84000000,336789248.01999998
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,13,2026-05-15,0.03651299,12297182.13000000,336789248.01999998
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2025,14,2026-06-15,0.04088767,13770528.56000000,336789248.01999998
EARTS,EARTS 2026-1,Exeter Select Automobile Receivables Trust 2026-1,2026,1,2026-06-15,0.00001894,7029.82000000,371073168.87000000
