issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
EARTS,2025,1,0.00003282,35508.52000000,1081936612.59000015,3,2025-11-17
EARTS,2025,2,0.00023286,251939.94000000,1081936612.59000015,3,2025-12-15
EARTS,2025,3,0.00079548,860656.52000000,1081936612.59000015,3,2026-01-15
EARTS,2025,4,0.00384744,4162687.54000000,1081936612.59000015,3,2026-02-17
EARTS,2025,5,0.00770563,8337005.60000000,1081936612.59000015,3,2026-03-16
EARTS,2025,6,0.01214899,13144432.95000000,1081936612.59000015,3,2026-04-15
EARTS,2025,7,0.01565729,16940197.10000000,1081936612.59000015,3,2026-05-15
EARTS,2025,8,0.01922335,20798442.33000000,1081936612.59000015,3,2026-06-15
EARTS,2025,9,0.02289645,16366692.78000000,714813646.87000000,2,2026-04-15
EARTS,2025,10,0.02629112,18793248.38000000,714813646.87000000,2,2026-05-15
EARTS,2025,11,0.02956649,21134532.76000000,714813646.87000000,2,2026-06-15
EARTS,2025,12,0.03301610,11119466.84000000,336789248.01999998,1,2026-04-15
EARTS,2025,13,0.03651299,12297182.13000000,336789248.01999998,1,2026-05-15
EARTS,2025,14,0.04088767,13770528.56000000,336789248.01999998,1,2026-06-15
EARTS,2026,1,0.00001894,7029.82000000,371073168.87000000,1,2026-06-15
