issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
EART,2020,1,0.00004638,32865.67000000,708603517.03999996,1,2020-10-15
EART,2020,2,0.00017698,125405.33000000,708603517.03999996,1,2020-11-16
EART,2020,3,0.00088873,629758.02000000,708603517.03999996,1,2020-12-15
EART,2020,4,0.00377934,2678050.86000000,708603517.03999996,1,2021-01-15
EART,2020,5,0.00961044,6809994.35000000,708603517.03999996,1,2021-02-16
EART,2020,6,0.01488063,10544466.85000000,708603517.03999996,1,2021-03-15
EART,2020,7,0.01811302,12834950.50000000,708603517.03999996,1,2021-04-15
EART,2020,8,0.01951592,13829046.72000000,708603517.03999996,1,2021-05-17
EART,2020,9,0.02071403,14678036.77000000,708603517.03999996,1,2021-06-15
EART,2020,10,0.02268512,16074753.74000000,708603517.03999996,1,2021-07-15
EART,2020,11,0.02488563,17634043.98000000,708603517.03999996,1,2021-08-16
EART,2020,12,0.02792120,19785057.14000000,708603517.03999996,1,2021-09-15
EART,2020,13,0.03038615,21531730.09000000,708603517.03999996,1,2021-10-15
EART,2020,14,0.03333124,23618635.86000000,708603517.03999996,1,2021-11-15
EART,2020,15,0.03596456,25484613.24000000,708603517.03999996,1,2021-12-15
EART,2020,16,0.03876108,27466235.43000000,708603517.03999996,1,2022-01-18
EART,2020,17,0.04282315,30344634.85000000,708603517.03999996,1,2022-02-15
EART,2020,18,0.04584456,32485616.23000000,708603517.03999996,1,2022-03-15
EART,2020,19,0.04792400,33959115.14000000,708603517.03999996,1,2022-04-15
EART,2020,20,0.04959059,35140068.32000000,708603517.03999996,1,2022-05-16
EART,2020,21,0.05128370,36339812.03000000,708603517.03999996,1,2022-06-15
EART,2020,22,0.05322799,37717543.15000000,708603517.03999996,1,2022-07-15
EART,2020,23,0.05679511,40245218.22000000,708603517.03999996,1,2022-08-15
EART,2020,24,0.06029776,42727204.08000000,708603517.03999996,1,2022-09-15
EART,2020,25,0.06301794,44654733.87000000,708603517.03999996,1,2022-10-17
EART,2020,26,0.06647239,47102569.96000000,708603517.03999996,1,2022-11-15
EART,2020,27,0.07084687,50202338.33000000,708603517.03999996,1,2022-12-15
EART,2020,28,0.07558894,53562589.22000000,708603517.03999996,1,2023-01-17
EART,2020,29,0.07997568,56671046.26000000,708603517.03999996,1,2023-02-15
EART,2020,30,0.08288220,58730619.01000000,708603517.03999996,1,2023-03-15
EART,2020,31,0.08415988,59635984.16000000,708603517.03999996,1,2023-04-17
EART,2020,32,0.08582119,60813198.57000000,708603517.03999996,1,2023-05-15
EART,2020,33,0.08709514,61715919.14000000,708603517.03999996,1,2023-06-15
