issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
FCAOT,2017-02-01,0.00000382,1,1686598184.26499987,,,,pass
FCAOT,2017-03-01,0.00025277,1,1629310850.82999992,,,,pass
FCAOT,2017-04-01,0.00115913,1,1576297344.97000003,,,,pass
FCAOT,2017-05-01,0.00261183,1,1525893286.61999989,,,,pass
FCAOT,2017-06-01,0.00386678,1,1477024839.40499997,,,,pass
FCAOT,2017-07-01,0.00117216,2,2814120736.45499992,0.00230704,1.00000000,1428644805.44999981,pass
FCAOT,2017-08-01,0.00274720,2,2721971574.82499981,0.00516239,1.00000000,1382983602.71499991,pass
FCAOT,2017-09-01,0.00289100,2,2632676505.15499973,0.00349927,1.00000000,1337485291.82499981,pass
FCAOT,2017-10-01,0.00271230,2,2545697842.69499969,0.00346004,1.00000000,1293088799.19999981,pass
FCAOT,2017-11-01,0.00463137,2,2461142531.30500031,0.00601789,1.00000000,1248923820.64499998,pass
FCAOT,2017-12-01,0.00220759,3,4333488378.25000000,0.00401959,2.00000000,2378834523.41499996,pass
FCAOT,2018-01-01,0.00362697,3,4176431765.15499973,0.00628338,2.00000000,2299586264.48999977,pass
FCAOT,2018-02-01,0.00398116,3,4025901298.04500008,0.00630318,2.00000000,2218973273.37500000,pass
FCAOT,2018-03-01,0.00299671,3,3883714386.17999983,0.00378111,2.00000000,2141313392.19999981,pass
FCAOT,2018-04-01,0.00437778,3,3747084941.03999996,0.00555100,2.00000000,2065024412.72499990,pass
FCAOT,2018-05-01,0.00454648,3,3610410919.08500004,0.00454648,3.00000000,3610410919.08500004,pass
FCAOT,2018-06-01,0.00307486,4,5168564678.00000000,0.00451086,3.00000000,3478130553.44499969,pass
FCAOT,2018-07-01,0.00307129,4,4972153620.44999981,0.00445113,3.00000000,3349808493.63000011,pass
FCAOT,2018-08-01,0.00270068,4,4788851642.16499996,0.00342461,3.00000000,3225935037.04500008,pass
FCAOT,2018-09-01,0.00411613,4,4607841527.57499981,0.00479793,3.00000000,3101580523.25999975,pass
FCAOT,2018-10-01,0.00445522,4,4436759818.42000008,0.00521844,3.00000000,2981697756.26499987,pass
FCAOT,2018-11-01,0.00468935,5,5407737274.61999989,0.00593830,4.00000000,4270072437.00000000,pass
FCAOT,2018-12-01,0.00483504,5,5202235077.39500046,0.00610183,4.00000000,4106850003.48500013,pass
FCAOT,2019-01-01,0.00422874,5,5014135493.55500031,0.00485415,4.00000000,3954347494.37500000,pass
FCAOT,2019-02-01,0.00581946,5,4827200623.65999985,0.00617897,4.00000000,3801710660.98499966,pass
FCAOT,2019-03-01,0.00533172,5,4648257775.59000015,0.00593205,4.00000000,3654545739.31500006,pass
FCAOT,2019-04-01,0.00423185,6,6227270514.63999939,0.00589055,5.00000000,4473364110.52000046,pass
FCAOT,2019-05-01,0.00317773,6,5987090781.55500031,0.00428673,5.00000000,4294716042.26499987,pass
FCAOT,2019-06-01,0.00316191,6,5757688075.74500084,0.00364365,5.00000000,4120381342.20000029,pass
FCAOT,2019-07-01,0.00275536,7,6663849039.35499954,0.00389387,5.00000000,3954740701.67000008,pass
FCAOT,2019-08-01,0.00392817,7,6409387920.71000004,0.00523828,5.00000000,3789238034.80499983,pass
FCAOT,2019-09-01,0.00431640,7,6153861208.84000015,0.00481040,6.00000000,5108575438.83500004,pass
FCAOT,2019-10-01,0.00448047,7,5913548304.00000000,0.00467442,6.00000000,4902146726.49499989,pass
FCAOT,2019-11-01,0.00608274,7,5678096383.86499977,0.00664908,6.00000000,4699846357.95499992,pass
FCAOT,2019-12-01,0.00564417,8,6851533254.17000008,0.00709319,7.00000000,5451687831.31999969,pass
FCAOT,2020-01-01,0.00502301,8,6585329684.81999969,0.00626618,7.00000000,5234294447.94999981,pass
FCAOT,2020-02-01,0.00498937,8,6319000152.47500038,0.00574150,7.00000000,5015176586.02000046,pass
FCAOT,2020-03-01,0.00551731,8,6065904063.86499977,0.00580914,7.00000000,4806488095.98499966,pass
FCAOT,2020-04-01,0.00496435,8,5822382127.59500027,0.00563014,7.00000000,4604178812.02000046,pass
FCAOT,2020-05-01,0.00106612,8,5591913322.47999954,0.00106612,8.00000000,5591913322.47999954,pass
FCAOT,2020-06-01,0.00083670,6,5137184566.54500008,0.00101374,5.00000000,4238732012.42000008,pass
FCAOT,2020-07-01,0.00262414,10,8195892605.71500015,0.00408434,8.00000000,5151955670.10499954,pass
FCAOT,2020-08-01,0.00379078,10,7837613803.69000053,0.00567323,8.00000000,4916129800.10000038,pass
FCAOT,2020-09-01,0.00283318,10,7497572278.44999981,0.00396416,8.00000000,4685175924.39500046,pass
FCAOT,2020-10-01,0.00307622,10,7171407177.08500004,0.00404472,8.00000000,4461299663.38500023,pass
FCAOT,2020-11-01,0.00394749,10,6852826103.31500053,0.00492512,9.00000000,4968163538.47500038,pass
FCAOT,2020-12-01,0.00340687,10,7807000595.04500008,0.00415639,9.00000000,6398848725.98999977,pass
FCAOT,2021-01-01,0.00401026,10,7484254374.36999989,0.00487831,9.00000000,6118649554.05500031,pass
FCAOT,2021-02-01,0.00349790,10,7169223077.23499966,0.00423009,9.00000000,5843963384.84000015,pass
FCAOT,2021-03-01,0.00174038,11,8280508208.97499943,0.00247231,9.00000000,5595723275.60499954,pass
FCAOT,2021-04-01,0.00167518,11,7932262173.94000053,0.00191561,9.00000000,5330786078.26500034,pass
FCAOT,2021-05-01,0.00099488,10,7447730899.54500008,0.00111110,9.00000000,6141013628.67499924,pass
FCAOT,2021-06-01,-0.00088289,10,7133408359.38999939,-0.00113638,9.00000000,5867422091.82999992,pass
FCAOT,2021-07-01,0.00096360,10,6814698710.67500019,0.00106114,9.00000000,5591179122.92000008,pass
FCAOT,2021-08-01,0.00123361,10,6495712503.69999981,0.00123361,10.00000000,6495712503.69999981,pass
FCAOT,2021-09-01,0.00099868,9,6017532760.16499996,0.00099868,9.00000000,6017532760.16499996,pass
FCAOT,2021-10-01,0.00088291,9,5751281160.56000042,0.00088291,9.00000000,5751281160.56000042,pass
FCAOT,2021-11-01,0.00035725,9,5496098733.23500061,0.00035725,9.00000000,5496098733.23500061,pass
FCAOT,2021-12-01,0.00059686,9,5244554547.09000015,0.00059686,9.00000000,5244554547.09000015,pass
FCAOT,2022-01-01,0.00171814,9,4992988775.72500038,0.00171814,9.00000000,4992988775.72500038,pass
FCAOT,2022-02-01,0.00050928,10,5885691226.71500015,0.00062986,9.00000000,4757778433.96000004,pass
FCAOT,2022-03-01,0.00186122,9,5464930571.57499981,0.00232294,8.00000000,4373457524.80999947,pass
FCAOT,2022-04-01,0.00100061,9,5219052987.64999962,0.00115797,8.00000000,4165411853.93499994,pass
FCAOT,2022-05-01,0.00062984,9,4979178963.26000023,0.00076844,8.00000000,3962388873.75499964,pass
FCAOT,2022-06-01,0.00199126,9,4752816224.65999985,0.00199015,8.00000000,3771383860.26499987,pass
FCAOT,2022-07-01,0.00200177,10,5684486144.77499962,0.00250753,9.00000000,4531171738.89499950,pass
FCAOT,2022-08-01,0.00208499,10,5433047732.32999992,0.00262388,9.00000000,4319682085.10000038,pass
FCAOT,2022-09-01,0.00232038,10,5185133297.11499977,0.00276703,9.00000000,4111875523.97000027,pass
FCAOT,2022-10-01,0.00189888,10,6558430681.00499916,0.00321861,8.00000000,3807798012.13000011,pass
FCAOT,2022-11-01,0.00161330,10,6290704457.87500000,0.00277036,8.00000000,3633254900.71999979,pass
FCAOT,2022-12-01,0.00158385,11,7482419565.77000046,0.00257474,9.00000000,4432593296.55500031,pass
FCAOT,2023-01-01,0.00241105,11,7188302617.35999966,0.00356444,9.00000000,4239246353.83999968,pass
FCAOT,2023-02-01,0.00232501,11,6898185425.38000011,0.00300588,9.00000000,4048113369.01000023,pass
FCAOT,2023-03-01,0.00202727,10,6457931351.49499989,0.00223591,9.00000000,5150295908.60000038,pass
FCAOT,2023-04-01,0.00222966,11,7890572527.73999977,0.00302589,9.00000000,4926888717.73999977,pass
FCAOT,2023-05-01,0.00183665,10,7473202394.43500042,0.00235511,9.00000000,5826016624.11499977,pass
FCAOT,2023-06-01,0.00201659,10,7174385753.01000023,0.00215057,9.00000000,5581476453.09000015,pass
FCAOT,2023-07-01,0.00256396,11,8562334475.80000019,0.00377303,9.00000000,5333345707.65999985,pass
FCAOT,2023-08-01,0.00304477,11,8225464867.36999989,0.00385256,9.00000000,5102528623.48999977,pass
FCAOT,2023-09-01,0.00390788,11,7897124375.10999966,0.00454716,10.00000000,6316392115.73499966,pass
FCAOT,2023-10-01,0.00288958,10,7451429669.88500023,0.00295682,9.00000000,5921947402.59000015,pass
FCAOT,2023-11-01,0.00368288,10,7160710274.18999958,0.00315053,9.00000000,5681187919.56999969,pass
FCAOT,2023-12-01,0.00434711,11,8296176296.40999985,0.00524412,10.00000000,6876151728.57499981,pass
FCAOT,2024-01-01,0.00337344,11,7984716251.08499908,0.00407532,10.00000000,6608351810.02999973,pass
FCAOT,2024-02-01,0.00403441,10,7588727793.77499962,0.00480394,9.00000000,6255475741.67000008,pass
FCAOT,2024-03-01,0.00451948,10,7282222803.01499939,0.00541971,9.00000000,5992886524.29500008,pass
FCAOT,2024-04-01,0.00347660,10,8443840987.77000046,0.00497023,8.00000000,5525797611.68000031,pass
FCAOT,2024-05-01,0.00245102,10,8112416263.10000038,0.00302572,9.00000000,6494386547.34000015,pass
FCAOT,2024-06-01,0.00419003,10,7782209008.43499947,0.00521301,9.00000000,6216051447.09499931,pass
FCAOT,2024-07-01,0.00256785,11,9449864076.88500023,0.00385793,9.00000000,5959750413.43000031,pass
FCAOT,2024-08-01,0.00489038,11,9089294959.54999924,0.00663572,9.00000000,5706134120.23999977,pass
FCAOT,2024-09-01,0.00482943,11,8720058944.45999908,0.00570505,10.00000000,6866053029.42000008,pass
FCAOT,2024-10-01,0.00307780,12,10039292119.24500084,0.00435829,10.00000000,6576604378.72500038,pass
FCAOT,2024-11-01,0.00496518,12,9650688642.55999947,0.00674537,10.00000000,6292768123.18000031,pass
FCAOT,2024-12-01,0.00370461,13,10937471081.80500031,0.00473115,11.00000000,7707495421.30500031,pass
FCAOT,2025-01-01,0.00509576,13,10524358574.67499924,0.00678571,11.00000000,7388846006.15999985,pass
FCAOT,2025-02-01,0.00540760,12,9975192124.44499969,0.00673380,10.00000000,6935055567.93000031,pass
FCAOT,2025-03-01,0.00517785,12,9589306203.05999947,0.00550046,11.00000000,8072206682.11000061,pass
FCAOT,2025-04-01,0.00438955,12,10719352624.51000023,0.00541638,10.00000000,7608127045.11999989,pass
FCAOT,2025-05-01,0.00346671,12,10290835859.07500076,0.00408206,11.00000000,8702939438.95999908,pass
FCAOT,2025-06-01,0.00436854,12,9870888248.46500015,0.00498971,11.00000000,8334742789.39999962,pass
FCAOT,2025-07-01,0.00424839,12,9462160171.51499939,0.00492913,11.00000000,7976362610.59000015,pass
FCAOT,2025-08-01,0.00546249,12,9060632745.48999977,0.00616905,11.00000000,7625078365.53999996,pass
FCAOT,2025-09-01,0.00561606,12,8673921649.19999886,0.00561606,12.00000000,8673921649.19999886,pass
FCAOT,2025-10-01,0.00469910,13,9915323080.20999908,0.00561506,12.00000000,8296914992.02499962,pass
FCAOT,2025-11-01,0.00539483,13,9482186759.33500099,0.00642965,12.00000000,7917425579.51000023,pass
FCAOT,2025-12-01,0.00330825,14,10167817783.11000061,0.00443015,12.00000000,7570555336.30000019,pass
FCAOT,2026-01-01,0.00583542,13,9632783439.48999977,0.00761109,11.00000000,7118740965.62000084,pass
FCAOT,2026-02-01,0.00484691,13,9209725633.85499954,0.00618470,11.00000000,6781190397.61999989,pass
FCAOT,2026-03-01,0.00503802,13,8830455553.69000053,0.00556029,12.00000000,7851731320.35499954,pass
FCAOT,2026-04-01,0.00507411,13,9790370870.12999916,0.00661888,11.00000000,7381125592.19999981,pass
FCAOT,2026-05-01,0.00499207,13,9344559609.63999939,0.00587625,12.00000000,7930293432.51500034,pass
FCAOT,2026-06-01,0.00387438,13,8935167139.15500069,0.00446923,12.00000000,7567125288.40499973,pass
FCAOT,2026-07-01,0.00483464,12,8373179853.06999969,0.00562037,11.00000000,7050105473.48500061,pass
