issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,2017,1,2017-02-15,0.00000031,537.39000000,1718023629.79999995
FCAOT,FCAOT 2017-C,Ford Credit Auto Owner Trust 2017-C,2017,1,2017-12-15,0.00000019,386.44000000,1997343293.47000003
FCAOT,FCAOT 2017-B,Ford Credit Auto Owner Trust 2017-B,2017,1,2017-07-17,0.00000016,221.20000000,1410368510.86999989
FCAOT,FCAOT 2017-B,Ford Credit Auto Owner Trust 2017-B,2017,2,2017-08-15,0.00002015,28413.06000000,1410368510.86999989
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,2017,2,2017-03-15,0.00002029,34857.77000000,1718023629.79999995
FCAOT,FCAOT 2017-C,Ford Credit Auto Owner Trust 2017-C,2017,2,2018-01-16,0.00002934,58603.73000000,1997343293.47000003
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,2017,3,2017-04-17,0.00010892,187118.65000000,1718023629.79999995
FCAOT,FCAOT 2017-C,Ford Credit Auto Owner Trust 2017-C,2017,3,2018-02-15,0.00011450,228703.17000000,1997343293.47000003
FCAOT,FCAOT 2017-B,Ford Credit Auto Owner Trust 2017-B,2017,3,2017-09-15,0.00019332,272650.14000000,1410368510.86999989
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,2017,4,2017-05-15,0.00030223,519233.05000000,1718023629.79999995
FCAOT,FCAOT 2017-C,Ford Credit Auto Owner Trust 2017-C,2017,4,2018-03-15,0.00026228,523853.60000000,1997343293.47000003
FCAOT,FCAOT 2017-B,Ford Credit Auto Owner Trust 2017-B,2017,4,2017-10-16,0.00033693,475196.33000000,1410368510.86999989
FCAOT,FCAOT 2017-B,Ford Credit Auto Owner Trust 2017-B,2017,5,2017-11-15,0.00056634,798744.74000000,1410368510.86999989
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,2017,5,2017-06-15,0.00057926,995177.09000000,1718023629.79999995
FCAOT,FCAOT 2017-C,Ford Credit Auto Owner Trust 2017-C,2017,5,2018-04-16,0.00046842,935599.38000000,1997343293.47000003
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,2017,6,2017-07-17,0.00073913,1269838.57000000,1718023629.79999995
