issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
FCAOT,2017,1,0.00000022,1145.03000000,5125735434.13999939,3,2017-12-15
FCAOT,2017,2,0.00002378,121874.56000000,5125735434.13999939,3,2018-01-16
FCAOT,2017,3,0.00013432,688471.96000000,5125735434.13999939,3,2018-02-15
FCAOT,2017,4,0.00029621,1518282.98000000,5125735434.13999939,3,2018-03-15
FCAOT,2017,5,0.00053251,2729521.21000000,5125735434.13999939,3,2018-04-16
FCAOT,2017,6,0.00076418,3916962.00000000,5125735434.13999939,3,2018-05-15
FCAOT,2017,7,0.00108394,5555971.26000000,5125735434.13999939,3,2018-06-15
FCAOT,2017,8,0.00135041,6921835.06000000,5125735434.13999939,3,2018-07-16
FCAOT,2017,9,0.00157200,8057669.28000000,5125735434.13999939,3,2018-08-15
FCAOT,2017,10,0.00185644,9515616.89000000,5125735434.13999939,3,2018-09-17
FCAOT,2017,11,0.00211439,10837825.20000000,5125735434.13999939,3,2018-10-15
FCAOT,2017,12,0.00245133,12564893.24000000,5125735434.13999939,3,2018-11-15
FCAOT,2017,13,0.00277646,14231381.35000000,5125735434.13999939,3,2018-12-17
FCAOT,2017,14,0.00303573,15560358.54000000,5125735434.13999939,3,2019-01-15
FCAOT,2017,15,0.00331385,16985914.40000000,5125735434.13999939,3,2019-02-15
FCAOT,2017,16,0.00358765,18389334.76000000,5125735434.13999939,3,2019-03-15
FCAOT,2017,17,0.00389275,19953184.06000000,5125735434.13999939,3,2019-04-15
FCAOT,2017,18,0.00412015,21118807.90000000,5125735434.13999939,3,2019-05-15
FCAOT,2017,19,0.00424673,21767607.19000000,5125735434.13999939,3,2019-06-17
FCAOT,2017,20,0.00443983,22757399.65000000,5125735434.13999939,3,2019-07-15
FCAOT,2017,21,0.00464726,23820646.62000000,5125735434.13999939,3,2019-08-15
FCAOT,2017,22,0.00485736,24897541.15000000,5125735434.13999939,3,2019-09-16
FCAOT,2017,23,0.00507835,26030298.28000000,5125735434.13999939,3,2019-10-15
FCAOT,2017,24,0.00526136,26968343.51000000,5125735434.13999939,3,2019-11-15
FCAOT,2017,25,0.00549561,28169058.84000000,5125735434.13999939,3,2019-12-16
FCAOT,2017,26,0.00566186,29021202.23000000,5125735434.13999939,3,2020-01-15
FCAOT,2017,27,0.00581811,29822077.16000000,5125735434.13999939,3,2020-02-18
FCAOT,2017,28,0.00590833,30284534.95000000,5125735434.13999939,3,2020-03-16
FCAOT,2017,29,0.00604932,31007226.37000000,5125735434.13999939,3,2020-04-15
FCAOT,2017,30,0.00614494,31497315.67000000,5125735434.13999939,3,2020-05-15
FCAOT,2017,31,0.00625785,32076096.14000000,5125735434.13999939,3,2020-06-15
FCAOT,2017,32,0.00633990,32496660.27000000,5125735434.13999939,3,2020-07-15
FCAOT,2017,33,0.00648845,33258102.71000000,5125735434.13999939,3,2020-08-17
FCAOT,2017,34,0.00662070,33935957.29000000,5125735434.13999939,3,2020-09-15
FCAOT,2017,35,0.00672406,34465759.00000000,5125735434.13999939,3,2020-10-15
FCAOT,2017,36,0.00679032,34805405.76000000,5125735434.13999939,3,2020-11-16
FCAOT,2017,37,0.00688760,35304030.52000000,5125735434.13999939,3,2020-12-15
FCAOT,2017,38,0.00695749,35662264.64000000,5125735434.13999939,3,2021-01-15
FCAOT,2017,39,0.00702331,35999629.96000000,5125735434.13999939,3,2021-02-16
FCAOT,2017,40,0.00704603,36116103.17000000,5125735434.13999939,3,2021-03-15
FCAOT,2017,41,0.00704446,36108014.86000000,5125735434.13999939,3,2021-04-15
FCAOT,2017,42,0.00708811,36331798.64000000,5125735434.13999939,3,2021-05-17
