issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
FTAT,2017,1,0.00000000,0.00000000,1058041886.64194906,1,2017-10-16
FTAT,2017,2,0.00008411,89054.75000000,1058826302.96377611,1,2017-11-15
FTAT,2017,9,0.00183336,1939916.11000000,1058118903.12588394,1,2018-06-15
FTAT,2017,13,0.00266554,2820049.41000000,1057965306.25000000,1,2018-10-15
FTAT,2017,14,0.00290591,3077107.95000000,1058913373.42059350,1,2018-11-15
FTAT,2017,15,0.00308396,3265288.13000000,1058797095.72727263,1,2018-12-17
FTAT,2017,20,0.00391367,4144672.81000000,1059025069.95412838,1,2019-05-15
FTAT,2017,21,0.00395188,4182986.62000000,1058479911.78743970,1,2019-06-17
FTAT,2017,22,0.00413511,4379003.64000000,1058980200.20304573,1,2019-07-15
FTAT,2017,23,0.00422327,4467582.60000000,1057848259.11528146,1,2019-08-15
FTAT,2017,24,0.00425796,4506456.40000000,1058361450.42492926,1,2019-09-16
FTAT,2017,25,0.00450459,4761475.66000000,1057028309.01492524,1,2019-10-15
FTAT,2017,26,0.00461539,4880675.60000000,1057477829.71518981,1,2019-11-15
FTAT,2017,27,0.00467016,4938003.69000000,1057352990.80267560,1,2019-12-16
FTAT,2017,28,0.00475578,5042849.99000000,1060362444.91103184,1,2020-01-15
FTAT,2017,29,0.00484078,5115734.67000000,1056799281.01886797,1,2020-02-18
FTAT,2017,30,0.00488794,5177295.00000000,1059197030.76305223,1,2020-03-16
FTAT,2017,31,0.00497573,5262458.57000000,1057626308.93162394,1,2020-04-15
FTAT,2017,32,0.00502156,5327001.99000000,1060826592.83105040,1,2020-05-15
FTAT,2017,33,0.00519503,5490819.39000000,1056936040.97087371,1,2020-06-15
FTAT,2017,34,0.00524096,5547575.46000000,1058503664.03141367,1,2020-07-15
FTAT,2017,35,0.00528093,5583093.68000000,1057217510.50847471,1,2020-08-17
FTAT,2017,36,0.00521396,5527913.99000000,1060214888.41463423,1,2020-09-15
FTAT,2017,37,0.00516487,5470187.38000000,1059115195.85526323,1,2020-10-15
FTAT,2017,38,0.00512487,5439751.45000000,1061442785.49999988,1,2020-11-16
FTAT,2017,39,0.00518298,5476121.77000000,1056558314.23076916,1,2020-12-15
FTAT,2017,40,0.00516861,5471547.11000000,1058611584.62184858,1,2021-01-15
FTAT,2017,41,0.00521998,5520394.79000000,1057551294.58715594,1,2021-02-16
FTAT,2017,42,0.00519492,5508091.23000000,1060283471.29999995,1,2021-03-15
FTAT,2017,43,0.00521435,5516570.49000000,1057959368.08988762,1,2021-04-15
FTAT,2019,1,0.00002368,33936.24000000,1432963058.32617998,1,2019-06-17
FTAT,2019,2,0.00004338,62206.91000000,1433980880.01111102,1,2019-07-15
FTAT,2019,3,0.00057728,827717.02000000,1433822710.53179169,1,2019-08-15
FTAT,2019,4,0.00104666,1500856.02000000,1433948881.40624976,1,2019-09-16
FTAT,2019,5,0.00134804,1933205.36000000,1434080989.76309204,1,2019-10-15
