issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
GMCAR,2018-02-01,0.00004645,1,1305846574.50000000,,,,pass
GMCAR,2018-03-01,0.00051360,1,1246962835.00000000,,,,pass
GMCAR,2018-04-01,0.00263913,1,1208218638.00000000,,,,pass
GMCAR,2018-05-01,0.00168151,2,2487628650.50000000,,,,pass
GMCAR,2018-06-01,0.00317622,2,2393601036.00000000,,,,pass
GMCAR,2018-07-01,0.00215181,2,2322496108.00000000,0.00274542,1.00000000,1098359524.00000000,pass
GMCAR,2018-08-01,0.00249896,3,3567030692.50000000,0.00475026,1.00000000,1063972170.50000000,pass
GMCAR,2018-09-01,0.00245626,3,3433603670.50000000,0.00277280,1.00000000,1028962841.00000000,pass
GMCAR,2018-10-01,0.00267892,3,3329634103.50000000,0.00267778,2.00000000,2118446957.50000000,pass
GMCAR,2018-11-01,0.00230120,4,4518294494.00000000,0.00288222,2.00000000,2054456124.50000000,pass
GMCAR,2018-12-01,0.00315905,4,4337808605.50000000,0.00381771,2.00000000,1988914866.50000000,pass
GMCAR,2019-01-01,0.00261051,4,4199775574.50000000,0.00298186,3.00000000,3032910845.00000000,pass
GMCAR,2019-02-01,0.00348044,5,5306921123.50000000,0.00534951,3.00000000,2934811245.00000000,pass
GMCAR,2019-03-01,0.00260979,5,5078057282.50000000,0.00318585,3.00000000,2840556982.50000000,pass
GMCAR,2019-04-01,0.00358134,5,4903821158.50000000,0.00372218,4.00000000,3807512981.00000000,pass
GMCAR,2019-05-01,0.00248933,6,5962318384.50000000,0.00337644,4.00000000,3678871765.50000000,pass
GMCAR,2019-06-01,0.00269480,6,5709045143.00000000,0.00320843,4.00000000,3553594694.00000000,pass
GMCAR,2019-07-01,0.00329417,6,5502356660.50000000,0.00346522,5.00000000,4409876880.50000000,pass
GMCAR,2019-08-01,0.00255490,7,6305440971.00000000,0.00324554,5.00000000,4252026150.00000000,pass
GMCAR,2019-09-01,0.00258709,7,6051075101.00000000,0.00297323,5.00000000,4093726300.50000000,pass
GMCAR,2019-10-01,0.00276762,7,5822740094.00000000,0.00295462,6.00000000,4913635247.50000000,pass
GMCAR,2019-11-01,0.00385007,8,6602137894.50000000,0.00475756,6.00000000,4727008123.50000000,pass
GMCAR,2019-12-01,0.00460289,8,6339204640.00000000,0.00536710,6.00000000,4552265620.50000000,pass
GMCAR,2020-01-01,0.00577072,8,6105851992.50000000,0.00637895,7.00000000,5198399445.00000000,pass
GMCAR,2020-02-01,0.00348544,9,7115082460.00000000,0.00446015,7.00000000,4994084059.00000000,pass
GMCAR,2020-03-01,0.00382888,9,6812206996.00000000,0.00462792,7.00000000,4802366257.00000000,pass
GMCAR,2020-04-01,0.00372647,9,6552168894.50000000,0.00428432,8.00000000,5425298579.00000000,pass
GMCAR,2020-05-01,0.00463241,10,7111251272.00000000,0.00579585,8.00000000,5212834360.00000000,pass
GMCAR,2020-06-01,0.00510028,10,6825283202.50000000,0.00619041,8.00000000,5008718333.50000000,pass
GMCAR,2020-07-01,0.00574852,10,6557503877.00000000,0.00598396,9.00000000,5811066477.50000000,pass
GMCAR,2020-08-01,0.00258981,10,6290188708.00000000,0.00259211,9.00000000,5570365579.50000000,pass
GMCAR,2020-09-01,0.00193002,11,7649167907.50000000,0.00241686,9.00000000,5326733328.50000000,pass
GMCAR,2020-10-01,0.00122474,11,7311743596.50000000,0.00147717,10.00000000,5753666429.00000000,pass
GMCAR,2020-11-01,0.00201755,12,8521619272.50000000,0.00257321,10.00000000,5491935635.50000000,pass
GMCAR,2020-12-01,0.00217424,12,8150398205.00000000,0.00275133,10.00000000,5242274367.00000000,pass
GMCAR,2021-01-01,0.00229680,12,7816942619.00000000,0.00247412,10.00000000,5003566495.00000000,pass
GMCAR,2021-02-01,0.00199521,13,9091758293.00000000,0.00274024,11.00000000,6122760251.00000000,pass
GMCAR,2021-03-01,0.00229548,13,8708806120.50000000,0.00266217,11.00000000,5858195983.00000000,pass
GMCAR,2021-04-01,0.00185793,13,8337860598.50000000,0.00179673,12.00000000,6856129756.00000000,pass
GMCAR,2021-05-01,0.00065139,14,9236970347.50000000,0.00060754,12.00000000,6521763025.50000000,pass
GMCAR,2021-06-01,0.00049426,14,8808250151.00000000,0.00049364,12.00000000,6208443213.00000000,pass
GMCAR,2021-07-01,0.00137187,14,8402684306.50000000,0.00135972,13.00000000,7219886944.50000000,pass
GMCAR,2021-08-01,0.00085878,15,9257065855.00000000,0.00090374,13.00000000,6864814808.50000000,pass
GMCAR,2021-09-01,0.00108015,15,8832346539.50000000,0.00103393,13.00000000,6535131760.00000000,pass
GMCAR,2021-10-01,0.00051551,15,8388888759.00000000,0.00050820,14.00000000,7228015025.50000000,pass
GMCAR,2021-11-01,0.00124944,15,9228108363.00000000,0.00141970,13.00000000,6841630814.50000000,pass
GMCAR,2021-12-01,0.00063068,15,8830133488.50000000,0.00066386,13.00000000,6532547436.50000000,pass
GMCAR,2022-01-01,0.00120211,15,8449957892.00000000,0.00131504,14.00000000,7279351574.50000000,pass
GMCAR,2022-02-01,0.00153482,16,9287772485.50000000,0.00181988,14.00000000,6953498308.50000000,pass
GMCAR,2022-03-01,0.00105486,16,8816890630.00000000,0.00124353,14.00000000,6581250769.50000000,pass
GMCAR,2022-04-01,0.00122024,15,8361124880.00000000,0.00123124,14.00000000,7259933553.00000000,pass
GMCAR,2022-05-01,0.00019688,16,9433375059.50000000,0.00007299,14.00000000,6922437152.50000000,pass
GMCAR,2022-06-01,0.00078653,16,8960288709.50000000,0.00088707,14.00000000,6552408429.00000000,pass
GMCAR,2022-07-01,0.00105583,15,8533991254.00000000,0.00108584,14.00000000,7196178928.50000000,pass
GMCAR,2022-08-01,0.00147257,16,9471426543.50000000,0.00167553,14.00000000,6890754961.00000000,pass
GMCAR,2022-09-01,0.00142135,16,9004589094.00000000,0.00160387,14.00000000,6525370137.00000000,pass
GMCAR,2022-10-01,0.00162285,15,8515586380.50000000,0.00174579,14.00000000,7326843952.50000000,pass
GMCAR,2022-11-01,0.00203256,15,9466742163.00000000,0.00237778,13.00000000,6977586354.00000000,pass
GMCAR,2022-12-01,0.00134393,15,9110144150.00000000,0.00150056,13.00000000,6713283473.50000000,pass
GMCAR,2023-01-01,0.00154411,15,8723707497.00000000,0.00169512,14.00000000,7482064388.00000000,pass
GMCAR,2023-02-01,0.00238421,15,10024669851.00000000,0.00302414,13.00000000,7145709455.00000000,pass
GMCAR,2023-03-01,0.00163367,15,9655694411.00000000,0.00182894,13.00000000,6880360699.00000000,pass
GMCAR,2023-04-01,0.00189178,15,9247422740.50000000,0.00185357,14.00000000,7690624049.50000000,pass
GMCAR,2023-05-01,0.00191876,15,10493784394.50000000,0.00257624,13.00000000,7337120508.00000000,pass
GMCAR,2023-06-01,0.00206291,15,10079326175.50000000,0.00250741,13.00000000,7048388038.00000000,pass
GMCAR,2023-07-01,0.00234232,15,9646239196.50000000,0.00255543,14.00000000,8127482602.00000000,pass
GMCAR,2023-08-01,0.00180852,15,10866034491.50000000,0.00224333,13.00000000,7765102067.00000000,pass
GMCAR,2023-09-01,0.00230739,15,10437682669.00000000,0.00281196,13.00000000,7461607112.50000000,pass
GMCAR,2023-10-01,0.00280905,15,9983728445.00000000,0.00297230,14.00000000,8476173385.50000000,pass
GMCAR,2023-11-01,0.00283373,15,11128984281.00000000,0.00356815,13.00000000,8091775079.50000000,pass
GMCAR,2023-12-01,0.00244929,15,10707302029.00000000,0.00285921,13.00000000,7784802353.50000000,pass
GMCAR,2024-01-01,0.00450678,15,10278318086.50000000,0.00513089,14.00000000,8816390345.00000000,pass
GMCAR,2024-02-01,0.00295625,15,11463333337.50000000,0.00347196,13.00000000,8437047783.50000000,pass
GMCAR,2024-03-01,0.00264003,15,11017281751.00000000,0.00272526,13.00000000,8108439053.00000000,pass
GMCAR,2024-04-01,0.00285652,15,10590311670.00000000,0.00300550,14.00000000,9104479595.50000000,pass
GMCAR,2024-05-01,0.00273513,16,11759488447.00000000,0.00319688,14.00000000,8724779422.50000000,pass
GMCAR,2024-06-01,0.00306026,16,11256143273.00000000,0.00318790,14.00000000,8352109394.00000000,pass
GMCAR,2024-07-01,0.00318789,16,10725995102.50000000,0.00344645,15.00000000,9256489969.00000000,pass
GMCAR,2024-08-01,0.00311301,16,11594859657.50000000,0.00369502,14.00000000,8797571948.00000000,pass
GMCAR,2024-09-01,0.00299599,16,11035683347.00000000,0.00302994,14.00000000,8353069026.50000000,pass
GMCAR,2024-10-01,0.00402871,15,10513565942.00000000,0.00429755,14.00000000,9247459565.50000000,pass
GMCAR,2024-11-01,0.00468462,16,11378532349.00000000,0.00575672,14.00000000,8847241509.00000000,pass
GMCAR,2024-12-01,0.00424489,16,10810675481.50000000,0.00480256,14.00000000,8380386084.00000000,pass
GMCAR,2025-01-01,0.00506708,15,10279329881.50000000,0.00541587,14.00000000,9068518929.50000000,pass
GMCAR,2025-02-01,0.00426550,16,11423155350.50000000,0.00480280,14.00000000,8662506399.00000000,pass
GMCAR,2025-03-01,0.00386308,16,10912775484.00000000,0.00425718,14.00000000,8272754642.00000000,pass
