issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
GMCAR,2018,1,0.00000000,0.00000000,5409239909.00000000,4,2018-11-16
GMCAR,2018,2,0.00003490,188801.00000000,5409239909.00000000,4,2018-12-17
GMCAR,2018,3,0.00012460,674012.00000000,5409239909.00000000,4,2019-01-16
GMCAR,2018,4,0.00028386,1535485.00000000,5409239909.00000000,4,2019-02-19
GMCAR,2018,5,0.00047401,2564015.00000000,5409239909.00000000,4,2019-03-18
GMCAR,2018,6,0.00074202,4013756.00000000,5409239909.00000000,4,2019-04-16
GMCAR,2018,7,0.00098939,5351823.00000000,5409239909.00000000,4,2019-05-16
GMCAR,2018,8,0.00121186,6555217.00000000,5409239909.00000000,4,2019-06-17
GMCAR,2018,9,0.00138609,7497702.00000000,5409239909.00000000,4,2019-07-16
GMCAR,2018,10,0.00154488,8356637.00000000,5409239909.00000000,4,2019-08-16
GMCAR,2018,11,0.00179113,9688654.00000000,5409239909.00000000,4,2019-09-16
GMCAR,2018,12,0.00202800,10969920.00000000,5409239909.00000000,4,2019-10-16
GMCAR,2018,13,0.00223976,12115405.00000000,5409239909.00000000,4,2019-11-18
GMCAR,2018,14,0.00241765,13077646.00000000,5409239909.00000000,4,2019-12-16
GMCAR,2018,15,0.00259389,14030996.00000000,5409239909.00000000,4,2020-01-16
GMCAR,2018,16,0.00279957,15143536.00000000,5409239909.00000000,4,2020-02-18
GMCAR,2018,17,0.00303923,16439932.00000000,5409239909.00000000,4,2020-03-16
GMCAR,2018,18,0.00327580,17719598.00000000,5409239909.00000000,4,2020-04-16
GMCAR,2018,19,0.00344117,18614105.00000000,5409239909.00000000,4,2020-05-18
GMCAR,2018,20,0.00375219,20296515.00000000,5409239909.00000000,4,2020-06-16
GMCAR,2018,21,0.00399437,21606483.00000000,5409239909.00000000,4,2020-07-16
GMCAR,2018,22,0.00413198,22350861.00000000,5409239909.00000000,4,2020-08-17
GMCAR,2018,23,0.00430279,23274806.00000000,5409239909.00000000,4,2020-09-16
GMCAR,2018,24,0.00447182,24189161.00000000,5409239909.00000000,4,2020-10-16
GMCAR,2018,25,0.00466402,25228820.00000000,5409239909.00000000,4,2020-11-16
GMCAR,2018,26,0.00476081,25752344.00000000,5409239909.00000000,4,2020-12-16
GMCAR,2018,27,0.00486929,26339131.00000000,5409239909.00000000,4,2021-01-19
GMCAR,2018,28,0.00492472,26638985.00000000,5409239909.00000000,4,2021-02-16
GMCAR,2018,29,0.00499631,27026263.00000000,5409239909.00000000,4,2021-03-16
GMCAR,2018,30,0.00510998,27641081.00000000,5409239909.00000000,4,2021-04-16
GMCAR,2018,31,0.00520505,28155349.00000000,5409239909.00000000,4,2021-05-17
GMCAR,2018,32,0.00522068,28239936.00000000,5409239909.00000000,4,2021-06-16
GMCAR,2018,33,0.00524756,28385324.00000000,5409239909.00000000,4,2021-07-16
GMCAR,2018,34,0.00529263,28629104.00000000,5409239909.00000000,4,2021-08-16
GMCAR,2018,35,0.00530635,28703332.00000000,5409239909.00000000,4,2021-09-16
GMCAR,2018,36,0.00532880,28824778.00000000,5409239909.00000000,4,2021-10-18
GMCAR,2018,37,0.00532858,28823546.00000000,5409239909.00000000,4,2021-11-16
GMCAR,2018,38,0.00534333,28903351.00000000,5409239909.00000000,4,2021-12-16
GMCAR,2018,39,0.00538150,29109837.00000000,5409239909.00000000,4,2022-01-18
GMCAR,2018,40,0.00534378,28905788.00000000,5409239909.00000000,4,2022-02-16
GMCAR,2018,41,0.00533719,28870139.00000000,5409239909.00000000,4,2022-03-16
GMCAR,2018,42,0.00530388,28689947.00000000,5409239909.00000000,4,2022-04-18
GMCAR,2018,43,0.00528827,28605508.00000000,5409239909.00000000,4,2022-05-16
GMCAR,2018,44,0.00528382,28581426.00000000,5409239909.00000000,4,2022-06-16
GMCAR,2018,45,0.00527817,28550902.00000000,5409239909.00000000,4,2022-07-18
GMCAR,2018,46,0.00526275,21382618.00000000,4063013673.00000000,3,2022-08-16
GMCAR,2018,47,0.00526464,21390317.00000000,4063013673.00000000,3,2022-09-16
GMCAR,2019,1,0.00000000,0.00000000,4692292736.00000000,4,2019-11-18
GMCAR,2019,2,0.00001992,93464.00000000,4692292736.00000000,4,2019-12-16
GMCAR,2019,3,0.00009808,460219.00000000,4692292736.00000000,4,2020-01-16
GMCAR,2019,4,0.00026918,1263093.00000000,4692292736.00000000,4,2020-02-18
GMCAR,2019,5,0.00042662,2001841.00000000,4692292736.00000000,4,2020-03-16
GMCAR,2019,6,0.00062198,2918510.00000000,4692292736.00000000,4,2020-04-16
GMCAR,2019,7,0.00085037,3990208.00000000,4692292736.00000000,4,2020-05-18
GMCAR,2019,8,0.00104530,4904847.00000000,4692292736.00000000,4,2020-06-16
GMCAR,2019,9,0.00131275,6159786.00000000,4692292736.00000000,4,2020-07-16
GMCAR,2019,10,0.00159299,7474770.00000000,4692292736.00000000,4,2020-08-17
GMCAR,2019,11,0.00181620,8522139.00000000,4692292736.00000000,4,2020-09-16
GMCAR,2019,12,0.00204576,9599310.00000000,4692292736.00000000,4,2020-10-16
GMCAR,2019,13,0.00224920,10553899.00000000,4692292736.00000000,4,2020-11-16
GMCAR,2019,14,0.00244145,11456016.00000000,4692292736.00000000,4,2020-12-16
GMCAR,2019,15,0.00252555,11850625.00000000,4692292736.00000000,4,2021-01-19
GMCAR,2019,16,0.00271753,12751453.00000000,4692292736.00000000,4,2021-02-16
GMCAR,2019,17,0.00288142,13520468.00000000,4692292736.00000000,4,2021-03-16
GMCAR,2019,18,0.00304509,14288438.00000000,4692292736.00000000,4,2021-04-16
GMCAR,2019,19,0.00321713,15095735.00000000,4692292736.00000000,4,2021-05-17
GMCAR,2019,20,0.00326609,15325465.00000000,4692292736.00000000,4,2021-06-16
GMCAR,2019,21,0.00337926,15856469.00000000,4692292736.00000000,4,2021-07-16
GMCAR,2019,22,0.00346230,16246108.00000000,4692292736.00000000,4,2021-08-16
