issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
HAROT,2017-09-01,0.00089779,2,2254757224.38000011,0.00163898,1.00000000,1044498979.05999994,pass
HAROT,2017-10-01,0.00081153,3,3155551316.71000004,0.00203512,1.00000000,1002881439.66499996,pass
HAROT,2017-11-01,0.00175376,3,3042807452.05499983,0.00393012,1.00000000,962799863.91499996,pass
HAROT,2017-12-01,0.00088087,4,4194294873.76000023,0.00182043,2.00000000,2010085901.55999994,pass
HAROT,2018-01-01,0.00116032,4,4045774832.28499985,0.00184832,2.00000000,1932153757.65999985,pass
HAROT,2018-02-01,0.00177934,4,3896747398.91999960,0.00259289,2.00000000,1853935959.73999977,pass
HAROT,2018-03-01,0.00172307,5,5080743570.24499989,0.00244597,3.00000000,2609297152.02500010,pass
HAROT,2018-04-01,0.00158816,5,4892841329.19499969,0.00239827,3.00000000,2503030152.72499990,pass
HAROT,2018-05-01,0.00163286,5,4704689286.81999969,0.00202806,4.00000000,3458963893.80500031,pass
HAROT,2018-06-01,0.00111761,6,5851478812.50000000,0.00152948,4.00000000,3317805559.61500025,pass
HAROT,2018-07-01,0.00140191,6,5630509426.68999958,0.00222352,4.00000000,3178888947.08500004,pass
HAROT,2018-08-01,0.00160631,6,5417035056.35499954,0.00201876,5.00000000,4168791189.03499985,pass
HAROT,2018-09-01,0.00118535,7,6534936720.51500034,0.00163982,5.00000000,3998400515.01999998,pass
HAROT,2018-10-01,0.00072376,7,6292062663.89500046,0.00090303,5.00000000,3835689514.58500004,pass
HAROT,2018-11-01,0.00197024,7,6055076234.12500000,0.00235293,6.00000000,4809377501.88000011,pass
HAROT,2018-12-01,0.00162415,8,6989914741.71999931,0.00198841,6.00000000,4614624120.65499973,pass
HAROT,2019-01-01,0.00216643,8,6729981407.30500031,0.00275302,6.00000000,4428489479.45499992,pass
HAROT,2019-02-01,0.00163533,8,6470770755.77000046,0.00192207,7.00000000,5368396471.44000053,pass
