issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,1,2017-09-15,0.00024476,250221.59000000,1022326580.77999997
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,1,2017-04-17,0.00009410,122076.53000000,1297276907.15000010
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,2,2017-05-15,0.00031129,403830.32000000,1297276907.15000010
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,2,2017-10-16,0.00057221,584981.17000000,1022326580.77999997
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,3,2017-11-15,0.00121780,1244986.74000000,1022326580.77999997
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,3,2017-06-15,0.00087150,1130582.69000000,1297276907.15000010
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,4,2017-12-15,0.00176318,1802550.17000000,1022326580.77999997
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,4,2017-07-17,0.00151527,1965726.46000000,1297276907.15000010
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,5,2017-08-15,0.00220007,2854095.19000000,1297276907.15000010
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,5,2018-01-16,0.00268891,2748945.74000000,1022326580.77999997
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,6,2018-02-15,0.00325605,3328743.96000000,1022326580.77999997
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,6,2017-09-15,0.00277601,3601254.51000000,1297276907.15000010
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,7,2018-03-15,0.00379787,3882667.89000000,1022326580.77999997
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,7,2017-10-16,0.00360448,4676012.89000000,1297276907.15000010
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,8,2018-04-16,0.00391269,4000041.97000000,1022326580.77999997
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,8,2017-11-15,0.00423354,5492070.42000000,1297276907.15000010
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,9,2017-12-15,0.00515162,6683080.05000000,1297276907.15000010
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,9,2018-05-15,0.00433732,4434158.49000000,1022326580.77999997
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,10,2018-06-15,0.00446051,4560099.17000000,1022326580.77999997
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,10,2018-01-16,0.00612894,7950929.13000000,1297276907.15000010
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,11,2018-02-15,0.00671021,8704994.42000000,1297276907.15000010
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,11,2018-07-16,0.00497238,5083395.83000000,1022326580.77999997
HART,HART 2017-B,Hyundai Auto Receivables Trust 2017-B,2017,12,2018-08-15,0.00501679,5128799.14000000,1022326580.77999997
HART,HART 2017-A,Hyundai Auto Receivables Trust 2017-A,2017,12,2018-03-15,0.00706883,9170227.73000000,1297276907.15000010
