issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
MBART,2018-08-01,0.00243200,1,1460360434.33500004,,,,pass
MBART,2018-09-01,0.00379797,1,1387694015.19999981,,,,pass
MBART,2018-10-01,0.00342539,1,1340822707.26499987,,,,pass
MBART,2018-11-01,0.00109946,1,1294874776.42500019,,,,pass
MBART,2018-12-01,0.00215569,1,1248698268.55999994,,,,pass
MBART,2019-01-01,0.00400653,1,1203559691.86999989,0.00400653,1.00000000,1203559691.86999989,pass
MBART,2019-02-01,0.00286510,1,1157224628.40999985,0.00286510,1.00000000,1157224628.40999985,pass
MBART,2019-03-01,0.00278030,1,1113144918.24499989,0.00278030,1.00000000,1113144918.24499989,pass
MBART,2019-04-01,0.00725303,1,1071896837.62500000,0.00725303,1.00000000,1071896837.62500000,pass
MBART,2019-05-01,0.00358338,1,1029202958.67000008,0.00358338,1.00000000,1029202958.67000008,pass
MBART,2019-06-01,-0.00023382,1,986152729.96000004,-0.00023382,1.00000000,986152729.96000004,pass
MBART,2019-07-01,-0.00381397,1,946161984.11500001,-0.00381397,1.00000000,946161984.11500001,pass
MBART,2019-08-01,0.00265538,1,907604085.16000009,0.00265538,1.00000000,907604085.16000009,pass
MBART,2019-09-01,0.00699188,1,868760532.72500002,0.00699188,1.00000000,868760532.72500002,pass
MBART,2019-10-01,0.00535592,2,2393943885.26500034,0.00825273,1.00000000,831272857.45000005,pass
MBART,2019-11-01,0.00441801,2,2277342958.76999998,0.00947383,1.00000000,793887728.60500002,pass
MBART,2019-12-01,0.00200191,2,2191009046.48499966,0.00099006,1.00000000,758368270.65999997,pass
MBART,2020-01-01,0.00202749,2,2107468503.34500003,-0.00128603,1.00000000,724567021.67499995,pass
MBART,2020-02-01,0.00515986,2,2021542982.69499993,0.00322815,1.00000000,689976096.95499992,pass
MBART,2020-03-01,0.00746437,2,1940330944.14999986,0.00746437,2.00000000,1940330944.14999986,pass
MBART,2020-04-01,0.00459063,2,1862839901.75999999,0.00459063,2.00000000,1862839901.75999999,pass
MBART,2020-05-01,0.00611138,2,1790365098.57500005,0.00611138,2.00000000,1790365098.57500005,pass
MBART,2020-06-01,0.00288391,2,1723146198.26000023,0.00288391,2.00000000,1723146198.26000023,pass
MBART,2020-07-01,0.00214827,2,1650536932.93499994,0.00214827,2.00000000,1650536932.93499994,pass
MBART,2020-08-01,-0.00164491,3,2602138322.60999966,-0.00093642,2.00000000,1573229040.37500000,pass
MBART,2020-09-01,0.00360935,3,2486419716.59999990,0.00522604,2.00000000,1497552067.30999994,pass
MBART,2020-10-01,0.00191331,3,2371586596.80499983,0.00207832,2.00000000,1422061365.42000008,pass
MBART,2020-11-01,0.00521263,3,2258329125.56999969,0.00647810,2.00000000,1347178421.02999997,pass
MBART,2020-12-01,0.00350782,3,2151710096.11999989,0.00350782,3.00000000,2151710096.11999989,pass
MBART,2021-01-01,-0.00182339,3,2045119819.36999989,-0.00182339,3.00000000,2045119819.36999989,pass
MBART,2021-02-01,-0.00038827,3,1940957573.42000008,-0.00038827,3.00000000,1940957573.42000008,pass
MBART,2021-03-01,0.00013737,3,1847914051.36999989,0.00013737,3.00000000,1847914051.36999989,pass
MBART,2021-04-01,0.00110053,3,1749833763.12500000,0.00110053,3.00000000,1749833763.12500000,pass
MBART,2021-05-01,0.00254101,3,1649917862.56500006,0.00254101,3.00000000,1649917862.56500006,pass
MBART,2021-06-01,0.00311591,3,1561192018.84500027,0.00311591,3.00000000,1561192018.84500027,pass
MBART,2021-07-01,-0.00187851,3,1471795945.05500007,-0.00187851,3.00000000,1471795945.05500007,pass
MBART,2021-08-01,-0.00343665,3,1384180114.00000000,-0.00343665,3.00000000,1384180114.00000000,pass
MBART,2021-09-01,-0.00269870,3,1303044571.72499990,-0.00269870,3.00000000,1303044571.72499990,pass
MBART,2021-10-01,-0.00006612,4,2825306573.01000023,-0.00237279,3.00000000,1225503532.67000008,pass
MBART,2021-11-01,0.00141736,4,2666411147.33500004,0.00284116,3.00000000,1153281020.79999995,pass
MBART,2021-12-01,0.00123805,4,2538751656.84000015,-0.00263407,3.00000000,1082878949.73500013,pass
MBART,2022-01-01,0.00156526,4,2412609436.79500008,0.00179077,3.00000000,1013096594.31999993,pass
MBART,2022-02-01,0.00053267,4,2292818856.05000019,-0.00125847,3.00000000,947588306.95000005,pass
MBART,2022-03-01,0.00240156,4,2179307108.76999998,0.00240156,4.00000000,2179307108.76999998,pass
MBART,2022-04-01,0.00140042,4,2065205814.88999987,0.00140042,4.00000000,2065205814.88999987,pass
MBART,2022-05-01,0.00150811,4,1957168590.32500005,0.00150811,4.00000000,1957168590.32500005,pass
MBART,2022-06-01,0.00145304,4,1857654995.63999987,0.00145304,4.00000000,1857654995.63999987,pass
MBART,2022-07-01,-0.00049223,4,1761224350.67499995,-0.00049223,4.00000000,1761224350.67499995,pass
