issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,1,2018-08-15,0.00019621,295965.94000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,2,2018-09-17,0.00048738,735167.32000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,3,2018-10-15,0.00074112,1117903.70000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,4,2018-11-15,0.00081977,1236541.78000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,5,2018-12-17,0.00096849,1460858.87000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,6,2019-01-15,0.00123489,1862700.48000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,7,2019-02-15,0.00141806,2138997.34000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,8,2019-03-15,0.00158905,2396904.15000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,9,2019-04-15,0.00201856,3044778.92000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,10,2019-05-15,0.00222231,3352114.39000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,11,2019-06-17,0.00220957,3332899.07000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,12,2019-07-15,0.00201021,3032179.47000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,13,2019-08-15,0.00214335,3233015.84000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,14,2019-09-16,0.00247893,3739204.70000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,15,2019-10-15,0.00285794,4310894.23000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,16,2019-11-15,0.00327346,4937657.16000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,17,2019-12-16,0.00331494,5000226.36000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,18,2020-01-15,0.00326346,4922575.05000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,19,2020-02-18,0.00338651,5108187.44000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,20,2020-03-16,0.00364390,5496433.12000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,21,2020-04-15,0.00382125,5763945.89000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,22,2020-05-15,0.00407088,6140483.84000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,23,2020-06-15,0.00425992,6425635.62000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,24,2020-07-15,0.00452582,6826711.10000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,25,2020-08-17,0.00451519,6810678.19000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,26,2020-09-15,0.00471563,7113019.52000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,27,2020-10-15,0.00471941,7118723.18000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,28,2020-11-16,0.00470669,7099533.97000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,29,2020-12-15,0.00487164,7348340.70000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,30,2021-01-15,0.00477020,7195327.70000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,31,2021-02-16,0.00469233,7077867.88000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,32,2021-03-15,0.00468863,7072289.87000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,33,2021-04-15,0.00468793,7071233.76000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,34,2021-05-17,0.00463645,6993586.50000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,35,2021-06-15,0.00455410,6869374.68000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,36,2021-07-15,0.00449771,6784308.71000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,37,2021-08-16,0.00450164,6790232.22000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,38,2021-09-15,0.00444359,6702679.32000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,39,2021-10-15,0.00427534,6448888.80000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,40,2021-11-15,0.00429785,6482847.52000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,41,2021-12-15,0.00416753,6286266.01000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,42,2022-01-18,0.00421643,6360030.69000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,43,2022-02-15,0.00418776,6316785.14000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,44,2022-03-15,0.00433040,6531939.67000000,1508391985.08999991
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2018,45,2022-04-15,0.00432567,6524802.29000000,1508391985.08999991
