issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
NAROT,2017-04-01,0.00245503,1,1094523352.18499994,,,,pass
NAROT,2017-05-01,0.00375385,1,1060935676.74000001,,,,pass
NAROT,2017-06-01,0.00681912,1,1028282626.48000002,,,,pass
NAROT,2017-07-01,0.00549538,1,995332867.45499992,,,,pass
NAROT,2017-09-01,0.00440085,2,2449046936.61999989,,,,pass
NAROT,2017-10-01,0.00291446,2,2367608923.81500006,0.00364376,1.00000000,901028220.00500000,pass
NAROT,2017-11-01,0.00722536,2,2286742802.55999994,0.01117055,1.00000000,870382923.40499997,pass
NAROT,2017-12-01,0.00420897,3,3843064358.77999973,0.00506305,1.00000000,839568169.50999999,pass
NAROT,2018-01-01,0.00535691,3,3717068089.28499985,0.00802204,1.00000000,810304330.18000007,pass
NAROT,2018-02-01,0.00549488,3,3588241014.86499977,0.00584001,2.00000000,2049669751.29500008,pass
NAROT,2018-03-01,0.00628884,4,4560595089.06999969,0.00849392,2.00000000,1973267785.80000019,pass
NAROT,2018-04-01,0.00520503,4,4403287570.38500023,0.00483876,2.00000000,1898206282.05999994,pass
NAROT,2018-05-01,0.00636335,4,4242931388.87500000,0.00618245,3.00000000,3211300864.28499985,pass
NAROT,2018-06-01,0.00382039,4,4088270114.44499969,0.00327018,3.00000000,3088992504.92500019,pass
NAROT,2018-07-01,0.00424558,4,3937803254.09999990,0.00418041,3.00000000,2969791233.64499998,pass
NAROT,2018-08-01,0.00399653,5,4902077921.43499947,0.00462312,4.00000000,3789174557.46500015,pass
NAROT,2018-09-01,0.00491094,5,4720636788.52000046,0.00521967,4.00000000,3639950205.90000010,pass
NAROT,2018-10-01,0.00606443,5,4550691680.13999939,0.00631370,4.00000000,3500460258.28999996,pass
NAROT,2018-11-01,0.00775232,5,4381837510.14000034,0.00685805,4.00000000,3362806205.76999998,pass
NAROT,2018-12-01,0.00336835,5,4213523760.60500002,0.00370177,4.00000000,3226002474.78999996,pass
NAROT,2019-01-01,0.00514577,6,5188380890.66500092,0.00557786,5.00000000,4057643720.13500023,pass
NAROT,2019-02-01,0.00416880,6,4998757694.36000061,0.00455986,5.00000000,3899790829.07000017,pass
NAROT,2019-03-01,0.00693638,7,6189240613.63999939,0.00816589,5.00000000,3747416378.69000006,pass
NAROT,2019-04-01,0.00566551,7,5969071604.02999973,0.00605610,5.00000000,3599864020.10500002,pass
NAROT,2019-05-01,0.00437614,7,5741794049.35000038,0.00350545,5.00000000,3447860563.79500008,pass
NAROT,2019-06-01,0.00559698,8,6874804960.39999962,0.00491345,6.00000000,4271129025.12500000,pass
NAROT,2019-07-01,0.00548109,8,6622951720.31500053,0.00400458,6.00000000,4100154976.46000004,pass
NAROT,2019-08-01,0.00672379,8,6366498348.65999985,0.00652560,7.00000000,5094616249.39999962,pass
NAROT,2019-09-01,0.00431499,8,6108181864.84000015,0.00375854,7.00000000,4879729264.55000019,pass
NAROT,2019-10-01,0.00607899,8,5861351539.13999939,0.00579816,7.00000000,4674253121.22999954,pass
NAROT,2019-11-01,0.00925523,9,6957958473.97499943,0.00983527,8.00000000,5614170920.69499969,pass
NAROT,2019-12-01,0.00497205,9,6686689554.32499981,0.00452426,8.00000000,5382645992.18999958,pass
NAROT,2020-01-01,0.00766210,9,6425537586.35499954,0.00776978,8.00000000,5159850401.85000038,pass
NAROT,2020-02-01,0.00881834,9,6156061456.43000031,0.00813751,8.00000000,4929981102.24499989,pass
NAROT,2020-03-01,0.00776507,9,5915033195.18499947,0.00656905,8.00000000,4726903568.71500015,pass
NAROT,2020-04-01,0.00708787,9,5654017081.05999947,0.00708787,9.00000000,5654017081.05999947,pass
NAROT,2020-05-01,0.00679489,10,6520803621.97000027,0.00743892,9.00000000,5416762073.37500000,pass
NAROT,2020-06-01,0.00480297,10,6268787876.31000042,0.00493008,9.00000000,5195800851.62500000,pass
NAROT,2020-07-01,0.00178055,11,7383438571.07500076,0.00252492,9.00000000,4964645551.37500000,pass
NAROT,2020-08-01,0.00461533,11,7055012232.76499939,0.00524291,9.00000000,4724035082.27000046,pass
NAROT,2020-09-01,0.00516981,11,6736097139.92000008,0.00650491,9.00000000,4490112507.68000031,pass
NAROT,2020-10-01,0.00345065,11,6425334910.45499992,0.00385207,10.00000000,5207142881.39000034,pass
NAROT,2020-11-01,0.00597811,11,6117365606.67000008,0.00621259,10.00000000,4949741503.46000004,pass
NAROT,2020-12-01,0.00420542,11,5827077656.49499989,0.00420542,11.00000000,5827077656.49499989,pass
NAROT,2021-01-01,0.00339824,11,5547436487.14500046,0.00339824,11.00000000,5547436487.14500046,pass
NAROT,2021-02-01,0.00375847,11,5270470051.61499977,0.00375847,11.00000000,5270470051.61499977,pass
NAROT,2021-03-01,0.00156469,11,5016539885.13000011,0.00156469,11.00000000,5016539885.13000011,pass
NAROT,2021-04-01,0.00078517,11,4746423492.56999969,0.00078517,11.00000000,4746423492.56999969,pass
NAROT,2021-05-01,-0.00164243,11,4437692282.13500023,-0.00164243,11.00000000,4437692282.13500023,pass
NAROT,2021-06-01,-0.00203716,10,4160212534.42999983,-0.00203716,10.00000000,4160212534.42999983,pass
NAROT,2021-07-01,-0.00245329,11,5014077162.59500027,-0.00318889,10.00000000,3918274581.77500010,pass
NAROT,2021-08-01,-0.00031834,11,4743422849.71000004,-0.00106641,10.00000000,3683161896.40000010,pass
NAROT,2021-09-01,0.00262954,11,4452712978.03999996,0.00292012,10.00000000,3427595441.35500002,pass
NAROT,2021-10-01,-0.00259857,10,4181924506.00500011,-0.00335589,9.00000000,3190727918.44999981,pass
NAROT,2021-11-01,0.00126889,10,3966143686.96000004,0.00155523,9.00000000,3007559654.22499990,pass
