issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,2017,1,2017-04-17,0.00020136,223924.19000000,1112068200.74000001
NAROT,NAROT 2017-B,Nissan Auto Receivables 2017-B Owner Trust,2017,1,2017-09-15,0.00016999,262380.81000000,1543518690.50000000
NAROT,NAROT 2017-C,Nissan Auto Receivables 2017-C Owner Trust,2017,1,2017-12-15,0.00016541,274960.58000000,1662304331.50999999
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,2017,2,2017-05-15,0.00049980,555806.59000000,1112068200.74000001
NAROT,NAROT 2017-C,Nissan Auto Receivables 2017-C Owner Trust,2017,2,2018-01-16,0.00045487,756135.88000000,1662304331.50999999
NAROT,NAROT 2017-B,Nissan Auto Receivables 2017-B Owner Trust,2017,2,2017-10-16,0.00036528,563810.61000000,1543518690.50000000
NAROT,NAROT 2017-C,Nissan Auto Receivables 2017-C Owner Trust,2017,3,2018-02-15,0.00084323,1401707.86000000,1662304331.50999999
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,2017,3,2017-06-15,0.00102524,1140138.36000000,1112068200.74000001
NAROT,NAROT 2017-B,Nissan Auto Receivables 2017-B Owner Trust,2017,3,2017-11-15,0.00073240,1130468.03000000,1543518690.50000000
NAROT,NAROT 2017-C,Nissan Auto Receivables 2017-C Owner Trust,2017,4,2018-03-15,0.00136100,2262388.81000000,1662304331.50999999
NAROT,NAROT 2017-B,Nissan Auto Receivables 2017-B Owner Trust,2017,4,2017-12-15,0.00119806,1849220.40000000,1543518690.50000000
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,2017,4,2017-07-17,0.00143512,1595949.74000000,1112068200.74000001
NAROT,NAROT 2017-A,Nissan Auto Receivables 2017-A Owner Trust,2017,5,2017-09-15,0.00227739,2532609.27000000,1112068200.74000001
