issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
NAROT,2017,1,0.00017630,761265.58000000,4317891222.75000000,3,2017-12-15
NAROT,2017,2,0.00043441,1875753.08000000,4317891222.75000000,3,2018-01-16
NAROT,2017,3,0.00085049,3672314.25000000,4317891222.75000000,3,2018-02-15
NAROT,2017,4,0.00132184,5707558.95000000,4317891222.75000000,3,2018-03-15
NAROT,2017,5,0.00183990,7944483.28000000,4317891222.75000000,3,2018-04-16
NAROT,2017,6,0.00227734,9833311.02000000,4317891222.75000000,3,2018-05-15
NAROT,2017,7,0.00270888,11696639.92000000,4317891222.75000000,3,2018-06-15
NAROT,2017,8,0.00300833,12989620.83000000,4317891222.75000000,3,2018-07-16
NAROT,2017,9,0.00330310,14262445.16000000,4317891222.75000000,3,2018-08-15
NAROT,2017,10,0.00361020,15588458.55000000,4317891222.75000000,3,2018-09-17
NAROT,2017,11,0.00394416,17030456.63000000,4317891222.75000000,3,2018-10-15
NAROT,2017,12,0.00428579,18505572.98000000,4317891222.75000000,3,2018-11-15
NAROT,2017,13,0.00457289,19745226.57000000,4317891222.75000000,3,2018-12-17
NAROT,2017,14,0.00482202,20820950.41000000,4317891222.75000000,3,2019-01-15
NAROT,2017,15,0.00507118,21896814.05000000,4317891222.75000000,3,2019-02-15
NAROT,2017,16,0.00540390,23333436.13000000,4317891222.75000000,3,2019-03-15
NAROT,2017,17,0.00551509,23813573.34000000,4317891222.75000000,3,2019-04-15
NAROT,2017,18,0.00562421,24284743.05000000,4317891222.75000000,3,2019-05-15
NAROT,2017,19,0.00579428,25019082.43000000,4317891222.75000000,3,2019-06-17
NAROT,2017,20,0.00589931,25472598.27000000,4317891222.75000000,3,2019-07-15
NAROT,2017,21,0.00615203,26563803.15000000,4317891222.75000000,3,2019-08-15
NAROT,2017,22,0.00622736,26889067.87000000,4317891222.75000000,3,2019-09-16
NAROT,2017,23,0.00639147,27597661.15000000,4317891222.75000000,3,2019-10-15
NAROT,2017,24,0.00665863,28751242.95000000,4317891222.75000000,3,2019-11-15
NAROT,2017,25,0.00675851,29182491.81000000,4317891222.75000000,3,2019-12-16
NAROT,2017,26,0.00682422,29466258.30000000,4317891222.75000000,3,2020-01-15
NAROT,2017,27,0.00701743,30300516.42000000,4317891222.75000000,3,2020-02-18
NAROT,2017,28,0.00712503,30765120.13000000,4317891222.75000000,3,2020-03-16
NAROT,2017,29,0.00714238,30840041.33000000,4317891222.75000000,3,2020-04-15
NAROT,2017,30,0.00720416,31106767.79000000,4317891222.75000000,3,2020-05-15
NAROT,2017,31,0.00733979,31692420.78000000,4317891222.75000000,3,2020-06-15
NAROT,2017,32,0.00736100,31784013.38000000,4317891222.75000000,3,2020-07-15
NAROT,2017,33,0.00739713,31939997.77000000,4317891222.75000000,3,2020-08-17
NAROT,2017,34,0.00747303,32267732.54000000,4317891222.75000000,3,2020-09-15
NAROT,2017,35,0.00752938,32511050.48000000,4317891222.75000000,3,2020-10-15
NAROT,2017,36,0.00755216,32609385.01000000,4317891222.75000000,3,2020-11-16
NAROT,2017,37,0.00758877,32767491.99000000,4317891222.75000000,3,2020-12-15
NAROT,2017,38,0.00760690,32845775.01000000,4317891222.75000000,3,2021-01-15
NAROT,2017,39,0.00757763,32719360.88000000,4317891222.75000000,3,2021-02-16
NAROT,2017,40,0.00757686,32716051.41000000,4317891222.75000000,3,2021-03-15
NAROT,2017,41,0.00754228,32566743.83000000,4317891222.75000000,3,2021-04-15
NAROT,2017,42,0.00749032,32342366.77000000,4317891222.75000000,3,2021-05-17
NAROT,2017,43,0.00746174,32218981.44000000,4317891222.75000000,3,2021-06-15
NAROT,2017,44,0.00741506,32017439.10000000,4317891222.75000000,3,2021-07-15
NAROT,2017,45,0.00734226,31703087.26000000,4317891222.75000000,3,2021-08-16
NAROT,2017,46,0.00733784,31683978.64000000,4317891222.75000000,3,2021-09-15
NAROT,2017,47,0.00728865,31471619.29000000,4317891222.75000000,3,2021-10-15
NAROT,2017,48,0.00721291,31144549.02000000,4317891222.75000000,3,2021-11-15
NAROT,2017,49,0.00716132,30921812.94000000,4317891222.75000000,3,2021-12-15
NAROT,2017,50,0.00716177,11905043.42000000,1662304331.50999999,1,2022-01-18
NAROT,2017,51,0.00713216,11855822.32000000,1662304331.50999999,1,2022-02-15
NAROT,2018,1,0.00019007,644223.06000000,3389318336.40000010,3,2019-01-15
NAROT,2018,2,0.00050991,1728261.28000000,3389318336.40000010,3,2019-02-15
NAROT,2018,3,0.00100305,3399660.47000000,3389318336.40000010,3,2019-03-15
NAROT,2018,4,0.00159107,5392642.18000000,3389318336.40000010,3,2019-04-15
NAROT,2018,5,0.00187676,6360946.82000000,3389318336.40000010,3,2019-05-15
NAROT,2018,6,0.00218447,7403871.25000000,3389318336.40000010,3,2019-06-17
NAROT,2018,7,0.00260219,8819665.41000000,3389318336.40000010,3,2019-07-15
NAROT,2018,8,0.00307247,10413580.33000000,3389318336.40000010,3,2019-08-15
NAROT,2018,9,0.00351459,11912055.11000000,3389318336.40000010,3,2019-09-16
NAROT,2018,10,0.00386810,13110208.71000000,3389318336.40000010,3,2019-10-15
NAROT,2018,11,0.00438654,14867380.66000000,3389318336.40000010,3,2019-11-15
NAROT,2018,12,0.00467908,15858879.50000000,3389318336.40000010,3,2019-12-16
NAROT,2018,13,0.00513784,17413768.45000000,3389318336.40000010,3,2020-01-15
NAROT,2018,14,0.00553340,18754446.50000000,3389318336.40000010,3,2020-02-18
NAROT,2018,15,0.00578440,19605185.56000000,3389318336.40000010,3,2020-03-16
NAROT,2018,16,0.00621150,21052744.92000000,3389318336.40000010,3,2020-04-15
NAROT,2018,17,0.00651293,22074384.24000000,3389318336.40000010,3,2020-05-15
NAROT,2018,18,0.00682838,23143551.61000000,3389318336.40000010,3,2020-06-15
NAROT,2018,19,0.00695446,23570890.23000000,3389318336.40000010,3,2020-07-15
NAROT,2018,20,0.00715034,24234771.62000000,3389318336.40000010,3,2020-08-17
NAROT,2018,21,0.00733169,24849415.66000000,3389318336.40000010,3,2020-09-15
NAROT,2018,22,0.00755461,25604970.63000000,3389318336.40000010,3,2020-10-15
NAROT,2018,23,0.00774231,26241151.78000000,3389318336.40000010,3,2020-11-16
NAROT,2018,24,0.00800421,27128801.36000000,3389318336.40000010,3,2020-12-15
NAROT,2018,25,0.00808985,27419060.17000000,3389318336.40000010,3,2021-01-15
NAROT,2018,26,0.00818839,27753053.49000000,3389318336.40000010,3,2021-02-16
NAROT,2018,27,0.00828680,28086601.49000000,3389318336.40000010,3,2021-03-15
NAROT,2018,28,0.00838482,28418834.80000000,3389318336.40000010,3,2021-04-15
NAROT,2018,29,0.00836247,28343071.32000000,3389318336.40000010,3,2021-05-17
NAROT,2018,30,0.00841118,28508149.86000000,3389318336.40000010,3,2021-06-15
NAROT,2018,31,0.00838578,28422075.43000000,3389318336.40000010,3,2021-07-15
NAROT,2018,32,0.00839920,28467572.78000000,3389318336.40000010,3,2021-08-16
NAROT,2018,33,0.00849420,28789531.01000000,3389318336.40000010,3,2021-09-15
NAROT,2018,34,0.00848271,28750593.13000000,3389318336.40000010,3,2021-10-15
NAROT,2018,35,0.00848532,28759450.43000000,3389318336.40000010,3,2021-11-15
NAROT,2018,36,0.00842256,28546732.24000000,3389318336.40000010,3,2021-12-15
NAROT,2018,37,0.00840525,28488066.38000000,3389318336.40000010,3,2022-01-18
NAROT,2018,38,0.00837321,28379475.16000000,3389318336.40000010,3,2022-02-15
NAROT,2018,39,0.00833150,28238107.51000000,3389318336.40000010,3,2022-03-15
NAROT,2018,40,0.00826419,28009959.74000000,3389318336.40000010,3,2022-04-15
NAROT,2018,41,0.00821424,27840669.95000000,3389318336.40000010,3,2022-05-16
NAROT,2018,42,0.00820901,27822950.10000000,3389318336.40000010,3,2022-06-15
NAROT,2018,43,0.00816780,27683273.99000000,3389318336.40000010,3,2022-07-15
NAROT,2018,44,0.00814115,27592962.58000000,3389318336.40000010,3,2022-08-15
NAROT,2018,45,0.00808155,27390951.90000000,3389318336.40000010,3,2022-09-15
NAROT,2018,46,0.00807339,27363281.75000000,3389318336.40000010,3,2022-10-17
NAROT,2018,47,0.00807710,27375853.92000000,3389318336.40000010,3,2022-11-15
NAROT,2018,48,0.00804898,27280560.32000000,3389318336.40000010,3,2022-12-15
NAROT,2018,49,0.00802788,27209033.14000000,3389318336.40000010,3,2023-01-17
NAROT,2018,50,0.00801682,27171549.39000000,3389318336.40000010,3,2023-02-15
NAROT,2018,51,0.00796636,27000524.20000000,3389318336.40000010,3,2023-03-15
NAROT,2018,52,0.00791217,17999005.27000000,2274850711.10000038,2,2023-04-17
NAROT,2018,53,0.00763929,8623420.08000000,1128824647.21000004,1,2022-12-15
NAROT,2019,1,0.00042181,1745236.87000000,4137523457.48999977,3,2019-11-15
NAROT,2019,2,0.00088259,3651728.73000000,4137523457.48999977,3,2019-12-16
NAROT,2019,3,0.00141992,5874951.33000000,4137523457.48999977,3,2020-01-15
NAROT,2019,4,0.00208114,8610766.79000000,4137523457.48999977,3,2020-02-18
NAROT,2019,5,0.00276254,11430054.39000000,4137523457.48999977,3,2020-03-16
NAROT,2019,6,0.00333783,13810346.27000000,4137523457.48999977,3,2020-04-15
NAROT,2019,7,0.00391194,16185736.42000000,4137523457.48999977,3,2020-05-15
NAROT,2019,8,0.00432620,17899745.68000000,4137523457.48999977,3,2020-06-15
NAROT,2019,9,0.00488243,20201187.02000000,4137523457.48999977,3,2020-07-15
NAROT,2019,10,0.00532858,22047128.38000000,4137523457.48999977,3,2020-08-17
NAROT,2019,11,0.00600168,24832078.54000000,4137523457.48999977,3,2020-09-15
NAROT,2019,12,0.00643047,26606205.05000000,4137523457.48999977,3,2020-10-15
NAROT,2019,13,0.00700172,28969761.60000000,4137523457.48999977,3,2020-11-16
NAROT,2019,14,0.00730479,30223742.89000000,4137523457.48999977,3,2020-12-15
NAROT,2019,15,0.00770444,31877313.89000000,4137523457.48999977,3,2021-01-15
NAROT,2019,16,0.00810303,33526487.81000000,4137523457.48999977,3,2021-02-16
NAROT,2019,17,0.00838192,34680390.84000000,4137523457.48999977,3,2021-03-15
NAROT,2019,18,0.00859575,35565110.15000000,4137523457.48999977,3,2021-04-15
NAROT,2019,19,0.00877561,36309301.38000000,4137523457.48999977,3,2021-05-17
NAROT,2019,20,0.00884947,36614872.59000000,4137523457.48999977,3,2021-06-15
NAROT,2019,21,0.00894963,37029322.86000000,4137523457.48999977,3,2021-07-15
NAROT,2019,22,0.00913670,37803330.99000000,4137523457.48999977,3,2021-08-16
NAROT,2019,23,0.00927035,38356271.27000000,4137523457.48999977,3,2021-09-15
