issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,1,2017-03-15,0.00007316,89543.19000000,1224015127.28999996
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,1,2017-10-16,0.00004780,52154.20000000,1091197678.65000010
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,1,2017-06-15,0.00005120,76992.37000000,1503674883.81999993
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,2,2017-11-15,0.00016969,185167.27000000,1091197678.65000010
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,2,2017-07-17,0.00024535,368923.04000000,1503674883.81999993
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,2,2017-04-17,0.00043660,534403.08000000,1224015127.28999996
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,3,2017-05-15,0.00117630,1439805.21000000,1224015127.28999996
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,3,2017-12-15,0.00075129,819806.73000000,1091197678.65000010
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,3,2017-08-15,0.00069206,1040626.69000000,1503674883.81999993
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,4,2017-09-15,0.00223350,3358451.04000000,1503674883.81999993
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,4,2017-06-15,0.00380869,4661890.10000000,1224015127.28999996
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,4,2018-01-16,0.00284461,3104035.68000000,1091197678.65000010
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,5,2018-02-15,0.00568571,6204230.85000000,1091197678.65000010
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,5,2017-07-17,0.00640568,7840651.19000000,1224015127.28999996
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,5,2017-10-16,0.00439191,6603999.98000000,1503674883.81999993
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,6,2017-08-15,0.01019549,12479440.11000000,1224015127.28999996
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,6,2018-03-15,0.00956526,10437593.14000000,1091197678.65000010
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,6,2017-11-15,0.00821830,12357644.33000000,1503674883.81999993
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,7,2017-09-15,0.01585700,19409208.14000000,1224015127.28999996
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,7,2017-12-15,0.01472585,22142897.52000000,1503674883.81999993
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,7,2018-04-16,0.01443554,15752025.59000000,1091197678.65000010
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,8,2018-01-16,0.02066324,31070793.64000000,1503674883.81999993
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,8,2018-05-15,0.01748019,19074337.75000000,1091197678.65000010
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,8,2017-10-16,0.02063677,25259713.98000000,1224015127.28999996
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,9,2018-06-15,0.02057715,22453733.96000000,1091197678.65000010
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,9,2017-11-15,0.02541578,31109299.83000000,1224015127.28999996
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,9,2018-02-15,0.02507177,37699798.23000000,1503674883.81999993
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,10,2018-07-16,0.02342243,25558506.65000000,1091197678.65000010
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,10,2017-12-15,0.02965001,36292066.64000000,1224015127.28999996
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,10,2018-03-15,0.02968826,44641486.97000000,1503674883.81999993
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,11,2018-04-16,0.03296424,49567503.77000000,1503674883.81999993
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,11,2018-08-15,0.02801171,30566310.32000000,1091197678.65000010
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,11,2018-01-16,0.03429627,41979149.19000000,1224015127.28999996
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,12,2018-09-17,0.03259696,35569724.64000000,1091197678.65000010
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,12,2018-05-15,0.03620095,54434465.62000000,1503674883.81999993
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,12,2018-02-15,0.03877458,47460676.94000000,1224015127.28999996
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,13,2018-06-15,0.03925436,59025789.35000000,1503674883.81999993
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,13,2018-10-15,0.03694044,40309325.33000000,1091197678.65000010
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,13,2018-03-15,0.04298626,52615828.06000000,1224015127.28999996
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,14,2018-11-15,0.04124143,45002550.83000000,1091197678.65000010
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,14,2018-04-16,0.04644905,56854334.75000000,1224015127.28999996
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,14,2018-07-16,0.04232891,63648923.56000000,1503674883.81999993
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,15,2018-12-17,0.04516574,49284748.78000000,1091197678.65000010
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,15,2018-05-15,0.04887476,59823447.77000000,1224015127.28999996
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,15,2018-08-15,0.04586022,68958854.66000000,1503674883.81999993
SDART,SDART 2017-2,Santander Drive Auto Receivables Trust 2017-2,2017,16,2018-09-17,0.04964232,74645902.81999999,1503674883.81999993
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,16,2019-01-15,0.05011054,54680509.23000000,1091197678.65000010
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,16,2018-06-15,0.05095607,62370995.40000000,1224015127.28999996
SDART,SDART 2017-3,Santander Drive Auto Receivables Trust 2017-3,2017,17,2019-02-15,0.05404229,58970819.94000000,1091197678.65000010
SDART,SDART 2017-1,Santander Drive Auto Receivables Trust 2017-1,2017,17,2018-07-16,0.05316683,65077007.19000000,1224015127.28999996
