issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
TAOT,TAOT 2017-B,Toyota Auto Receivables 2017-B Owner Trust,2017,1,2017-06-15,0.00003130,58969.48453422,1884009090.54999995
TAOT,TAOT 2017-C,Toyota Auto Receivables 2017-C Owner Trust,2017,1,2017-09-15,0.00002300,43457.08661412,1889438548.44000006
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,2017,1,2017-04-17,0.00002120,34142.71197183,1610505281.69000006
TAOT,TAOT 2017-D,Toyota Auto Receivables 2017-D Owner Trust,2017,1,2017-12-15,0.00000850,16177.66251501,1903254413.52999997
TAOT,TAOT 2017-D,Toyota Auto Receivables 2017-D Owner Trust,2017,2,2018-01-16,0.00005490,104488.66730280,1903254413.52999997
TAOT,TAOT 2017-B,Toyota Auto Receivables 2017-B Owner Trust,2017,2,2017-07-17,0.00006920,130373.42906606,1884009090.54999995
TAOT,TAOT 2017-C,Toyota Auto Receivables 2017-C Owner Trust,2017,2,2017-10-16,0.00008200,154933.96097208,1889438548.44000006
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,2017,2,2017-05-15,0.00003510,56528.73538732,1610505281.69000006
TAOT,TAOT 2017-D,Toyota Auto Receivables 2017-D Owner Trust,2017,3,2018-02-15,0.00024700,470103.84014191,1903254413.52999997
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,2017,3,2017-06-15,0.00029270,471394.89595066,1610505281.69000006
TAOT,TAOT 2017-B,Toyota Auto Receivables 2017-B Owner Trust,2017,3,2017-08-15,0.00043050,811065.91348177,1884009090.54999995
TAOT,TAOT 2017-C,Toyota Auto Receivables 2017-C Owner Trust,2017,3,2017-11-15,0.00040010,755964.36323084,1889438548.44000006
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,2017,4,2017-07-17,0.00050970,820874.54207739,1610505281.69000006
TAOT,TAOT 2017-D,Toyota Auto Receivables 2017-D Owner Trust,2017,4,2018-03-15,0.00041200,784140.81837436,1903254413.52999997
TAOT,TAOT 2017-C,Toyota Auto Receivables 2017-C Owner Trust,2017,4,2017-12-15,0.00055920,1056574.03628765,1889438548.44000006
TAOT,TAOT 2017-B,Toyota Auto Receivables 2017-B Owner Trust,2017,4,2017-09-15,0.00059470,1120420.20615008,1884009090.54999995
TAOT,TAOT 2017-C,Toyota Auto Receivables 2017-C Owner Trust,2017,5,2018-01-16,0.00086740,1638898.99691686,1889438548.44000006
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,2017,5,2017-08-15,0.00064810,1043768.47306329,1610505281.69000006
TAOT,TAOT 2017-B,Toyota Auto Receivables 2017-B Owner Trust,2017,5,2017-10-16,0.00098380,1853488.14328309,1884009090.54999995
TAOT,TAOT 2017-D,Toyota Auto Receivables 2017-D Owner Trust,2017,5,2018-04-16,0.00066940,1274038.50441698,1903254413.52999997
TAOT,TAOT 2017-D,Toyota Auto Receivables 2017-D Owner Trust,2017,6,2018-05-15,0.00090210,1716925.80644541,1903254413.52999997
TAOT,TAOT 2017-A,Toyota Auto Receivables 2017-A Owner Trust,2017,6,2017-09-15,0.00093230,1501474.07411959,1610505281.69000006
TAOT,TAOT 2017-B,Toyota Auto Receivables 2017-B Owner Trust,2017,6,2017-11-15,0.00145770,2746320.05129474,1884009090.54999995
TAOT,TAOT 2017-C,Toyota Auto Receivables 2017-C Owner Trust,2017,6,2018-02-15,0.00113490,2144323.80862456,1889438548.44000006
TAOT,TAOT 2017-B,Toyota Auto Receivables 2017-B Owner Trust,2017,7,2017-12-15,0.00154680,2914185.26126274,1884009090.54999995
TAOT,TAOT 2017-C,Toyota Auto Receivables 2017-C Owner Trust,2017,7,2018-03-15,0.00137960,2606669.42142782,1889438548.44000006
