issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
TAOT,2017,1,0.00002096,152746.94563517,7287207334.21000004,4,2017-12-15
TAOT,2017,2,0.00006125,446324.79272826,7287207334.21000004,4,2018-01-16
TAOT,2017,3,0.00034424,2508529.01280519,7287207334.21000004,4,2018-02-15
TAOT,2017,4,0.00051899,3782009.60288949,7287207334.21000004,4,2018-03-15
TAOT,2017,5,0.00079731,5810194.11768022,7287207334.21000004,4,2018-04-16
TAOT,2017,6,0.00111278,8109043.74048429,7287207334.21000004,4,2018-05-15
TAOT,2017,7,0.00129515,9438046.64407573,7287207334.21000004,4,2018-06-15
TAOT,2017,8,0.00158165,11525842.76050093,7287207334.21000004,4,2018-07-16
TAOT,2017,9,0.00176340,12850263.75680349,7287207334.21000004,4,2018-08-15
TAOT,2017,10,0.00190000,13845689.26422745,7287207334.21000004,4,2018-09-17
TAOT,2017,11,0.00210400,15332248.84784210,7287207334.21000004,4,2018-10-15
TAOT,2017,12,0.00220199,16046341.05160237,7287207334.21000004,4,2018-11-15
TAOT,2017,13,0.00238756,17398623.06071420,7287207334.21000004,4,2018-12-17
TAOT,2017,14,0.00250788,18275449.37301291,7287207334.21000004,4,2019-01-15
TAOT,2017,15,0.00265128,19320445.80060960,7287207334.21000004,4,2019-02-15
TAOT,2017,16,0.00281255,20495605.77505463,7287207334.21000004,4,2019-03-15
TAOT,2017,17,0.00295689,21547457.31557731,7287207334.21000004,4,2019-04-15
TAOT,2017,18,0.00303056,22084315.18299658,7287207334.21000004,4,2019-05-15
TAOT,2017,19,0.00315241,22972295.06069691,7287207334.21000004,4,2019-06-17
TAOT,2017,20,0.00322189,23478574.05281526,7287207334.21000004,4,2019-07-15
TAOT,2017,21,0.00331397,24149614.76545457,7287207334.21000004,4,2019-08-15
TAOT,2017,22,0.00336906,24551043.73090909,7287207334.21000004,4,2019-09-16
TAOT,2017,23,0.00347403,25316009.03232240,7287207334.21000004,4,2019-10-15
TAOT,2017,24,0.00352463,25684729.03510750,7287207334.21000004,4,2019-11-15
TAOT,2017,25,0.00359183,26174443.91609859,7287207334.21000004,4,2019-12-16
TAOT,2017,26,0.00366229,26687880.10406994,7287207334.21000004,4,2020-01-15
TAOT,2017,27,0.00374173,27266773.54523117,7287207334.21000004,4,2020-02-18
TAOT,2017,28,0.00378782,27602623.66355755,7287207334.21000004,4,2020-03-16
TAOT,2017,29,0.00381831,27824842.37716768,7287207334.21000004,4,2020-04-15
TAOT,2017,30,0.00387439,28233457.66925911,7287207334.21000004,4,2020-05-15
TAOT,2017,31,0.00393279,28659089.71018329,7287207334.21000004,4,2020-06-15
TAOT,2017,32,0.00398355,29028927.43791965,7287207334.21000004,4,2020-07-15
TAOT,2017,33,0.00401076,29227232.83327233,7287207334.21000004,4,2020-08-17
