issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,1,2018-08-20,0.00035577,514066.14000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,1,2018-12-20,0.00014686,160975.31000000,1096083727.56999993
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,2,2019-01-22,0.00073214,802486.88000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,2,2018-09-20,0.00089095,1287364.61000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,3,2019-02-20,0.00118104,1294522.18000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,3,2018-10-22,0.00136576,1973431.96000000,1444931385.44000006
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,4,2018-11-20,0.00168385,2433048.72000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,4,2019-03-20,0.00153716,1684854.77000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,5,2018-12-20,0.00224156,3238902.04000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,5,2019-04-22,0.00200617,2198929.11000000,1096083727.56999993
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,6,2019-05-20,0.00219710,2408205.10000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,6,2019-01-22,0.00273000,3944664.28000000,1444931385.44000006
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,7,2019-02-20,0.00350579,5065626.41000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,7,2019-06-20,0.00253199,2775275.45000000,1096083727.56999993
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,8,2019-07-22,0.00289176,3169613.89000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,8,2019-03-20,0.00387022,5592204.69000000,1444931385.44000006
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,9,2019-04-22,0.00422279,6101642.98000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,9,2019-08-20,0.00333853,3659312.85000000,1096083727.56999993
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,10,2019-09-20,0.00360214,3948242.24000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,10,2019-05-20,0.00432992,6256443.88000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,11,2019-10-21,0.00396158,4342224.71000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,11,2019-06-20,0.00435697,6295524.49000000,1444931385.44000006
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,12,2019-07-22,0.00455766,6585501.68000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,12,2019-11-20,0.00394517,4324236.49000000,1096083727.56999993
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,13,2019-12-20,0.00416955,4570178.76000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,13,2019-08-20,0.00499065,7211140.64000000,1444931385.44000006
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,14,2019-09-20,0.00538218,7776876.50000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,14,2020-01-21,0.00470613,5158314.87000000,1096083727.56999993
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,15,2020-02-20,0.00500198,5482587.87000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,15,2019-10-21,0.00580488,8387647.14000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,16,2020-03-20,0.00511636,5607960.61000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,16,2019-11-20,0.00605786,8753186.65000000,1444931385.44000006
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,17,2019-12-20,0.00624631,9025488.61000000,1444931385.44000006
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,17,2020-04-20,0.00539102,5909012.49000000,1096083727.56999993
VALET,VALET 2018-2,Volkswagen Auto Loan Enhanced Trust 2018-2,2018,18,2020-05-20,0.00557611,6111881.88000000,1096083727.56999993
VALET,VALET 2018-1,Volkswagen Auto Loan Enhanced Trust 2018-1,2018,18,2020-01-21,0.00649304,9382000.22000000,1444931385.44000006
