issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,1,2017-09-15,0.00000000,0.00000000,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,1,2017-05-15,0.00010000,137146.08276700,1371460827.67000008
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,2,2017-06-15,0.00030000,411438.24830100,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,2,2017-10-16,0.00030000,211424.61574200,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,3,2017-07-17,0.00110000,1508606.91043700,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,3,2017-11-15,0.00090000,634273.84722600,704748719.13999999
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,4,2017-12-15,0.00130000,916173.33488200,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,4,2017-08-15,0.00200000,2742921.65534000,1371460827.67000008
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,5,2017-09-15,0.00330000,4525820.73131100,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,5,2018-01-16,0.00220000,1550447.18210800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,6,2017-10-16,0.00440000,6034427.64174800,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,6,2018-02-15,0.00280000,1973296.41359200,704748719.13999999
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,7,2018-03-15,0.00320000,2255195.90124800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,7,2017-11-15,0.00530000,7268742.38665100,1371460827.67000008
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,8,2017-12-15,0.00620000,8503057.13155400,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,8,2018-04-16,0.00390000,2748520.00464600,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,9,2018-01-16,0.00740000,10148810.12475800,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,9,2018-05-15,0.00440000,3100894.36421600,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,10,2018-02-15,0.00850000,11657417.03519500,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,10,2018-06-15,0.00480000,3382793.85187200,704748719.13999999
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,11,2018-07-16,0.00520000,3664693.33952800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,11,2018-03-15,0.00880000,12068855.28349600,1371460827.67000008
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,12,2018-04-16,0.01000000,13714608.27670000,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,12,2018-08-15,0.00550000,3876117.95527000,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,13,2018-05-15,0.01080000,14811776.93883600,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,13,2018-09-17,0.00620000,4369442.05866800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,14,2018-06-15,0.01150000,15771799.51820500,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,14,2018-10-15,0.00660000,4651341.54632400,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,15,2018-07-16,0.01210000,16594676.01480700,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,15,2018-11-15,0.00710000,5003715.90589400,704748719.13999999
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,16,2018-12-17,0.00770000,5426565.13737800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,16,2018-08-15,0.01270000,17417552.51140900,1371460827.67000008
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,17,2018-09-17,0.01340000,18377575.09077800,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,17,2019-01-15,0.00830000,5849414.36886200,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,18,2018-10-15,0.01390000,19063305.50461300,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,18,2019-02-15,0.00920000,6483688.21608800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,19,2018-11-15,0.01470000,20160474.16674900,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,19,2019-03-15,0.00970000,6836062.57565800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,20,2018-12-17,0.01540000,21120496.74611800,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,20,2019-04-15,0.01020000,7188436.93522800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,21,2019-01-15,0.01600000,21943373.24272000,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,21,2019-05-15,0.01050000,7399861.55097000,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,22,2019-02-15,0.01680000,23040541.90485600,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,22,2019-06-17,0.01070000,7540811.29479800,704748719.13999999
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,23,2019-07-15,0.01090000,7681761.03862600,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,23,2019-03-15,0.01730000,23726272.31869100,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,24,2019-08-15,0.01120000,7893185.65436800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,24,2019-04-15,0.01770000,24274856.64975900,1371460827.67000008
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,25,2019-05-15,0.01800000,24686294.89806001,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,25,2019-09-16,0.01170000,8245560.01393800,704748719.13999999
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,26,2019-10-15,0.01170000,8245560.01393800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,26,2019-06-17,0.01830000,25097733.14636100,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,27,2019-11-15,0.01200000,8456984.62968000,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,27,2019-07-15,0.01860000,25509171.39466200,1371460827.67000008
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,28,2019-08-15,0.01900000,26057755.72573000,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,28,2019-12-16,0.01240000,8738884.11733600,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,29,2019-09-16,0.01920000,26332047.89126400,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,29,2020-01-15,0.01270000,8950308.73307800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,30,2019-10-15,0.01950000,26743486.13956500,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,30,2020-02-18,0.01300000,9161733.34882000,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,31,2019-11-15,0.02000000,27429216.55340000,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,31,2020-03-16,0.01320000,9302683.09264800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,32,2019-12-16,0.02060000,28252093.05000200,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,32,2020-04-15,0.01320000,9302683.09264800,704748719.13999999
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,33,2020-05-15,0.01370000,9655057.45221800,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,33,2020-01-15,0.02110000,28937823.46383700,1371460827.67000008
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,34,2020-02-18,0.02140000,29349261.71213800,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,34,2020-06-15,0.01390000,9796007.19604600,704748719.13999999
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,35,2020-07-15,0.01400000,9866482.06796000,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,35,2020-03-16,0.02160000,29623553.87767200,1371460827.67000008
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,36,2020-04-15,0.02180000,29897846.04320600,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,36,2020-08-17,0.01400000,9866482.06796000,704748719.13999999
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,37,2020-09-15,0.01380000,9725532.32413200,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,37,2020-05-15,0.02220000,30446430.37427400,1371460827.67000008
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,38,2020-06-15,0.02220000,30446430.37427400,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,38,2020-10-15,0.01380000,9725532.32413200,704748719.13999999
WOART,WOART 2017-A,World Omni Auto Receivables Trust 2017-A,2017,39,2020-07-15,0.02230000,30583576.45704100,1371460827.67000008
WOART,WOART 2017-B,World Omni Auto Receivables Trust 2017-B,2017,39,2020-11-16,0.01380000,9725532.32413200,704748719.13999999
