issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
WOART,2017,1,0.00006606,137146.08276700,2076209546.80999994,2,2017-09-15
WOART,2017,2,0.00030000,622862.86404300,2076209546.80999994,2,2017-10-16
WOART,2017,3,0.00103211,2142880.75766300,2076209546.80999994,2,2017-11-15
WOART,2017,4,0.00176239,3659094.99022200,2076209546.80999994,2,2017-12-15
WOART,2017,5,0.00292662,6076267.91341900,2076209546.80999994,2,2018-01-16
WOART,2017,6,0.00385690,8007724.05534000,2076209546.80999994,2,2018-02-15
WOART,2017,7,0.00458718,9523938.28789900,2076209546.80999994,2,2018-03-15
WOART,2017,8,0.00541929,11251577.13620000,2076209546.80999994,2,2018-04-16
WOART,2017,9,0.00638168,13249704.48897400,2076209546.80999994,2,2018-05-15
WOART,2017,10,0.00724407,15040210.88706700,2076209546.80999994,2,2018-06-15
WOART,2017,11,0.00757802,15733548.62302400,2076209546.80999994,2,2018-07-16
WOART,2017,12,0.00847252,17590726.23197000,2076209546.80999994,2,2018-08-15
WOART,2017,13,0.00923858,19181218.99750400,2076209546.80999994,2,2018-09-17
WOART,2017,14,0.00983674,20423141.06452900,2076209546.80999994,2,2018-10-15
WOART,2017,15,0.01040280,21598391.92070100,2076209546.80999994,2,2018-11-15
WOART,2017,16,0.01100280,22844117.64878700,2076209546.80999994,2,2018-12-17
WOART,2017,17,0.01166886,24226989.45964000,2076209546.80999994,2,2019-01-15
WOART,2017,18,0.01230463,25546993.72070100,2076209546.80999994,2,2019-02-15
WOART,2017,19,0.01300280,26996536.74240700,2076209546.80999994,2,2019-03-15
WOART,2017,20,0.01363491,28308933.68134600,2076209546.80999994,2,2019-04-15
WOART,2017,21,0.01413308,29343234.79369000,2076209546.80999994,2,2019-05-15
WOART,2017,22,0.01472942,30581353.19965400,2076209546.80999994,2,2019-06-17
WOART,2017,23,0.01512758,31408033.35731700,2076209546.80999994,2,2019-07-15
WOART,2017,24,0.01549364,32168042.30412700,2076209546.80999994,2,2019-08-15
WOART,2017,25,0.01586153,32931854.91199800,2076209546.80999994,2,2019-09-16
WOART,2017,26,0.01605970,33343293.16029900,2076209546.80999994,2,2019-10-15
WOART,2017,27,0.01635970,33966156.02434200,2076209546.80999994,2,2019-11-15
WOART,2017,28,0.01675970,34796639.84306600,2076209546.80999994,2,2019-12-16
WOART,2017,29,0.01699364,35282356.62434199,2076209546.80999994,2,2020-01-15
WOART,2017,30,0.01729364,35905219.48838501,2076209546.80999994,2,2020-02-18
WOART,2017,31,0.01769181,36731899.64604800,2076209546.80999994,2,2020-03-16
WOART,2017,32,0.01808814,37554776.14265000,2076209546.80999994,2,2020-04-15
WOART,2017,33,0.01858814,38592880.91605499,2076209546.80999994,2,2020-05-15
WOART,2017,34,0.01885420,39145268.90818401,2076209546.80999994,2,2020-06-15
WOART,2017,35,0.01902026,39490035.94563200,2076209546.80999994,2,2020-07-15
WOART,2017,36,0.01915237,39764328.11116600,2076209546.80999994,2,2020-08-17
WOART,2017,37,0.01934870,40171962.69840600,2076209546.80999994,2,2020-09-15
WOART,2017,38,0.01934870,40171962.69840600,2076209546.80999994,2,2020-10-15
WOART,2017,39,0.01941476,40309108.78117301,2076209546.80999994,2,2020-11-16
WOART,2017,40,0.01951476,40516729.73585400,2076209546.80999994,2,2020-12-15
WOART,2017,41,0.01944870,40379583.65308701,2076209546.80999994,2,2021-01-15
WOART,2017,42,0.01948265,40450058.52500100,2076209546.80999994,2,2021-02-16
WOART,2017,43,0.01944870,40379583.65308701,2076209546.80999994,2,2021-03-15
WOART,2017,44,0.01944870,40379583.65308701,2076209546.80999994,2,2021-04-15
WOART,2017,45,0.01951476,40516729.73585400,2076209546.80999994,2,2021-05-17
WOART,2017,46,0.01958082,40653875.81862099,2076209546.80999994,2,2021-06-15
WOART,2017,47,0.01958082,40653875.81862099,2076209546.80999994,2,2021-07-15
WOART,2017,48,0.01948082,40446254.86394000,2076209546.80999994,2,2021-08-16
WOART,2017,49,0.01944870,40379583.65308701,2076209546.80999994,2,2021-09-15
WOART,2017,50,0.01931659,40105291.48755300,2076209546.80999994,2,2021-10-15
WOART,2017,51,0.01380000,9725532.32413200,704748719.13999999,1,2021-11-15
