issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
WOSAT,2019,1,0.00020000,148876.42047600,744382102.38000000,1,2019-11-15
WOSAT,2019,2,0.00060000,446629.26142800,744382102.38000000,1,2019-12-16
WOSAT,2019,3,0.00240000,1786517.04571200,744382102.38000000,1,2020-01-15
WOSAT,2019,4,0.00510000,3796348.72213800,744382102.38000000,1,2020-02-18
WOSAT,2019,5,0.00800000,5955056.81904000,744382102.38000000,1,2020-03-16
WOSAT,2019,6,0.01080000,8039326.70570400,744382102.38000000,1,2020-04-15
WOSAT,2019,7,0.01470000,10942416.90498600,744382102.38000000,1,2020-05-15
WOSAT,2019,8,0.01740000,12952248.58141200,744382102.38000000,1,2020-06-15
WOSAT,2019,9,0.01790000,13324439.63260200,744382102.38000000,1,2020-07-15
WOSAT,2019,10,0.01840000,13696630.68379200,744382102.38000000,1,2020-08-17
WOSAT,2019,11,0.01830000,13622192.47355400,744382102.38000000,1,2020-09-15
WOSAT,2019,12,0.01870000,13919945.31450600,744382102.38000000,1,2020-10-15
WOSAT,2019,13,0.02040000,15185394.88855200,744382102.38000000,1,2020-11-16
WOSAT,2019,14,0.02310000,17195226.56497800,744382102.38000000,1,2020-12-15
WOSAT,2019,15,0.02460000,18311799.71854800,744382102.38000000,1,2021-01-15
WOSAT,2019,16,0.02640000,19651687.50283200,744382102.38000000,1,2021-02-16
WOSAT,2019,17,0.02660000,19800563.92330800,744382102.38000000,1,2021-03-15
WOSAT,2019,18,0.02640000,19651687.50283200,744382102.38000000,1,2021-04-15
WOSAT,2019,19,0.02660000,19800563.92330800,744382102.38000000,1,2021-05-17
WOSAT,2019,20,0.02650000,19726125.71307000,744382102.38000000,1,2021-06-15
WOSAT,2019,21,0.02680000,19949440.34378400,744382102.38000000,1,2021-07-15
WOSAT,2019,22,0.02720000,20247193.18473600,744382102.38000000,1,2021-08-16
WOSAT,2019,23,0.02720000,20247193.18473600,744382102.38000000,1,2021-09-15
WOSAT,2019,24,0.02730000,20321631.39497400,744382102.38000000,1,2021-10-15
WOSAT,2019,25,0.02730000,20321631.39497400,744382102.38000000,1,2021-11-15
WOSAT,2019,26,0.02790000,20768260.65640200,744382102.38000000,1,2021-12-15
WOSAT,2019,27,0.02870000,21363766.33830600,744382102.38000000,1,2022-01-18
WOSAT,2019,28,0.02900000,21587080.96902000,744382102.38000000,1,2022-02-15
WOSAT,2019,29,0.02900000,21587080.96902000,744382102.38000000,1,2022-03-15
WOSAT,2019,30,0.02890000,21512642.75878200,744382102.38000000,1,2022-04-15
WOSAT,2019,31,0.02920000,21735957.38949600,744382102.38000000,1,2022-05-16
WOSAT,2019,32,0.02900000,21587080.96902000,744382102.38000000,1,2022-06-15
WOSAT,2019,33,0.02910000,21661519.17925800,744382102.38000000,1,2022-07-15
WOSAT,2019,34,0.02920000,21735957.38949600,744382102.38000000,1,2022-08-15
WOSAT,2019,35,0.02910000,21661519.17925800,744382102.38000000,1,2022-09-15
WOSAT,2019,36,0.02940000,21884833.80997200,744382102.38000000,1,2022-10-17
WOSAT,2019,37,0.02990000,22257024.86116200,744382102.38000000,1,2022-11-15
WOSAT,2019,38,0.03010000,22405901.28163800,744382102.38000000,1,2022-12-15
WOSAT,2019,39,0.03050000,22703654.12259000,744382102.38000000,1,2023-01-17
WOSAT,2019,40,0.03060000,22778092.33282800,744382102.38000000,1,2023-02-15
WOSAT,2019,41,0.03070000,22852530.54306600,744382102.38000000,1,2023-03-15
WOSAT,2019,42,0.03070000,22852530.54306600,744382102.38000000,1,2023-04-17
WOSAT,2019,43,0.03050000,22703654.12259000,744382102.38000000,1,2023-05-15
WOSAT,2019,44,0.03040000,22629215.91235200,744382102.38000000,1,2023-06-15
WOSAT,2019,45,0.03040000,22629215.91235200,744382102.38000000,1,2023-07-17
WOSAT,2019,46,0.03040000,22629215.91235200,744382102.38000000,1,2023-08-15
WOSAT,2019,47,0.03050000,22703654.12259000,744382102.38000000,1,2023-09-15
WOSAT,2019,48,0.03050000,22703654.12259000,744382102.38000000,1,2023-10-16
WOSAT,2019,49,0.03040000,22629215.91235200,744382102.38000000,1,2023-11-15
WOSAT,2020,1,0.00010000,86594.96968400,865949696.84000003,1,2020-10-15
WOSAT,2020,2,0.00050000,432974.84842000,865949696.84000003,1,2020-11-16
WOSAT,2020,3,0.00200000,1731899.39368000,865949696.84000003,1,2020-12-15
WOSAT,2020,4,0.00390000,3377203.81767600,865949696.84000003,1,2021-01-15
WOSAT,2020,5,0.00620000,5368888.12040800,865949696.84000003,1,2021-02-16
WOSAT,2020,6,0.00760000,6581217.69598400,865949696.84000003,1,2021-03-15
WOSAT,2020,7,0.00770000,6667812.66566800,865949696.84000003,1,2021-04-15
WOSAT,2020,8,0.00780000,6754407.63535200,865949696.84000003,1,2021-05-17
WOSAT,2020,9,0.00840000,7273977.45345600,865949696.84000003,1,2021-06-15
WOSAT,2020,10,0.00890000,7706952.30187600,865949696.84000003,1,2021-07-15
WOSAT,2020,11,0.00940000,8139927.15029600,865949696.84000003,1,2021-08-16
