reporting_date,fico_low,new_used,active_loans,new_repos
01-31-2017,620,1,48,0
01-31-2017,620,2,16,0
01-31-2017,630,1,39,0
01-31-2017,630,2,15,0
01-31-2017,640,1,55,0
01-31-2017,640,2,22,0
01-31-2017,650,1,73,0
01-31-2017,650,2,19,0
01-31-2017,660,1,2458,0
01-31-2017,660,2,2786,0
01-31-2017,670,1,2816,0
01-31-2017,670,2,2718,0
01-31-2017,680,1,2775,1
01-31-2017,680,2,2623,0
01-31-2017,690,1,2737,0
01-31-2017,690,2,2506,1
01-31-2017,700,1,2193,0
01-31-2017,700,2,1886,1
01-31-2017,710,1,1923,0
01-31-2017,710,2,1655,0
01-31-2017,720,1,1743,0
01-31-2017,720,2,1477,0
01-31-2017,730,1,1633,0
01-31-2017,730,2,1360,0
01-31-2017,740,1,1600,0
01-31-2017,740,2,1242,0
01-31-2017,750,1,1404,0
01-31-2017,750,2,1038,0
01-31-2017,760,1,1380,0
01-31-2017,760,2,925,0
01-31-2017,770,1,1460,0
01-31-2017,770,2,883,0
01-31-2017,780,1,1661,0
01-31-2017,780,2,938,0
01-31-2017,790,1,1572,0
01-31-2017,790,2,884,0
01-31-2017,800,1,1826,0
01-31-2017,800,2,962,0
01-31-2017,810,1,2179,0
01-31-2017,810,2,1037,0
01-31-2017,820,1,2227,0
01-31-2017,820,2,1000,0
01-31-2017,830,1,1842,0
01-31-2017,830,2,787,0
01-31-2017,840,1,876,0
01-31-2017,840,2,373,0
01-31-2017,850,1,545,0
01-31-2017,850,2,238,0
01-31-2017,860,1,243,0
01-31-2017,860,2,123,0
01-31-2017,870,1,192,0
01-31-2017,870,2,62,0
01-31-2017,880,1,46,0
01-31-2017,880,2,8,0
01-31-2017,890,1,6,0
01-31-2017,890,2,3,0
02-28-2017,620,1,99,0
02-28-2017,620,2,29,0
02-28-2017,630,1,89,0
02-28-2017,630,2,29,0
02-28-2017,640,1,124,0
02-28-2017,640,2,41,0
02-28-2017,650,1,144,0
02-28-2017,650,2,38,0
02-28-2017,660,1,4877,0
02-28-2017,660,2,5537,0
02-28-2017,670,1,5524,0
02-28-2017,670,2,5521,1
02-28-2017,680,1,5299,2
02-28-2017,680,2,5175,0
02-28-2017,690,1,5074,1
02-28-2017,690,2,4823,0
02-28-2017,700,1,4248,1
02-28-2017,700,2,3763,1
02-28-2017,710,1,3919,2
02-28-2017,710,2,3347,0
02-28-2017,720,1,3519,2
02-28-2017,720,2,2955,0
02-28-2017,730,1,3351,0
02-28-2017,730,2,2663,0
02-28-2017,740,1,3314,0
02-28-2017,740,2,2554,0
02-28-2017,750,1,2798,0
02-28-2017,750,2,1999,0
02-28-2017,760,1,2745,0
02-28-2017,760,2,1831,0
02-28-2017,770,1,2818,0
02-28-2017,770,2,1708,0
02-28-2017,780,1,3221,0
02-28-2017,780,2,1784,0
02-28-2017,790,1,3110,0
02-28-2017,790,2,1654,0
02-28-2017,800,1,3544,0
02-28-2017,800,2,1851,0
02-28-2017,810,1,4350,0
02-28-2017,810,2,2008,0
02-28-2017,820,1,4503,0
02-28-2017,820,2,1924,0
02-28-2017,830,1,3644,0
02-28-2017,830,2,1505,0
02-28-2017,840,1,1686,0
02-28-2017,840,2,718,0
02-28-2017,850,1,1096,0
02-28-2017,850,2,452,0
02-28-2017,860,1,488,0
02-28-2017,860,2,208,0
02-28-2017,870,1,362,0
02-28-2017,870,2,127,0
02-28-2017,880,1,76,0
02-28-2017,880,2,21,0
02-28-2017,890,1,10,0
02-28-2017,890,2,7,0
03-31-2017,620,1,99,0
03-31-2017,620,2,29,0
03-31-2017,630,1,89,0
03-31-2017,630,2,29,0
03-31-2017,640,1,124,0
03-31-2017,640,2,41,0
03-31-2017,650,1,144,0
03-31-2017,650,2,38,0
03-31-2017,660,1,4876,2
03-31-2017,660,2,5537,6
03-31-2017,670,1,5524,0
03-31-2017,670,2,5521,1
03-31-2017,680,1,5299,1
03-31-2017,680,2,5175,4
03-31-2017,690,1,5074,1
03-31-2017,690,2,4823,3
03-31-2017,700,1,4248,4
03-31-2017,700,2,3763,3
03-31-2017,710,1,3919,3
03-31-2017,710,2,3347,0
03-31-2017,720,1,3519,2
03-31-2017,720,2,2955,2
03-31-2017,730,1,3351,0
03-31-2017,730,2,2663,2
03-31-2017,740,1,3314,0
03-31-2017,740,2,2554,0
03-31-2017,750,1,2798,0
03-31-2017,750,2,1999,0
03-31-2017,760,1,2745,0
03-31-2017,760,2,1831,0
03-31-2017,770,1,2818,0
03-31-2017,770,2,1708,0
03-31-2017,780,1,3221,1
03-31-2017,780,2,1784,0
03-31-2017,790,1,3109,0
03-31-2017,790,2,1654,0
03-31-2017,800,1,3544,1
03-31-2017,800,2,1851,1
03-31-2017,810,1,4350,1
03-31-2017,810,2,2008,0
03-31-2017,820,1,4503,1
03-31-2017,820,2,1924,1
03-31-2017,830,1,3644,1
03-31-2017,830,2,1505,0
03-31-2017,840,1,1686,0
03-31-2017,840,2,718,0
03-31-2017,850,1,1096,0
03-31-2017,850,2,452,0
03-31-2017,860,1,488,0
03-31-2017,860,2,208,0
03-31-2017,870,1,362,0
03-31-2017,870,2,127,0
03-31-2017,880,1,76,0
03-31-2017,880,2,21,0
03-31-2017,890,1,10,0
03-31-2017,890,2,7,0
04-30-2017,620,1,132,0
04-30-2017,620,2,41,0
04-30-2017,630,1,133,0
04-30-2017,630,2,41,0
04-30-2017,640,1,175,0
04-30-2017,640,2,63,0
04-30-2017,650,1,198,0
04-30-2017,650,2,62,0
04-30-2017,660,1,7703,3
04-30-2017,660,2,8605,4
04-30-2017,670,1,8283,5
04-30-2017,670,2,8537,3
04-30-2017,680,1,8049,3
04-30-2017,680,2,7950,7
04-30-2017,690,1,7397,3
04-30-2017,690,2,7061,2
04-30-2017,700,1,6167,5
04-30-2017,700,2,5722,2
04-30-2017,710,1,5697,2
04-30-2017,710,2,5047,1
04-30-2017,720,1,5234,2
04-30-2017,720,2,4421,0
04-30-2017,730,1,4834,0
04-30-2017,730,2,3884,1
04-30-2017,740,1,4865,1
04-30-2017,740,2,3719,1
04-30-2017,750,1,4233,3
04-30-2017,750,2,2961,0
04-30-2017,760,1,4002,0
04-30-2017,760,2,2653,0
04-30-2017,770,1,4212,1
04-30-2017,770,2,2445,0
04-30-2017,780,1,4850,1
04-30-2017,780,2,2622,0
04-30-2017,790,1,4751,0
04-30-2017,790,2,2453,0
04-30-2017,800,1,5359,0
04-30-2017,800,2,2638,0
04-30-2017,810,1,6559,0
04-30-2017,810,2,2940,0
04-30-2017,820,1,6730,0
04-30-2017,820,2,2758,0
04-30-2017,830,1,5352,0
04-30-2017,830,2,2159,2
04-30-2017,840,1,2506,0
04-30-2017,840,2,1037,0
04-30-2017,850,1,1642,0
04-30-2017,850,2,639,0
04-30-2017,860,1,728,0
04-30-2017,860,2,303,0
04-30-2017,870,1,557,1
04-30-2017,870,2,188,0
04-30-2017,880,1,109,0
04-30-2017,880,2,37,0
04-30-2017,890,1,17,0
04-30-2017,890,2,9,0
05-31-2017,620,1,132,0
05-31-2017,620,2,41,0
05-31-2017,630,1,133,0
05-31-2017,630,2,41,0
05-31-2017,640,1,175,0
05-31-2017,640,2,63,0
05-31-2017,650,1,198,0
05-31-2017,650,2,62,0
05-31-2017,660,1,7703,1
05-31-2017,660,2,8605,3
05-31-2017,670,1,8283,4
05-31-2017,670,2,8537,6
05-31-2017,680,1,8048,10
05-31-2017,680,2,7949,8
05-31-2017,690,1,7397,8
05-31-2017,690,2,7060,9
05-31-2017,700,1,6164,4
05-31-2017,700,2,5722,5
05-31-2017,710,1,5697,2
05-31-2017,710,2,5046,3
05-31-2017,720,1,5234,2
05-31-2017,720,2,4420,0
05-31-2017,730,1,4834,1
05-31-2017,730,2,3884,1
05-31-2017,740,1,4865,2
05-31-2017,740,2,3719,0
05-31-2017,750,1,4233,0
05-31-2017,750,2,2961,0
05-31-2017,760,1,4002,0
05-31-2017,760,2,2653,2
05-31-2017,770,1,4212,0
05-31-2017,770,2,2445,0
05-31-2017,780,1,4849,2
05-31-2017,780,2,2622,1
05-31-2017,790,1,4751,1
05-31-2017,790,2,2453,1
05-31-2017,800,1,5359,1
05-31-2017,800,2,2638,0
05-31-2017,810,1,6559,0
05-31-2017,810,2,2940,0
05-31-2017,820,1,6730,0
05-31-2017,820,2,2758,0
05-31-2017,830,1,5352,0
05-31-2017,830,2,2159,1
05-31-2017,840,1,2506,0
05-31-2017,840,2,1037,0
05-31-2017,850,1,1642,0
05-31-2017,850,2,639,0
05-31-2017,860,1,728,0
05-31-2017,860,2,303,0
05-31-2017,870,1,557,0
05-31-2017,870,2,188,0
05-31-2017,880,1,109,0
05-31-2017,880,2,37,0
05-31-2017,890,1,17,0
05-31-2017,890,2,9,0
06-30-2017,620,1,132,0
06-30-2017,620,2,41,0
06-30-2017,630,1,133,0
06-30-2017,630,2,41,0
06-30-2017,640,1,175,0
06-30-2017,640,2,63,0
06-30-2017,650,1,198,0
06-30-2017,650,2,62,0
06-30-2017,660,1,7701,13
06-30-2017,660,2,8605,9
06-30-2017,670,1,8282,4
06-30-2017,670,2,8536,7
06-30-2017,680,1,8048,6
06-30-2017,680,2,7949,6
06-30-2017,690,1,7396,8
06-30-2017,690,2,7059,5
06-30-2017,700,1,6164,5
06-30-2017,700,2,5722,4
06-30-2017,710,1,5696,3
06-30-2017,710,2,5046,3
06-30-2017,720,1,5232,3
06-30-2017,720,2,4420,2
06-30-2017,730,1,4833,1
06-30-2017,730,2,3883,0
06-30-2017,740,1,4865,1
06-30-2017,740,2,3719,2
06-30-2017,750,1,4233,0
06-30-2017,750,2,2961,1
06-30-2017,760,1,4001,1
06-30-2017,760,2,2653,2
06-30-2017,770,1,4212,5
06-30-2017,770,2,2445,2
06-30-2017,780,1,4849,0
06-30-2017,780,2,2622,2
06-30-2017,790,1,4751,1
06-30-2017,790,2,2452,1
06-30-2017,800,1,5359,5
06-30-2017,800,2,2638,0
06-30-2017,810,1,6559,0
06-30-2017,810,2,2939,0
06-30-2017,820,1,6730,0
06-30-2017,820,2,2758,0
06-30-2017,830,1,5352,0
06-30-2017,830,2,2159,0
06-30-2017,840,1,2506,0
06-30-2017,840,2,1037,0
06-30-2017,850,1,1642,0
06-30-2017,850,2,639,0
06-30-2017,860,1,728,0
06-30-2017,860,2,303,0
06-30-2017,870,1,557,0
06-30-2017,870,2,188,0
06-30-2017,880,1,109,0
06-30-2017,880,2,37,0
06-30-2017,890,1,17,0
06-30-2017,890,2,9,0
07-31-2017,600,2,1,0
07-31-2017,620,1,176,0
07-31-2017,620,2,53,0
07-31-2017,630,1,176,0
07-31-2017,630,2,55,0
07-31-2017,640,1,242,0
07-31-2017,640,2,81,0
07-31-2017,650,1,269,0
07-31-2017,650,2,76,0
07-31-2017,660,1,10547,12
07-31-2017,660,2,11852,15
07-31-2017,670,1,11027,5
07-31-2017,670,2,11712,4
07-31-2017,680,1,10493,6
07-31-2017,680,2,10791,8
07-31-2017,690,1,9579,7
07-31-2017,690,2,9453,9
07-31-2017,700,1,8450,6
07-31-2017,700,2,7961,4
07-31-2017,710,1,7722,9
07-31-2017,710,2,6917,3
07-31-2017,720,1,7078,5
