reporting_date,fico_low,new_used,active_loans,new_repos
09-30-2023,350,2,1,0
09-30-2023,360,2,6,0
09-30-2023,370,2,8,0
09-30-2023,380,2,35,0
09-30-2023,390,2,57,0
09-30-2023,400,2,102,0
09-30-2023,410,2,178,0
09-30-2023,420,2,311,0
09-30-2023,430,2,419,0
09-30-2023,440,1,1,0
09-30-2023,440,2,565,0
09-30-2023,450,2,703,0
09-30-2023,460,2,905,0
09-30-2023,470,2,1129,0
09-30-2023,480,1,1,0
09-30-2023,480,2,1185,0
09-30-2023,490,1,2,0
09-30-2023,490,2,1264,0
09-30-2023,500,2,1386,0
09-30-2023,510,1,3,0
09-30-2023,510,2,1444,0
09-30-2023,520,1,1,0
09-30-2023,520,2,1441,0
09-30-2023,530,1,3,0
09-30-2023,530,2,1463,0
09-30-2023,540,1,3,0
09-30-2023,540,2,1377,0
09-30-2023,550,1,1,0
09-30-2023,550,2,1538,0
09-30-2023,560,1,2,0
09-30-2023,560,2,1250,0
09-30-2023,570,1,3,0
09-30-2023,570,2,1243,0
09-30-2023,580,1,4,0
09-30-2023,580,2,1165,0
09-30-2023,590,1,4,0
09-30-2023,590,2,1042,0
09-30-2023,600,1,4,0
09-30-2023,600,2,1019,0
09-30-2023,610,1,1,0
09-30-2023,610,2,907,0
09-30-2023,620,1,3,0
09-30-2023,620,2,817,0
09-30-2023,630,2,706,0
09-30-2023,640,1,2,0
09-30-2023,640,2,659,0
09-30-2023,650,2,499,0
09-30-2023,660,1,3,0
09-30-2023,660,2,399,0
09-30-2023,670,2,349,0
09-30-2023,680,2,338,0
09-30-2023,690,1,1,0
09-30-2023,690,2,279,0
09-30-2023,700,2,258,0
09-30-2023,710,2,161,0
09-30-2023,720,2,144,0
09-30-2023,730,2,123,0
09-30-2023,740,2,125,0
09-30-2023,750,2,94,0
09-30-2023,760,2,75,0
09-30-2023,770,2,84,0
09-30-2023,780,2,73,0
09-30-2023,790,1,1,0
09-30-2023,790,2,45,0
09-30-2023,800,2,33,0
09-30-2023,810,2,26,0
09-30-2023,820,2,24,0
09-30-2023,830,2,27,0
09-30-2023,840,2,16,0
09-30-2023,850,2,10,0
09-30-2023,860,2,4,0
09-30-2023,870,2,4,0
09-30-2023,880,2,1,0
10-31-2023,350,2,1,0
10-31-2023,360,2,6,0
10-31-2023,370,2,8,0
10-31-2023,380,2,35,0
10-31-2023,390,2,57,0
10-31-2023,400,2,102,0
10-31-2023,410,2,178,0
10-31-2023,420,2,311,0
10-31-2023,430,2,419,0
10-31-2023,440,1,1,0
10-31-2023,440,2,565,1
10-31-2023,450,2,703,0
10-31-2023,460,2,905,0
10-31-2023,470,2,1129,0
10-31-2023,480,1,1,0
10-31-2023,480,2,1185,0
10-31-2023,490,1,2,0
10-31-2023,490,2,1264,0
10-31-2023,500,2,1386,0
10-31-2023,510,1,3,0
10-31-2023,510,2,1444,1
10-31-2023,520,1,1,0
10-31-2023,520,2,1441,0
10-31-2023,530,1,3,0
10-31-2023,530,2,1463,0
10-31-2023,540,1,3,0
10-31-2023,540,2,1377,0
10-31-2023,550,1,1,0
10-31-2023,550,2,1538,0
10-31-2023,560,1,2,0
10-31-2023,560,2,1250,0
10-31-2023,570,1,3,0
10-31-2023,570,2,1243,0
10-31-2023,580,1,4,0
10-31-2023,580,2,1165,0
10-31-2023,590,1,4,0
10-31-2023,590,2,1042,0
10-31-2023,600,1,4,0
10-31-2023,600,2,1019,1
10-31-2023,610,1,1,0
10-31-2023,610,2,907,1
10-31-2023,620,1,3,0
10-31-2023,620,2,817,0
10-31-2023,630,2,706,0
10-31-2023,640,1,2,0
10-31-2023,640,2,659,0
10-31-2023,650,2,499,0
10-31-2023,660,1,3,0
10-31-2023,660,2,399,1
10-31-2023,670,2,349,0
10-31-2023,680,2,338,0
10-31-2023,690,1,1,0
10-31-2023,690,2,279,0
10-31-2023,700,2,258,0
10-31-2023,710,2,161,0
10-31-2023,720,2,144,0
10-31-2023,730,2,123,0
10-31-2023,740,2,125,0
10-31-2023,750,2,94,0
10-31-2023,760,2,75,0
10-31-2023,770,2,84,0
10-31-2023,780,2,73,0
10-31-2023,790,1,1,0
10-31-2023,790,2,45,0
10-31-2023,800,2,33,0
10-31-2023,810,2,26,0
10-31-2023,820,2,24,0
10-31-2023,830,2,27,0
10-31-2023,840,2,16,0
10-31-2023,850,2,10,0
10-31-2023,860,2,4,0
10-31-2023,870,2,4,0
10-31-2023,880,2,1,0
11-30-2023,350,2,1,0
11-30-2023,360,2,6,0
11-30-2023,370,2,8,0
11-30-2023,380,2,35,0
11-30-2023,390,2,57,0
11-30-2023,400,2,102,0
11-30-2023,410,2,178,0
11-30-2023,420,2,311,1
11-30-2023,430,2,419,0
11-30-2023,440,1,1,0
11-30-2023,440,2,565,0
11-30-2023,450,2,703,0
11-30-2023,460,2,905,0
11-30-2023,470,2,1129,1
11-30-2023,480,1,1,0
11-30-2023,480,2,1185,0
11-30-2023,490,1,2,0
11-30-2023,490,2,1264,2
11-30-2023,500,2,1386,2
11-30-2023,510,1,3,0
11-30-2023,510,2,1444,0
11-30-2023,520,1,1,0
11-30-2023,520,2,1441,0
11-30-2023,530,1,3,0
11-30-2023,530,2,1463,3
11-30-2023,540,1,3,0
11-30-2023,540,2,1377,0
11-30-2023,550,1,1,0
11-30-2023,550,2,1538,3
11-30-2023,560,1,2,0
11-30-2023,560,2,1250,2
11-30-2023,570,1,3,0
11-30-2023,570,2,1243,0
11-30-2023,580,1,4,0
11-30-2023,580,2,1165,1
11-30-2023,590,1,4,0
11-30-2023,590,2,1042,1
11-30-2023,600,1,4,0
11-30-2023,600,2,1019,0
11-30-2023,610,1,1,0
11-30-2023,610,2,907,2
11-30-2023,620,1,3,0
11-30-2023,620,2,817,1
11-30-2023,630,2,706,0
11-30-2023,640,1,2,0
11-30-2023,640,2,659,0
11-30-2023,650,2,499,0
11-30-2023,660,1,3,0
11-30-2023,660,2,399,1
11-30-2023,670,2,349,1
11-30-2023,680,2,338,2
11-30-2023,690,1,1,0
11-30-2023,690,2,279,0
11-30-2023,700,2,258,0
11-30-2023,710,2,161,0
11-30-2023,720,2,144,0
11-30-2023,730,2,123,0
11-30-2023,740,2,125,0
11-30-2023,750,2,94,0
11-30-2023,760,2,75,0
11-30-2023,770,2,84,0
11-30-2023,780,2,73,0
11-30-2023,790,1,1,0
11-30-2023,790,2,45,0
11-30-2023,800,2,33,0
11-30-2023,810,2,26,0
11-30-2023,820,2,24,0
11-30-2023,830,2,27,0
11-30-2023,840,2,16,0
11-30-2023,850,2,10,0
11-30-2023,860,2,4,0
11-30-2023,870,2,4,0
11-30-2023,880,2,1,0
12-31-2023,350,2,3,0
12-31-2023,360,2,11,0
12-31-2023,370,2,18,0
12-31-2023,380,2,62,0
12-31-2023,390,2,107,0
12-31-2023,400,2,190,0
12-31-2023,410,2,354,0
12-31-2023,420,2,620,1
12-31-2023,430,2,843,0
12-31-2023,440,1,1,0
12-31-2023,440,2,1134,1
12-31-2023,450,2,1460,3
12-31-2023,460,1,1,0
12-31-2023,460,2,1823,2
12-31-2023,470,2,2274,2
12-31-2023,480,1,1,0
12-31-2023,480,2,2447,4
12-31-2023,490,1,2,0
12-31-2023,490,2,2638,5
12-31-2023,500,1,2,0
12-31-2023,500,2,2824,1
12-31-2023,510,1,4,0
12-31-2023,510,2,3121,0
12-31-2023,520,1,2,0
12-31-2023,520,2,2905,3
12-31-2023,530,1,4,0
12-31-2023,530,2,3012,3
12-31-2023,540,1,3,0
12-31-2023,540,2,2871,3
12-31-2023,550,1,3,0
12-31-2023,550,2,3110,5
12-31-2023,560,1,3,0
12-31-2023,560,2,2648,6
12-31-2023,570,1,5,0
12-31-2023,570,2,2535,2
12-31-2023,580,1,4,0
12-31-2023,580,2,2356,0
12-31-2023,590,1,6,0
12-31-2023,590,2,2108,2
12-31-2023,600,1,6,0
12-31-2023,600,2,2058,3
12-31-2023,610,1,1,0
12-31-2023,610,2,1757,1
12-31-2023,620,1,5,0
12-31-2023,620,2,1594,0
12-31-2023,630,2,1368,3
12-31-2023,640,1,2,0
12-31-2023,640,2,1230,1
12-31-2023,650,1,1,0
12-31-2023,650,2,962,1
12-31-2023,660,1,4,0
12-31-2023,660,2,785,1
12-31-2023,670,2,659,0
12-31-2023,680,1,1,0
12-31-2023,680,2,603,1
12-31-2023,690,1,1,0
12-31-2023,690,2,517,1
12-31-2023,700,2,459,1
12-31-2023,710,2,334,0
12-31-2023,720,2,279,0
12-31-2023,730,2,236,0
12-31-2023,740,2,208,1
12-31-2023,750,2,168,0
12-31-2023,760,2,137,0
12-31-2023,770,1,1,0
12-31-2023,770,2,136,0
12-31-2023,780,2,129,0
12-31-2023,790,1,1,0
12-31-2023,790,2,78,0
12-31-2023,800,2,56,0
12-31-2023,810,2,39,0
12-31-2023,820,2,46,0
12-31-2023,830,2,47,0
12-31-2023,840,2,29,0
12-31-2023,850,2,18,0
12-31-2023,860,2,10,0
12-31-2023,870,2,6,0
12-31-2023,880,2,2,0
01-31-2024,350,2,3,0
01-31-2024,360,2,11,0
01-31-2024,370,2,18,0
01-31-2024,380,2,62,0
01-31-2024,390,2,107,0
01-31-2024,400,2,190,0
01-31-2024,410,2,354,0
01-31-2024,420,2,620,0
01-31-2024,430,2,843,0
01-31-2024,440,1,1,0
01-31-2024,440,2,1134,2
01-31-2024,450,2,1460,1
01-31-2024,460,1,1,0
01-31-2024,460,2,1823,3
01-31-2024,470,2,2274,1
01-31-2024,480,1,1,0
01-31-2024,480,2,2447,4
01-31-2024,490,1,2,0
01-31-2024,490,2,2638,5
01-31-2024,500,1,2,0
01-31-2024,500,2,2824,6
01-31-2024,510,1,4,0
01-31-2024,510,2,3121,9
01-31-2024,520,1,2,0
01-31-2024,520,2,2905,6
01-31-2024,530,1,4,0
01-31-2024,530,2,3012,7
01-31-2024,540,1,3,0
01-31-2024,540,2,2871,4
01-31-2024,550,1,3,0
01-31-2024,550,2,3110,7
01-31-2024,560,1,3,0
01-31-2024,560,2,2648,4
01-31-2024,570,1,5,0
01-31-2024,570,2,2535,4
01-31-2024,580,1,4,0
01-31-2024,580,2,2356,4
01-31-2024,590,1,6,0
01-31-2024,590,2,2108,4
01-31-2024,600,1,6,0
01-31-2024,600,2,2058,3
01-31-2024,610,1,1,0
01-31-2024,610,2,1757,3
01-31-2024,620,1,5,0
01-31-2024,620,2,1594,3
01-31-2024,630,2,1368,2
01-31-2024,640,1,2,0
01-31-2024,640,2,1230,1
01-31-2024,650,1,1,0
01-31-2024,650,2,962,3
01-31-2024,660,1,4,0
01-31-2024,660,2,785,0
01-31-2024,670,2,659,1
01-31-2024,680,1,1,0
01-31-2024,680,2,603,2
01-31-2024,690,1,1,0
01-31-2024,690,2,517,0
01-31-2024,700,2,459,0
01-31-2024,710,2,334,1
01-31-2024,720,2,279,0
01-31-2024,730,2,236,1
01-31-2024,740,2,208,1
01-31-2024,750,2,168,0
01-31-2024,760,2,137,0
01-31-2024,770,1,1,0
01-31-2024,770,2,136,0
01-31-2024,780,2,129,1
01-31-2024,790,1,1,0
01-31-2024,790,2,78,0
01-31-2024,800,2,56,0
01-31-2024,810,2,39,0
01-31-2024,820,2,46,0
01-31-2024,830,2,47,0
01-31-2024,840,2,29,0
01-31-2024,850,2,18,0
01-31-2024,860,2,10,0
01-31-2024,870,2,6,0
01-31-2024,880,2,2,0
02-29-2024,350,2,3,0
02-29-2024,360,2,11,0
02-29-2024,370,2,18,0
02-29-2024,380,2,62,0
02-29-2024,390,2,107,1
02-29-2024,400,2,190,0
02-29-2024,410,2,354,0
02-29-2024,420,2,620,4
02-29-2024,430,2,843,4
02-29-2024,440,1,1,0
02-29-2024,440,2,1134,2
02-29-2024,450,2,1460,5
02-29-2024,460,1,1,0
02-29-2024,460,2,1823,8
02-29-2024,470,2,2274,4
02-29-2024,480,1,1,0
02-29-2024,480,2,2447,13
02-29-2024,490,1,2,0
02-29-2024,490,2,2638,11
02-29-2024,500,1,2,0
02-29-2024,500,2,2824,11
02-29-2024,510,1,4,0
02-29-2024,510,2,3121,6
02-29-2024,520,1,2,0
02-29-2024,520,2,2905,11
02-29-2024,530,1,4,0
02-29-2024,530,2,3012,17
02-29-2024,540,1,3,0
02-29-2024,540,2,2871,11
