reporting_date,fico_low,new_used,active_loans,new_repos
11-30-2017,600,1,70,0
11-30-2017,600,2,128,0
11-30-2017,610,1,98,0
11-30-2017,610,2,174,0
11-30-2017,620,1,103,0
11-30-2017,620,2,158,0
11-30-2017,630,1,117,0
11-30-2017,630,2,130,0
11-30-2017,640,1,233,0
11-30-2017,640,2,398,0
11-30-2017,650,1,280,0
11-30-2017,650,2,351,0
11-30-2017,660,1,327,0
11-30-2017,660,2,304,0
11-30-2017,670,1,628,0
11-30-2017,670,2,635,0
11-30-2017,680,1,797,0
11-30-2017,680,2,838,0
11-30-2017,690,1,813,0
11-30-2017,690,2,756,0
11-30-2017,700,1,1204,1
11-30-2017,700,2,1162,0
11-30-2017,710,1,1207,0
11-30-2017,710,2,1084,0
11-30-2017,720,1,1163,0
11-30-2017,720,2,1017,0
11-30-2017,730,1,1205,0
11-30-2017,730,2,1056,0
11-30-2017,740,1,1325,0
11-30-2017,740,2,1151,0
11-30-2017,750,1,1338,0
11-30-2017,750,2,1108,0
11-30-2017,760,1,1360,0
11-30-2017,760,2,1079,0
11-30-2017,770,1,1422,0
11-30-2017,770,2,973,0
11-30-2017,780,1,1460,0
11-30-2017,780,2,1057,0
11-30-2017,790,1,1535,0
11-30-2017,790,2,1074,0
11-30-2017,800,1,1617,0
11-30-2017,800,2,1123,0
11-30-2017,810,1,1860,0
11-30-2017,810,2,1173,0
11-30-2017,820,1,1877,0
11-30-2017,820,2,1179,0
11-30-2017,830,1,1921,0
11-30-2017,830,2,1229,0
11-30-2017,840,1,1893,0
11-30-2017,840,2,1202,0
11-30-2017,850,1,1916,0
11-30-2017,850,2,1237,0
11-30-2017,860,1,1598,0
11-30-2017,860,2,967,0
11-30-2017,870,1,1212,0
11-30-2017,870,2,726,0
11-30-2017,880,1,747,0
11-30-2017,880,2,444,0
11-30-2017,890,1,300,0
11-30-2017,890,2,170,0
01-31-2018,600,1,65,0
01-31-2018,600,2,129,0
01-31-2018,610,1,95,0
01-31-2018,610,2,162,0
01-31-2018,620,1,91,0
01-31-2018,620,2,148,0
01-31-2018,630,1,109,0
01-31-2018,630,2,118,0
01-31-2018,640,1,219,0
01-31-2018,640,2,379,0
01-31-2018,650,1,260,0
01-31-2018,650,2,338,0
01-31-2018,660,1,312,1
01-31-2018,660,2,282,0
01-31-2018,670,1,587,0
01-31-2018,670,2,609,0
01-31-2018,680,1,761,0
01-31-2018,680,2,808,1
01-31-2018,690,1,768,0
01-31-2018,690,2,734,0
01-31-2018,700,1,1128,1
01-31-2018,700,2,1129,0
01-31-2018,710,1,1144,2
01-31-2018,710,2,1048,0
01-31-2018,720,1,1111,0
01-31-2018,720,2,998,0
01-31-2018,730,1,1143,0
01-31-2018,730,2,1019,0
01-31-2018,740,1,1261,1
01-31-2018,740,2,1103,0
01-31-2018,750,1,1288,0
01-31-2018,750,2,1075,0
01-31-2018,760,1,1283,1
01-31-2018,760,2,1037,0
01-31-2018,770,1,1379,0
01-31-2018,770,2,940,0
01-31-2018,780,1,1391,0
01-31-2018,780,2,1026,0
01-31-2018,790,1,1448,0
01-31-2018,790,2,1038,0
01-31-2018,800,1,1540,0
01-31-2018,800,2,1079,0
01-31-2018,810,1,1766,0
01-31-2018,810,2,1141,0
01-31-2018,820,1,1823,0
01-31-2018,820,2,1148,0
01-31-2018,830,1,1842,0
01-31-2018,830,2,1191,0
01-31-2018,840,1,1833,0
01-31-2018,840,2,1165,0
01-31-2018,850,1,1837,1
01-31-2018,850,2,1223,0
01-31-2018,860,1,1518,0
01-31-2018,860,2,943,0
01-31-2018,870,1,1143,0
01-31-2018,870,2,697,0
01-31-2018,880,1,715,0
01-31-2018,880,2,426,0
01-31-2018,890,1,288,0
01-31-2018,890,2,168,0
02-28-2018,600,1,65,0
02-28-2018,600,2,129,0
02-28-2018,610,1,95,0
02-28-2018,610,2,162,0
02-28-2018,620,1,91,0
02-28-2018,620,2,148,0
02-28-2018,630,1,109,0
02-28-2018,630,2,118,0
02-28-2018,640,1,219,0
02-28-2018,640,2,379,0
02-28-2018,650,1,260,0
02-28-2018,650,2,338,0
02-28-2018,660,1,312,1
02-28-2018,660,2,282,0
02-28-2018,670,1,587,0
02-28-2018,670,2,609,1
02-28-2018,680,1,761,0
02-28-2018,680,2,808,0
02-28-2018,690,1,767,0
02-28-2018,690,2,734,0
02-28-2018,700,1,1128,0
02-28-2018,700,2,1129,0
02-28-2018,710,1,1145,0
02-28-2018,710,2,1047,1
02-28-2018,720,1,1111,0
02-28-2018,720,2,998,0
02-28-2018,730,1,1143,0
02-28-2018,730,2,1019,0
02-28-2018,740,1,1261,0
02-28-2018,740,2,1103,0
02-28-2018,750,1,1288,0
02-28-2018,750,2,1075,0
02-28-2018,760,1,1283,0
02-28-2018,760,2,1037,0
02-28-2018,770,1,1379,0
02-28-2018,770,2,940,0
