reporting_date,fico_low,new_used,active_loans,new_repos
12-31-2016,450,2,1,0
12-31-2016,460,2,2,0
12-31-2016,470,2,2,0
12-31-2016,480,2,7,0
12-31-2016,490,2,14,0
12-31-2016,500,2,132,0
12-31-2016,510,2,164,0
12-31-2016,520,1,1,0
12-31-2016,520,2,245,0
12-31-2016,530,1,1,0
12-31-2016,530,2,341,0
12-31-2016,540,1,2,0
12-31-2016,540,2,524,0
12-31-2016,550,1,3,0
12-31-2016,550,2,624,0
12-31-2016,560,1,3,0
12-31-2016,560,2,831,0
12-31-2016,570,1,5,0
12-31-2016,570,2,1150,0
12-31-2016,580,1,4,0
12-31-2016,580,2,1413,0
12-31-2016,590,1,5,0
12-31-2016,590,2,1882,0
12-31-2016,600,1,7,0
12-31-2016,600,2,2605,0
12-31-2016,610,1,10,0
12-31-2016,610,2,2928,0
12-31-2016,620,1,13,0
12-31-2016,620,2,3333,0
12-31-2016,630,1,16,0
12-31-2016,630,2,3314,0
12-31-2016,640,1,14,0
12-31-2016,640,2,3510,0
12-31-2016,650,1,12,0
12-31-2016,650,2,3760,0
12-31-2016,660,1,15,0
12-31-2016,660,2,3521,0
12-31-2016,670,1,11,0
12-31-2016,670,2,3693,0
12-31-2016,680,1,5,0
12-31-2016,680,2,3564,0
12-31-2016,690,1,11,0
12-31-2016,690,2,3508,0
12-31-2016,700,1,8,0
12-31-2016,700,2,3305,0
12-31-2016,710,1,6,0
12-31-2016,710,2,3116,0
12-31-2016,720,1,4,0
12-31-2016,720,2,3038,0
12-31-2016,730,1,8,0
12-31-2016,730,2,2827,0
12-31-2016,740,1,1,0
12-31-2016,740,2,2579,0
12-31-2016,750,1,5,0
12-31-2016,750,2,2609,0
12-31-2016,760,1,10,0
12-31-2016,760,2,2412,0
12-31-2016,770,1,13,0
12-31-2016,770,2,2369,0
12-31-2016,780,1,8,0
12-31-2016,780,2,2380,0
12-31-2016,790,1,7,0
12-31-2016,790,2,2256,0
12-31-2016,800,1,14,0
12-31-2016,800,2,2323,0
12-31-2016,810,1,11,0
12-31-2016,810,2,2085,0
12-31-2016,820,1,12,0
12-31-2016,820,2,2116,0
12-31-2016,830,1,14,0
12-31-2016,830,2,1864,0
12-31-2016,840,1,14,0
12-31-2016,840,2,1620,0
12-31-2016,850,1,11,0
12-31-2016,850,2,1426,0
12-31-2016,860,1,15,0
12-31-2016,860,2,965,0
12-31-2016,870,1,6,0
12-31-2016,870,2,564,0
12-31-2016,880,1,4,0
12-31-2016,880,2,157,0
12-31-2016,890,1,1,0
12-31-2016,890,2,34,0
01-31-2017,450,2,1,0
01-31-2017,460,2,2,0
01-31-2017,470,2,2,0
01-31-2017,480,2,7,0
01-31-2017,490,2,14,0
01-31-2017,500,2,132,0
01-31-2017,510,2,164,0
01-31-2017,520,1,1,0
01-31-2017,520,2,245,0
01-31-2017,530,1,1,0
01-31-2017,530,2,341,0
01-31-2017,540,1,2,0
01-31-2017,540,2,524,0
01-31-2017,550,1,3,0
01-31-2017,550,2,624,0
01-31-2017,560,1,3,0
01-31-2017,560,2,831,0
01-31-2017,570,1,5,0
01-31-2017,570,2,1150,0
01-31-2017,580,1,4,0
01-31-2017,580,2,1413,0
01-31-2017,590,1,5,0
01-31-2017,590,2,1882,2
01-31-2017,600,1,7,0
01-31-2017,600,2,2605,2
01-31-2017,610,1,10,0
01-31-2017,610,2,2928,1
01-31-2017,620,1,13,0
