reporting_date,fico_low,new_used,active_loans,new_repos
05-31-2024,360,2,2,0
05-31-2024,380,2,3,0
05-31-2024,390,2,3,0
05-31-2024,400,2,10,0
05-31-2024,410,2,12,0
05-31-2024,420,2,22,0
05-31-2024,430,2,30,0
05-31-2024,440,2,39,0
05-31-2024,450,2,37,0
05-31-2024,460,2,72,0
05-31-2024,470,2,90,0
05-31-2024,480,2,129,0
05-31-2024,490,2,155,0
05-31-2024,500,2,171,1
05-31-2024,510,2,276,0
05-31-2024,520,2,345,0
05-31-2024,530,2,954,0
05-31-2024,540,2,1104,0
05-31-2024,550,2,1367,0
05-31-2024,560,2,1500,0
05-31-2024,570,1,1,0
05-31-2024,570,2,1809,0
05-31-2024,580,2,2043,0
05-31-2024,590,1,1,0
05-31-2024,590,2,2432,0
05-31-2024,600,1,1,0
05-31-2024,600,2,2864,1
05-31-2024,610,2,3065,0
05-31-2024,620,1,2,0
05-31-2024,620,2,3515,0
05-31-2024,630,1,1,0
05-31-2024,630,2,3734,0
05-31-2024,640,1,1,0
05-31-2024,640,2,3912,0
05-31-2024,650,2,263,0
05-31-2024,660,2,234,0
05-31-2024,670,2,203,0
05-31-2024,680,2,145,0
05-31-2024,690,2,148,0
05-31-2024,700,2,123,0
05-31-2024,710,2,90,0
05-31-2024,720,2,87,0
05-31-2024,730,2,62,0
05-31-2024,740,2,33,0
05-31-2024,750,2,32,0
05-31-2024,760,2,19,0
05-31-2024,770,2,12,0
05-31-2024,780,2,2,0
05-31-2024,790,2,4,0
05-31-2024,810,2,2,0
05-31-2024,860,2,1,0
06-30-2024,360,2,2,0
06-30-2024,380,2,3,1
06-30-2024,390,2,3,0
06-30-2024,400,2,10,0
06-30-2024,410,2,12,1
06-30-2024,420,2,22,0
06-30-2024,430,2,30,0
06-30-2024,440,2,39,0
06-30-2024,450,2,37,0
06-30-2024,460,2,72,0
06-30-2024,470,2,90,0
06-30-2024,480,2,129,1
06-30-2024,490,2,155,0
06-30-2024,500,2,171,0
06-30-2024,510,2,276,0
06-30-2024,520,2,345,0
06-30-2024,530,2,954,0
06-30-2024,540,2,1104,0
06-30-2024,550,2,1367,0
06-30-2024,560,2,1500,0
06-30-2024,570,1,1,0
06-30-2024,570,2,1809,0
06-30-2024,580,2,2043,2
06-30-2024,590,1,1,0
06-30-2024,590,2,2432,0
06-30-2024,600,1,1,0
