reporting_date,fico_low,new_used,active_loans,new_repos
04-30-2019,700,1,1018,0
04-30-2019,700,2,2366,0
04-30-2019,710,1,1105,0
04-30-2019,710,2,2650,0
04-30-2019,720,1,1157,0
04-30-2019,720,2,2598,0
04-30-2019,730,1,1280,0
04-30-2019,730,2,2617,0
04-30-2019,740,1,1309,0
04-30-2019,740,2,2579,0
04-30-2019,750,1,1426,0
04-30-2019,750,2,2583,0
04-30-2019,760,1,1684,0
04-30-2019,760,2,2817,0
04-30-2019,770,1,1720,0
04-30-2019,770,2,2757,0
04-30-2019,780,1,1811,0
04-30-2019,780,2,2736,0
04-30-2019,790,1,2048,0
04-30-2019,790,2,2810,0
04-30-2019,800,1,2281,0
04-30-2019,800,2,2858,0
04-30-2019,810,1,2659,0
04-30-2019,810,2,2892,0
04-30-2019,820,1,2722,0
04-30-2019,820,2,2697,0
04-30-2019,830,1,2420,0
04-30-2019,830,2,2151,0
04-30-2019,840,1,1425,0
04-30-2019,840,2,1230,0
04-30-2019,850,1,667,0
04-30-2019,850,2,535,0
04-30-2019,860,1,152,0
04-30-2019,860,2,95,0
04-30-2019,870,1,4,0
04-30-2019,870,2,6,0
04-30-2019,880,1,1,0
04-30-2019,880,2,1,0
05-31-2019,700,1,1018,0
05-31-2019,700,2,2366,0
05-31-2019,710,1,1105,0
05-31-2019,710,2,2650,0
05-31-2019,720,1,1157,1
05-31-2019,720,2,2598,0
05-31-2019,730,1,1280,0
05-31-2019,730,2,2617,0
05-31-2019,740,1,1309,0
05-31-2019,740,2,2579,0
05-31-2019,750,1,1426,0
05-31-2019,750,2,2583,0
05-31-2019,760,1,1684,1
05-31-2019,760,2,2817,0
05-31-2019,770,1,1720,0
05-31-2019,770,2,2757,0
05-31-2019,780,1,1811,0
05-31-2019,780,2,2736,0
05-31-2019,790,1,2048,0
05-31-2019,790,2,2810,1
05-31-2019,800,1,2281,1
05-31-2019,800,2,2858,0
05-31-2019,810,1,2659,0
05-31-2019,810,2,2892,0
05-31-2019,820,1,2722,0
05-31-2019,820,2,2697,0
05-31-2019,830,1,2420,0
05-31-2019,830,2,2151,0
05-31-2019,840,1,1425,0
05-31-2019,840,2,1230,0
05-31-2019,850,1,667,0
05-31-2019,850,2,535,0
05-31-2019,860,1,152,0
05-31-2019,860,2,95,0
05-31-2019,870,1,4,0
05-31-2019,870,2,6,0
05-31-2019,880,1,1,0
05-31-2019,880,2,1,0
06-30-2019,700,1,1018,0
06-30-2019,700,2,2366,0
06-30-2019,710,1,1105,0
06-30-2019,710,2,2650,0
06-30-2019,720,1,1157,0
06-30-2019,720,2,2598,0
06-30-2019,730,1,1280,0
06-30-2019,730,2,2617,0
06-30-2019,740,1,1309,0
06-30-2019,740,2,2579,0
06-30-2019,750,1,1426,1
06-30-2019,750,2,2583,0
06-30-2019,760,1,1684,0
06-30-2019,760,2,2817,0
06-30-2019,770,1,1720,0
06-30-2019,770,2,2757,0
06-30-2019,780,1,1811,0
06-30-2019,780,2,2736,0
06-30-2019,790,1,2048,0
06-30-2019,790,2,2810,0
06-30-2019,800,1,2281,0
06-30-2019,800,2,2858,0
06-30-2019,810,1,2659,0
06-30-2019,810,2,2892,0
06-30-2019,820,1,2722,0
06-30-2019,820,2,2697,0
06-30-2019,830,1,2420,0
06-30-2019,830,2,2151,1
06-30-2019,840,1,1425,0
06-30-2019,840,2,1230,0
06-30-2019,850,1,667,0
06-30-2019,850,2,535,0
06-30-2019,860,1,152,0
06-30-2019,860,2,95,0
06-30-2019,870,1,4,0
06-30-2019,870,2,6,0
06-30-2019,880,1,1,0
06-30-2019,880,2,1,0
07-31-2019,700,1,2036,0
07-31-2019,700,2,5203,0
07-31-2019,710,1,2205,0
07-31-2019,710,2,5731,0
07-31-2019,720,1,2377,0
07-31-2019,720,2,5857,0
07-31-2019,730,1,2540,0
07-31-2019,730,2,6014,1
07-31-2019,740,1,2734,0
07-31-2019,740,2,5744,1
07-31-2019,750,1,2877,0
07-31-2019,750,2,5687,1
07-31-2019,760,1,3317,0
07-31-2019,760,2,5894,0
07-31-2019,770,1,3518,0
07-31-2019,770,2,5997,0
07-31-2019,780,1,3644,0
07-31-2019,780,2,5850,0
07-31-2019,790,1,4164,0
07-31-2019,790,2,5947,0
07-31-2019,800,1,4593,0
07-31-2019,800,2,6013,0
07-31-2019,810,1,5273,0
07-31-2019,810,2,6139,0
07-31-2019,820,1,5414,0
07-31-2019,820,2,5693,0
07-31-2019,830,1,4735,0
07-31-2019,830,2,4581,0
07-31-2019,840,1,2813,0
07-31-2019,840,2,2607,0
07-31-2019,850,1,1269,0
07-31-2019,850,2,1110,0
07-31-2019,860,1,288,0
07-31-2019,860,2,197,0
07-31-2019,870,1,10,0
07-31-2019,870,2,8,0
07-31-2019,880,1,1,0
07-31-2019,880,2,1,0
08-31-2019,700,1,2027,1
08-31-2019,700,2,5186,0
08-31-2019,710,1,2199,0
08-31-2019,710,2,5715,0
08-31-2019,720,1,2369,0
08-31-2019,720,2,5844,0
08-31-2019,730,1,2534,0
08-31-2019,730,2,5992,2
08-31-2019,740,1,2728,0
08-31-2019,740,2,5729,0
08-31-2019,750,1,2868,0
08-31-2019,750,2,5674,0
08-31-2019,760,1,3299,0
08-31-2019,760,2,5871,0
08-31-2019,770,1,3499,1
08-31-2019,770,2,5969,0
08-31-2019,780,1,3632,0
08-31-2019,780,2,5831,0
08-31-2019,790,1,4145,0
08-31-2019,790,2,5917,1
08-31-2019,800,1,4569,0
08-31-2019,800,2,5990,0
08-31-2019,810,1,5237,0
08-31-2019,810,2,6121,0
08-31-2019,820,1,5392,0
08-31-2019,820,2,5668,0
08-31-2019,830,1,4714,0
08-31-2019,830,2,4567,0
08-31-2019,840,1,2805,0
08-31-2019,840,2,2602,0
08-31-2019,850,1,1262,0
08-31-2019,850,2,1103,0
08-31-2019,860,1,286,0
08-31-2019,860,2,196,0
08-31-2019,870,1,10,0
08-31-2019,870,2,8,0
08-31-2019,880,1,1,0
08-31-2019,880,2,1,0
09-30-2019,700,1,2013,0
09-30-2019,700,2,5161,1
09-30-2019,710,1,2186,0
09-30-2019,710,2,5676,1
09-30-2019,720,1,2357,0
09-30-2019,720,2,5816,0
09-30-2019,730,1,2523,0
09-30-2019,730,2,5954,2
09-30-2019,740,1,2716,0
09-30-2019,740,2,5696,1
09-30-2019,750,1,2859,0
09-30-2019,750,2,5648,1
09-30-2019,760,1,3280,0
09-30-2019,760,2,5839,1
09-30-2019,770,1,3478,0
09-30-2019,770,2,5942,2
09-30-2019,780,1,3607,1
09-30-2019,780,2,5792,0
09-30-2019,790,1,4120,0
09-30-2019,790,2,5888,1
09-30-2019,800,1,4545,0
09-30-2019,800,2,5944,0
09-30-2019,810,1,5202,0
09-30-2019,810,2,6084,0
09-30-2019,820,1,5351,0
09-30-2019,820,2,5639,0
09-30-2019,830,1,4690,0
09-30-2019,830,2,4531,0
09-30-2019,840,1,2794,0
09-30-2019,840,2,2588,0
09-30-2019,850,1,1255,0
09-30-2019,850,2,1098,0
09-30-2019,860,1,286,0
09-30-2019,860,2,194,0
09-30-2019,870,1,10,0
09-30-2019,870,2,8,0
09-30-2019,880,1,1,0
09-30-2019,880,2,1,0
10-31-2019,700,1,1999,0
10-31-2019,700,2,5124,1
10-31-2019,710,1,2171,1
10-31-2019,710,2,5643,0
10-31-2019,720,1,2335,0
10-31-2019,720,2,5770,2
10-31-2019,730,1,2507,0
10-31-2019,730,2,5918,2
10-31-2019,740,1,2700,0
10-31-2019,740,2,5656,0
10-31-2019,750,1,2834,0
10-31-2019,750,2,5605,0
10-31-2019,760,1,3256,0
10-31-2019,760,2,5793,1
10-31-2019,770,1,3466,0
10-31-2019,770,2,5903,0
10-31-2019,780,1,3582,0
10-31-2019,780,2,5747,1
