reporting_date,fico_low,new_used,active_loans,new_repos
02-28-2021,370,2,7,0
02-28-2021,380,2,9,0
02-28-2021,390,2,16,0
02-28-2021,400,2,25,0
02-28-2021,410,2,54,0
02-28-2021,420,2,121,0
02-28-2021,430,2,149,0
02-28-2021,440,2,227,0
02-28-2021,450,2,310,0
02-28-2021,460,2,441,0
02-28-2021,470,2,602,0
02-28-2021,480,2,636,0
02-28-2021,490,2,726,0
02-28-2021,500,2,845,0
02-28-2021,510,2,1004,0
02-28-2021,520,2,909,0
02-28-2021,530,2,939,0
02-28-2021,540,2,970,0
02-28-2021,550,2,1312,0
02-28-2021,560,2,1189,0
02-28-2021,570,2,1177,0
02-28-2021,580,2,1176,0
02-28-2021,590,2,1024,0
02-28-2021,600,2,1383,0
02-28-2021,610,2,1102,0
02-28-2021,620,2,978,0
02-28-2021,630,2,760,0
02-28-2021,640,2,743,0
02-28-2021,650,2,526,0
02-28-2021,660,2,411,0
02-28-2021,670,2,292,0
02-28-2021,680,2,235,0
02-28-2021,690,2,159,0
02-28-2021,700,2,143,0
02-28-2021,710,2,98,0
02-28-2021,720,2,76,0
02-28-2021,730,2,53,0
02-28-2021,740,2,37,0
02-28-2021,750,2,33,0
02-28-2021,760,2,25,0
02-28-2021,770,2,17,0
02-28-2021,780,2,16,0
02-28-2021,790,2,5,0
02-28-2021,800,2,6,0
02-28-2021,810,2,6,0
02-28-2021,820,2,5,0
02-28-2021,830,2,4,0
02-28-2021,840,2,1,0
02-28-2021,870,2,1,0
03-31-2021,370,2,7,0
03-31-2021,380,2,9,0
03-31-2021,390,2,16,0
03-31-2021,400,2,25,0
03-31-2021,410,2,54,0
03-31-2021,420,2,121,0
03-31-2021,430,2,149,0
03-31-2021,440,2,227,0
03-31-2021,450,2,310,0
03-31-2021,460,2,441,0
03-31-2021,470,2,602,0
03-31-2021,480,2,636,0
03-31-2021,490,2,726,1
03-31-2021,500,2,845,0
03-31-2021,510,2,1004,0
03-31-2021,520,2,909,0
03-31-2021,530,2,939,0
03-31-2021,540,2,970,0
03-31-2021,550,2,1312,0
03-31-2021,560,2,1189,1
03-31-2021,570,2,1177,1
03-31-2021,580,2,1176,0
03-31-2021,590,2,1024,0
03-31-2021,600,2,1383,0
03-31-2021,610,2,1102,0
03-31-2021,620,2,978,1
03-31-2021,630,2,760,0
03-31-2021,640,2,743,0
03-31-2021,650,2,526,0
03-31-2021,660,2,411,0
03-31-2021,670,2,292,0
03-31-2021,680,2,235,0
03-31-2021,690,2,159,0
03-31-2021,700,2,143,0
03-31-2021,710,2,98,0
03-31-2021,720,2,76,0
03-31-2021,730,2,53,0
03-31-2021,740,2,37,0
03-31-2021,750,2,33,0
03-31-2021,760,2,25,0
03-31-2021,770,2,17,0
03-31-2021,780,2,16,0
03-31-2021,790,2,5,0
03-31-2021,800,2,6,0
03-31-2021,810,2,6,0
03-31-2021,820,2,5,0
03-31-2021,830,2,4,0
03-31-2021,840,2,1,0
03-31-2021,870,2,1,0
04-30-2021,350,2,1,0
04-30-2021,360,2,3,0
04-30-2021,370,2,12,0
04-30-2021,380,2,24,0
04-30-2021,390,2,31,0
04-30-2021,400,2,69,0
04-30-2021,410,2,130,0
04-30-2021,420,2,261,0
04-30-2021,430,2,334,0
04-30-2021,440,2,465,0
04-30-2021,450,2,662,0
04-30-2021,460,2,897,0
04-30-2021,470,2,1177,0
04-30-2021,480,2,1272,1
04-30-2021,490,2,1466,0
04-30-2021,500,2,1650,0
04-30-2021,510,2,1934,0
04-30-2021,520,2,1860,0
04-30-2021,530,2,1889,0
04-30-2021,540,2,1892,1
04-30-2021,550,2,2521,0
04-30-2021,560,2,2317,0
04-30-2021,570,2,2227,0
04-30-2021,580,2,2182,0
04-30-2021,590,2,1999,0
04-30-2021,600,2,2518,0
04-30-2021,610,2,2023,0
04-30-2021,620,2,1750,0
04-30-2021,630,2,1425,0
04-30-2021,640,2,1357,0
04-30-2021,650,2,995,0
04-30-2021,660,2,750,0
04-30-2021,670,2,542,0
04-30-2021,680,2,423,0
04-30-2021,690,2,292,0
04-30-2021,700,2,246,0
04-30-2021,710,2,176,0
04-30-2021,720,2,151,0
04-30-2021,730,2,110,0
04-30-2021,740,2,97,0
04-30-2021,750,2,69,0
04-30-2021,760,2,59,0
04-30-2021,770,2,41,0
04-30-2021,780,2,44,0
04-30-2021,790,2,21,0
04-30-2021,800,2,18,0
04-30-2021,810,2,14,0
04-30-2021,820,2,12,0
04-30-2021,830,2,10,0
04-30-2021,840,2,10,0
04-30-2021,850,2,2,0
04-30-2021,870,2,2,0
05-31-2021,350,2,1,0
05-31-2021,360,2,3,0
05-31-2021,370,2,12,0
05-31-2021,380,2,24,0
05-31-2021,390,2,31,0
05-31-2021,400,2,69,0
05-31-2021,410,2,130,0
05-31-2021,420,2,261,0
05-31-2021,430,2,334,0
05-31-2021,440,2,465,0
05-31-2021,450,2,662,0
05-31-2021,460,2,897,0
05-31-2021,470,2,1177,0
05-31-2021,480,2,1272,0
05-31-2021,490,2,1466,2
05-31-2021,500,2,1650,2
05-31-2021,510,2,1934,0
05-31-2021,520,2,1860,0
05-31-2021,530,2,1889,0
05-31-2021,540,2,1892,1
05-31-2021,550,2,2521,1
05-31-2021,560,2,2317,1
05-31-2021,570,2,2227,2
05-31-2021,580,2,2182,0
05-31-2021,590,2,1999,0
05-31-2021,600,2,2518,0
05-31-2021,610,2,2023,1
05-31-2021,620,2,1750,0
05-31-2021,630,2,1425,0
05-31-2021,640,2,1357,0
05-31-2021,650,2,995,0
05-31-2021,660,2,750,1
05-31-2021,670,2,542,0
05-31-2021,680,2,423,0
05-31-2021,690,2,292,0
05-31-2021,700,2,246,0
05-31-2021,710,2,176,0
05-31-2021,720,2,151,0
05-31-2021,730,2,110,0
05-31-2021,740,2,97,0
05-31-2021,750,2,69,0
05-31-2021,760,2,59,0
05-31-2021,770,2,41,0
05-31-2021,780,2,44,0
05-31-2021,790,2,21,0
05-31-2021,800,2,18,0
05-31-2021,810,2,14,0
05-31-2021,820,2,12,0
05-31-2021,830,2,10,0
05-31-2021,840,2,10,0
05-31-2021,850,2,2,0
05-31-2021,870,2,2,0
06-30-2021,350,2,1,0
06-30-2021,360,2,3,0
06-30-2021,370,2,12,0
06-30-2021,380,2,24,0
06-30-2021,390,2,31,0
06-30-2021,400,2,69,1
06-30-2021,410,2,130,0
06-30-2021,420,2,261,0
06-30-2021,430,2,334,0
06-30-2021,440,2,465,0
06-30-2021,450,2,662,1
06-30-2021,460,2,897,0
06-30-2021,470,2,1177,2
06-30-2021,480,2,1272,1
06-30-2021,490,2,1466,1
06-30-2021,500,2,1650,0
06-30-2021,510,2,1934,3
06-30-2021,520,2,1860,0
06-30-2021,530,2,1889,2
06-30-2021,540,2,1892,1
06-30-2021,550,2,2521,2
06-30-2021,560,2,2317,0
06-30-2021,570,2,2227,2
06-30-2021,580,2,2182,1
06-30-2021,590,2,1999,1
06-30-2021,600,2,2518,1
06-30-2021,610,2,2023,1
06-30-2021,620,2,1750,2
06-30-2021,630,2,1425,0
06-30-2021,640,2,1357,0
06-30-2021,650,2,995,0
06-30-2021,660,2,750,0
06-30-2021,670,2,542,0
06-30-2021,680,2,423,0
06-30-2021,690,2,292,0
06-30-2021,700,2,246,0
06-30-2021,710,2,176,0
06-30-2021,720,2,151,0
06-30-2021,730,2,110,0
06-30-2021,740,2,97,0
06-30-2021,750,2,69,0
06-30-2021,760,2,59,0
06-30-2021,770,2,41,0
06-30-2021,780,2,44,0
06-30-2021,790,2,21,0
06-30-2021,800,2,18,0
06-30-2021,810,2,14,0
06-30-2021,820,2,12,0
06-30-2021,830,2,10,0
06-30-2021,840,2,10,0
06-30-2021,850,2,2,0
06-30-2021,870,2,2,0
07-31-2021,330,2,1,0
07-31-2021,350,2,1,0
07-31-2021,360,2,4,0
07-31-2021,370,2,15,0
07-31-2021,380,2,31,0
07-31-2021,390,2,44,0
07-31-2021,400,2,93,0
07-31-2021,410,2,178,0
07-31-2021,420,2,337,1
07-31-2021,430,2,438,0
07-31-2021,440,2,628,0
07-31-2021,450,2,899,1
07-31-2021,460,2,1172,0
07-31-2021,470,2,1550,4
07-31-2021,480,2,1733,0
07-31-2021,490,2,2035,0
07-31-2021,500,2,2290,0
07-31-2021,510,2,2680,1
07-31-2021,520,2,2581,1
07-31-2021,530,2,2697,2
07-31-2021,540,2,2716,2
07-31-2021,550,2,3799,7
07-31-2021,560,2,3536,3
07-31-2021,570,2,3366,4
07-31-2021,580,2,3389,2
07-31-2021,590,2,3129,2
07-31-2021,600,2,3680,1
07-31-2021,610,2,2972,1
07-31-2021,620,2,2680,2
07-31-2021,630,2,2160,0
07-31-2021,640,2,2067,0
07-31-2021,650,2,1518,0
07-31-2021,660,2,1182,0
07-31-2021,670,2,839,0
07-31-2021,680,2,665,2
07-31-2021,690,2,434,1
07-31-2021,700,2,414,0
07-31-2021,710,2,264,0
07-31-2021,720,2,215,0
07-31-2021,730,2,175,0
07-31-2021,740,2,148,0
07-31-2021,750,2,98,0
07-31-2021,760,2,98,0
07-31-2021,770,2,59,0
07-31-2021,780,2,66,0
07-31-2021,790,2,41,0
07-31-2021,800,2,31,0
07-31-2021,810,2,20,0
07-31-2021,820,2,19,0
07-31-2021,830,2,17,0
07-31-2021,840,2,13,0
07-31-2021,850,2,4,0
07-31-2021,860,2,5,0
07-31-2021,870,2,3,0
08-31-2021,330,2,1,0
08-31-2021,350,2,1,0
08-31-2021,360,2,4,0
08-31-2021,370,2,15,0
08-31-2021,380,2,31,0
08-31-2021,390,2,44,0
08-31-2021,400,2,93,0
08-31-2021,410,2,178,0
08-31-2021,420,2,337,0
08-31-2021,430,2,438,0
08-31-2021,440,2,628,0
08-31-2021,450,2,899,0
08-31-2021,460,2,1172,0
08-31-2021,470,2,1550,2
08-31-2021,480,2,1733,1
08-31-2021,490,2,2035,4
08-31-2021,500,2,2290,1
08-31-2021,510,2,2680,3
08-31-2021,520,2,2581,2
08-31-2021,530,2,2697,3
08-31-2021,540,2,2716,1
08-31-2021,550,2,3799,1
08-31-2021,560,2,3536,3
08-31-2021,570,2,3366,1
