reporting_date,fico_low,new_used,active_loans,new_repos
08-31-2020,350,2,1,0
08-31-2020,360,2,1,0
08-31-2020,370,2,2,0
08-31-2020,380,2,3,0
08-31-2020,390,2,7,0
08-31-2020,400,1,1,0
08-31-2020,400,2,28,0
08-31-2020,410,1,1,0
08-31-2020,410,2,70,0
08-31-2020,420,1,3,0
08-31-2020,420,2,107,1
08-31-2020,430,1,2,0
08-31-2020,430,2,214,0
08-31-2020,440,1,5,0
08-31-2020,440,2,294,0
08-31-2020,450,1,6,0
08-31-2020,450,2,432,0
08-31-2020,460,1,6,0
08-31-2020,460,2,652,1
08-31-2020,470,1,16,0
08-31-2020,470,2,892,4
08-31-2020,480,1,19,0
08-31-2020,480,2,1070,3
08-31-2020,490,1,40,0
08-31-2020,490,2,1243,1
08-31-2020,500,1,36,1
08-31-2020,500,2,1495,2
08-31-2020,510,1,53,0
08-31-2020,510,2,1808,3
08-31-2020,520,1,50,0
08-31-2020,520,2,1993,1
08-31-2020,530,1,75,0
08-31-2020,530,2,2241,4
08-31-2020,540,1,69,1
08-31-2020,540,2,2400,1
08-31-2020,550,1,96,1
08-31-2020,550,2,2763,3
08-31-2020,560,1,113,1
08-31-2020,560,2,2906,0
08-31-2020,570,1,91,1
08-31-2020,570,2,2932,6
08-31-2020,580,1,82,1
08-31-2020,580,2,2529,0
08-31-2020,590,1,75,0
08-31-2020,590,2,2326,2
08-31-2020,600,1,62,0
08-31-2020,600,2,2058,0
08-31-2020,610,1,54,1
08-31-2020,610,2,1579,1
08-31-2020,620,1,54,0
08-31-2020,620,2,1308,1
08-31-2020,630,1,40,0
08-31-2020,630,2,1126,0
08-31-2020,640,1,31,0
08-31-2020,640,2,778,0
08-31-2020,650,1,27,0
08-31-2020,650,2,595,0
08-31-2020,660,1,17,0
08-31-2020,660,2,456,1
08-31-2020,670,1,7,0
08-31-2020,670,2,400,0
08-31-2020,680,1,10,0
08-31-2020,680,2,304,1
08-31-2020,690,1,6,0
08-31-2020,690,2,235,0
08-31-2020,700,1,4,0
08-31-2020,700,2,161,0
08-31-2020,710,1,5,0
08-31-2020,710,2,150,0
08-31-2020,720,1,2,0
08-31-2020,720,2,133,0
08-31-2020,730,1,1,0
08-31-2020,730,2,88,0
08-31-2020,740,1,2,0
08-31-2020,740,2,61,0
08-31-2020,750,1,1,0
08-31-2020,750,2,44,0
08-31-2020,760,1,3,0
08-31-2020,760,2,37,0
08-31-2020,770,1,1,0
08-31-2020,770,2,24,0
08-31-2020,780,2,12,0
08-31-2020,790,2,8,0
08-31-2020,800,2,5,0
08-31-2020,810,2,5,0
08-31-2020,820,2,6,0
08-31-2020,830,1,1,0
08-31-2020,830,2,3,0
08-31-2020,840,2,1,0
08-31-2020,850,2,2,0
08-31-2020,870,2,1,0
08-31-2020,880,2,1,0
09-30-2020,350,2,1,0
09-30-2020,360,2,1,0
09-30-2020,370,2,2,0
