reporting_date,fico_low,new_used,active_loans,new_repos
03-31-2025,450,2,2,0
03-31-2025,460,2,1,0
03-31-2025,470,2,2,0
03-31-2025,480,1,1,0
03-31-2025,480,2,7,0
03-31-2025,490,1,1,0
03-31-2025,490,2,2,0
03-31-2025,500,1,1,0
03-31-2025,500,2,9,0
03-31-2025,510,1,1,0
03-31-2025,510,2,12,0
03-31-2025,520,2,16,0
03-31-2025,530,2,21,0
03-31-2025,540,2,21,0
03-31-2025,550,1,4,0
03-31-2025,550,2,22,0
03-31-2025,560,1,1,0
03-31-2025,560,2,43,0
03-31-2025,570,1,1,0
03-31-2025,570,2,47,0
03-31-2025,580,1,1,0
03-31-2025,580,2,52,0
03-31-2025,590,1,4,0
03-31-2025,590,2,56,0
03-31-2025,600,1,4,0
03-31-2025,600,2,80,0
03-31-2025,610,1,3,0
03-31-2025,610,2,90,0
03-31-2025,620,1,15,0
03-31-2025,620,2,147,0
03-31-2025,630,1,13,0
03-31-2025,630,2,164,0
03-31-2025,640,1,217,0
03-31-2025,640,2,2454,0
03-31-2025,650,1,173,0
03-31-2025,650,2,2120,0
03-31-2025,660,1,127,0
03-31-2025,660,2,1657,0
03-31-2025,670,1,111,0
03-31-2025,670,2,1317,0
03-31-2025,680,1,79,0
03-31-2025,680,2,1144,0
03-31-2025,690,1,59,0
03-31-2025,690,2,939,0
03-31-2025,700,1,32,0
03-31-2025,700,2,597,0
03-31-2025,710,1,31,0
03-31-2025,710,2,450,0
03-31-2025,720,1,21,0
03-31-2025,720,2,330,0
03-31-2025,730,1,13,0
03-31-2025,730,2,225,0
03-31-2025,740,1,14,0
03-31-2025,740,2,179,0
03-31-2025,750,1,6,0
03-31-2025,750,2,118,0
03-31-2025,760,1,7,0
03-31-2025,760,2,89,0
03-31-2025,770,1,4,0
03-31-2025,770,2,83,0
03-31-2025,780,1,6,0
03-31-2025,780,2,78,0
03-31-2025,790,1,2,0
03-31-2025,790,2,78,0
03-31-2025,800,1,1,0
03-31-2025,800,2,56,0
03-31-2025,810,1,2,0
03-31-2025,810,2,44,0
03-31-2025,820,1,5,0
03-31-2025,820,2,29,0
03-31-2025,830,1,1,0
03-31-2025,830,2,23,0
03-31-2025,840,2,7,0
04-30-2025,450,2,2,0
04-30-2025,460,2,1,0
04-30-2025,470,2,2,0
04-30-2025,480,1,1,0
04-30-2025,480,2,7,0
04-30-2025,490,1,1,0
04-30-2025,490,2,2,0
04-30-2025,500,1,1,0
04-30-2025,500,2,9,0
04-30-2025,510,1,1,0
04-30-2025,510,2,12,0
04-30-2025,520,2,16,0
04-30-2025,530,2,21,0
04-30-2025,540,2,21,0
04-30-2025,550,1,4,0
04-30-2025,550,2,22,0
04-30-2025,560,1,1,0
04-30-2025,560,2,43,0
04-30-2025,570,1,1,0
04-30-2025,570,2,47,0
04-30-2025,580,1,1,0
04-30-2025,580,2,52,0
04-30-2025,590,1,4,0
04-30-2025,590,2,56,0
04-30-2025,600,1,4,0
04-30-2025,600,2,80,0
04-30-2025,610,1,3,0
04-30-2025,610,2,90,1
04-30-2025,620,1,15,0
04-30-2025,620,2,147,0
04-30-2025,630,1,13,0
04-30-2025,630,2,164,0
04-30-2025,640,1,217,0
04-30-2025,640,2,2454,1
04-30-2025,650,1,173,0
04-30-2025,650,2,2120,0
04-30-2025,660,1,127,1
04-30-2025,660,2,1657,0
04-30-2025,670,1,111,0
04-30-2025,670,2,1317,0
04-30-2025,680,1,79,0
04-30-2025,680,2,1144,1
04-30-2025,690,1,59,0
04-30-2025,690,2,939,0
04-30-2025,700,1,32,0
04-30-2025,700,2,597,0
04-30-2025,710,1,31,0
04-30-2025,710,2,450,0
04-30-2025,720,1,21,0
04-30-2025,720,2,330,0
04-30-2025,730,1,13,0
04-30-2025,730,2,225,0
04-30-2025,740,1,14,0
04-30-2025,740,2,179,0
04-30-2025,750,1,6,0
04-30-2025,750,2,118,0
04-30-2025,760,1,7,0
04-30-2025,760,2,89,0
04-30-2025,770,1,4,0
04-30-2025,770,2,83,0
04-30-2025,780,1,6,0
04-30-2025,780,2,78,0
04-30-2025,790,1,2,0
04-30-2025,790,2,78,0
04-30-2025,800,1,1,0
04-30-2025,800,2,56,0
04-30-2025,810,1,2,0
04-30-2025,810,2,44,0
04-30-2025,820,1,5,0
04-30-2025,820,2,29,0
04-30-2025,830,1,1,0
04-30-2025,830,2,23,0
04-30-2025,840,2,7,0
05-31-2025,450,2,2,0
05-31-2025,460,2,1,0
05-31-2025,470,2,2,0
05-31-2025,480,1,1,0
05-31-2025,480,2,7,0
05-31-2025,490,1,1,0
05-31-2025,490,2,2,0
05-31-2025,500,1,1,0
05-31-2025,500,2,9,0
05-31-2025,510,1,1,0
05-31-2025,510,2,12,0
05-31-2025,520,2,16,0
05-31-2025,530,2,21,0
05-31-2025,540,2,20,0
05-31-2025,550,1,4,0
05-31-2025,550,2,22,0
05-31-2025,560,1,1,0
05-31-2025,560,2,43,0
05-31-2025,570,1,1,0
05-31-2025,570,2,47,0
05-31-2025,580,1,1,0
05-31-2025,580,2,52,0
05-31-2025,590,1,4,0
05-31-2025,590,2,56,0
05-31-2025,600,1,4,0
05-31-2025,600,2,80,0
05-31-2025,610,1,3,0
05-31-2025,610,2,90,0
05-31-2025,620,1,15,1
05-31-2025,620,2,147,0
05-31-2025,630,1,13,0
05-31-2025,630,2,163,0
05-31-2025,640,1,216,1
05-31-2025,640,2,2450,3
05-31-2025,650,1,173,0
05-31-2025,650,2,2113,4
05-31-2025,660,1,127,0
05-31-2025,660,2,1657,1
05-31-2025,670,1,111,0
05-31-2025,670,2,1312,2
05-31-2025,680,1,79,1
05-31-2025,680,2,1143,1
05-31-2025,690,1,59,0
05-31-2025,690,2,939,2
05-31-2025,700,1,32,0
05-31-2025,700,2,595,0
05-31-2025,710,1,31,0
05-31-2025,710,2,447,0
05-31-2025,720,1,21,0
05-31-2025,720,2,329,0
05-31-2025,730,1,13,0
05-31-2025,730,2,225,0
05-31-2025,740,1,14,0
05-31-2025,740,2,179,0
05-31-2025,750,1,6,0
05-31-2025,750,2,118,0
05-31-2025,760,1,7,0
05-31-2025,760,2,89,0
05-31-2025,770,1,4,0
05-31-2025,770,2,83,0
05-31-2025,780,1,6,0
05-31-2025,780,2,78,0
05-31-2025,790,1,2,0
05-31-2025,790,2,78,1
05-31-2025,800,1,1,0
05-31-2025,800,2,56,0
05-31-2025,810,1,2,0
05-31-2025,810,2,44,0
05-31-2025,820,1,5,0
05-31-2025,820,2,29,0
05-31-2025,830,1,1,0
05-31-2025,830,2,23,0
05-31-2025,840,2,7,0
06-30-2025,450,2,2,0
06-30-2025,460,2,1,0
06-30-2025,470,2,5,0
06-30-2025,480,1,1,0
06-30-2025,480,2,12,0
06-30-2025,490,1,1,0
06-30-2025,490,2,7,0
06-30-2025,500,1,1,0
06-30-2025,500,2,25,0
06-30-2025,510,1,1,0
06-30-2025,510,2,23,0
06-30-2025,520,2,30,0
06-30-2025,530,1,1,0
06-30-2025,530,2,44,0
06-30-2025,540,1,2,0
06-30-2025,540,2,50,0
06-30-2025,550,1,4,0
06-30-2025,550,2,56,0
06-30-2025,560,1,3,0
06-30-2025,560,2,80,0
06-30-2025,570,1,3,0
06-30-2025,570,2,113,0
06-30-2025,580,1,9,0
06-30-2025,580,2,126,0
06-30-2025,590,1,11,0
06-30-2025,590,2,125,0
06-30-2025,600,1,8,0
06-30-2025,600,2,175,0
06-30-2025,610,1,21,0
06-30-2025,610,2,206,0
06-30-2025,620,1,26,0
06-30-2025,620,2,307,0
06-30-2025,630,1,30,0
06-30-2025,630,2,375,0
06-30-2025,640,1,478,0
06-30-2025,640,2,5268,9
06-30-2025,650,1,364,1
06-30-2025,650,2,4553,1
06-30-2025,660,1,261,0
06-30-2025,660,2,3445,2
06-30-2025,670,1,204,0
06-30-2025,670,2,2697,0
06-30-2025,680,1,196,0
06-30-2025,680,2,2364,2
06-30-2025,690,1,134,0
06-30-2025,690,2,2011,2
06-30-2025,700,1,78,0
06-30-2025,700,2,1277,1
06-30-2025,710,1,63,0
06-30-2025,710,2,952,2
06-30-2025,720,1,48,0
06-30-2025,720,2,717,0
06-30-2025,730,1,27,0
06-30-2025,730,2,531,1
06-30-2025,740,1,23,0
06-30-2025,740,2,400,0
06-30-2025,750,1,12,0
06-30-2025,750,2,264,0
06-30-2025,760,1,10,0
06-30-2025,760,2,205,0
06-30-2025,770,1,7,0
06-30-2025,770,2,181,0
06-30-2025,780,1,9,0
06-30-2025,780,2,192,0
06-30-2025,790,1,7,0
06-30-2025,790,2,159,0
06-30-2025,800,1,4,0
06-30-2025,800,2,128,0
06-30-2025,810,1,4,0
